报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20230930,825885748.42,825885748.42,,,,,,893397004.14,558242548.79,,,,,,,,,4073820.48,129748003.15,32664749.62,156154917.84,12512964.26,,,179219665.29,,,,,-22500000.0,,,,21358837.9,103549.52,-17014038.78,,480870.82,94137629.03,585790.16,,1673025.52,,93050393.67,7561877.11,,85488516.56,85488516.56,,88522672.51,,-3034155.95,-1023944.4,-1023944.4,-1023944.4,,,-1023944.4,,,,,,,,,,,,,,84464572.16,87498728.11,-3034155.95,0.07,0.07,定期报告,未审计,20241024,CNY,合并期末,2023-10-26T19:27:04
20230630,594187208.14,594187208.14,,,,,,627671559.93,409000298.03,,,,,,,,,2643290.59,81651751.91,21462499.03,103502980.97,9410739.4,,,183515216.19,,,,,-15000000.0,,,,18514290.66,97911.83,-15860112.22,,398926.6,138181881.27,491609.9,,282158.7,,138391332.47,5909456.68,,132481875.79,132481875.79,,134885331.06,,-2403455.27,-27922156.5,-27922156.5,-27922156.5,,,-27922156.5,,,,,,,,,,,,,,104559719.29,106963174.56,-2403455.27,0.1,0.1,定期报告,未审计,20240816,CNY,合并期末,2023-08-21T19:17:03
20230331,301408771.82,301408771.82,,,,,,293305531.97,187535858.79,,,,,,,,,1288426.33,39448545.09,9127494.1,50692047.75,5213159.91,,,-1914588.93,,,,,,,,,14541832.07,0.0,-2146376.58,,4402.39,18588508.8,444831.18,,32217.02,,19001122.96,2201666.08,,16799456.88,16799456.88,,16584139.25,,215317.63,18571759.0,18571759.0,18571759.0,,,18571759.0,,,,,,,,,,,,,,35371215.88,35155898.25,215317.63,0.01,0.01,定期报告,未审计,20240429,CNY,合并期末,2023-04-25T17:17:04
20221231,1363724358.28,1363724358.28,,,,,,1522385856.21,969384762.89,,,,,,,,,7203005.26,230568807.5,43936126.65,251977371.95,19315781.96,22977261.24,,-29597036.06,-41837333.42,,,,373094.78,,,,24349967.61,-767054499.0,-29779131.84,,402992.31,-959966110.13,966950.85,,2199584.02,,-961198743.3,-19877005.93,,-941321737.37,-941321737.37,,-935397213.62,,-5924523.75,126795019.36,126795019.36,126795019.36,,,126795019.36,,0.0,,,,,,,,,,,,-814526718.01,-808602194.26,-5924523.75,-0.7,-0.7,定期报告,是,20241024,CNY,合并期末,2024-04-22T20:22:03
20220930,1021318922.26,1021318922.26,,,,,,1056774207.1,667239649.88,,,,,,,,,4668503.16,132973163.97,30034816.87,209767850.2,12090223.02,,,2733184.82,,,,,-182434.76,,,,16949221.15,,-11351017.69,,-46214.95,-27352546.27,4985525.81,,1480500.69,,-23847521.15,4732383.28,,-28579904.43,-28579904.43,,-26974690.3,,-1605214.13,95120381.0,95120381.0,95120381.0,,,95120381.0,,,,,,,,,,,,,,66540476.57,68145690.7,-1605214.13,-0.02,-0.02,定期报告,未审计,20231027,CNY,合并期末,2022-10-26T16:02:04
20220630,660218194.9,660218194.9,,,,,,649214852.54,391330199.8,,,,,,,,,3392423.62,86734800.06,20801046.09,138071882.19,8884500.78,,,51977.06,,,,,,,,,15163309.45,1913383.31,-9426435.68,,-504.18,18705072.32,623121.8,,433837.73,,18894356.39,8251660.88,,10642695.51,10642695.51,,10794544.8,,-151849.29,104596815.2,104596815.2,104596815.2,,,104596815.2,,,,,,,,,,,,,,115239510.71,115391360.0,-151849.29,0.01,0.01,定期报告,未审计,20230822,CNY,合并期末,2022-08-23T19:17:04
20220331,330396250.35,330396250.35,,,,,,309964710.29,207133651.59,,,,,,,,,1334063.26,28699083.73,8011135.34,60155592.32,4631184.05,,,-199953.02,,,,,,,,,7866716.56,1910614.89,4787403.12,,-674.4,34795647.21,178835.4,,1000.63,,34973481.98,7025313.0,,27948168.98,27948168.98,,26068139.03,,1880029.95,114121000.0,114121000.0,114121000.0,,,114121000.0,,,,,,,,,,,,,,142069168.98,140189139.03,1880029.95,0.02,0.02,定期报告,未审计,20230426,CNY,合并期末,2022-04-27T15:52:04
20211231,1622188129.84,1622188129.84,,,,,,1500962061.76,1008106316.39,,,,,,,,,11594906.27,169596922.75,34533694.71,252666088.46,24464133.18,24690543.04,,29762965.09,7469346.54,,,,182434.76,,,,49658327.44,-413283227.31,-13283610.72,,83674.72,-225653367.94,1017560.8,,2644197.57,,-227280004.71,14467035.41,,-241747040.12,-241747040.12,,-240755551.15,,-991488.97,36636356.79,14428477.5,14428477.5,,,14428477.5,,0.0,,,,,,,,,,,22207879.29,-205110683.33,-226327073.65,21216390.32,-0.19,-0.19,定期报告,是,20230417,CNY,合并期末,2022-04-14T19:17:03
20210930,1025684708.71,1025684708.71,,,,,,953812571.51,602124285.29,,,,,,,,,6085006.09,136723985.17,23576943.07,165241095.96,20061255.93,,,22380222.96,,,,,,,,,51106972.59,-8243.82,-24605113.18,,90868.91,120836844.66,338144.89,,2345645.42,,118829344.13,17069501.59,,101759842.54,101759842.54,,105864762.89,,-4104920.35,-6185781.0,-3092890.5,-3092890.5,,,-3092890.5,,,,,,,,,,,,,-3092890.5,95574061.54,102771872.39,-7197810.85,0.08,0.08,定期报告,未审计,20221027,CNY,合并期末,2021-10-27T17:07:05
20210630,616590229.23,616590229.23,,,,,,568699515.83,349271582.2,,,,,,,,,4099813.89,80797791.2,15871947.98,104189364.31,14469016.25,,,2217489.19,,,,,,,,,32497410.66,,-11909004.8,,-6131.65,70690476.8,375001.76,,194846.41,,70870632.15,8310859.19,,62559772.96,62559772.96,,65286556.03,,-2726783.07,-6185781.0,-3092890.5,-3092890.5,,,-3092890.5,,-3092890.5,,,,,,,,,,,-3092890.5,56373991.96,62193665.53,-5819673.57,0.05,0.05,定期报告,未审计,20220824,CNY,合并期末,2021-08-25T19:42:03
