报告日,经营活动产生的现金流量,销售商品、提供劳务收到的现金,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,减少质押和定期存款所收到的现金,处置可供出售金融资产净增加额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,增加质押和定期存款所支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,期初现金及现金等价物余额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,297348320.41,,,,,,,,,,,15831.62,8199463.5,305563615.53,296264465.69,,,,,,97072441.77,21968614.03,32953315.06,448258836.55,-142695221.02,,7102200.0,1948556.88,46795.0,,289400000.0,,,298497551.88,13813382.76,,,,,407250000.0,421063382.76,-122565830.88,,15500000.0,,47400000.0,,,62900000.0,83170000.0,916124.82,,9929971.07,94016095.89,-31116095.89,-11763.26,-296388911.05,652238692.01,,,,,355849780.96,定期报告,未审计,20260418,CNY,合并期末,2026-04-17T19:08:05
20251231,,1543147729.97,,,,,,,,,,,789508.38,88923588.03,1632860826.38,742166481.66,,,,,,404788636.62,79573663.3,158010206.29,1384538987.87,248321838.51,,48648464.13,12633853.51,8282882.31,9100000.0,558700000.0,,,637365199.95,58509486.96,75940002.2,,,,575500000.0,709949489.16,-72584289.21,,,,251217805.0,,,251217805.0,215359161.02,4476543.69,,151562838.53,371398543.24,-120180738.24,11269.71,55568080.77,596670611.24,652238692.01,596670611.24,,,652238692.01,定期报告,是,20260418,CNY,合并期末,2026-04-17T19:08:05
20250930,,881885502.18,,,,,,,,,,,714117.07,65557300.08,948156919.33,590788679.56,,,,,,301913548.68,64118275.54,110649250.85,1067469754.63,-119312835.3,,26872126.26,4609729.48,8104013.26,2133195.68,395680882.89,,,437399947.57,30243245.0,50354657.25,,,,455500000.0,536097902.25,-98697954.68,,,,140217805.0,,,140217805.0,165964356.02,3386051.01,,23276662.29,192627069.32,-52409264.32,-26121.28,-270446175.58,596670611.24,,,,,326224435.66,定期报告,未审计,20251030,CNY,合并期末,2025-10-29T23:16:23
20250630,,644650595.23,,,,,,,,,,,673991.8,23174855.11,668499442.14,469836674.55,,,,,,208421875.38,36890581.74,69298497.16,784447628.83,-115948186.69,,26484772.56,923490.94,7416222.72,1900000.0,286500000.0,,,323224486.22,22376165.18,42354657.25,,,,375500000.0,440230822.43,-117006336.21,,,,93112805.0,,,93112805.0,106740501.02,2226366.49,0.0,18698278.26,127665145.77,-34552340.77,-49875.22,-267556738.89,596670611.24,329113872.35,596670611.24,,,329113872.35,定期报告,未审计,20250816,CNY,合并期末,2025-08-15T17:06:02
20250331,,195756699.81,,,,,,,,,,,38556.68,8644095.18,204439351.67,175088091.97,,,,,,93015392.66,26950385.88,43753425.94,338807296.45,-134367944.78,,5325122.15,727886.71,116500.0,,158200000.0,,,164369508.86,12378196.17,18533379.97,,,,192200000.0,223111576.14,-58742067.28,,,,20000000.0,,,20000000.0,51312000.0,1134213.35,,3366128.63,55812341.98,-35812341.98,41694.95,-228880659.09,596670611.24,,,,,367789952.15,定期报告,未审计,20260418,CNY,合并期末,2025-04-18T21:14:07
20241231,,1415308731.65,,,,,,,,,,,4851712.36,59188141.99,1479348586.0,664539207.12,,,,,,376668001.96,50162309.33,134339003.96,1225708522.37,253640063.63,,61511614.0,4423157.67,298453.41,15200000.0,760937733.76,,,842370958.84,82597219.35,64234935.27,,,,765650000.0,912482154.62,-70111195.78,,,,214735827.42,,,214735827.42,349749421.4,5351368.82,,44738229.11,399839019.33,-185103191.91,-401344.31,-1975668.37,598646279.61,596670611.24,598646279.61,,,596670611.24,定期报告,是,20260418,CNY,合并期末,2025-04-18T21:14:07
20240930,,774340659.41,,,,,,,,,,,1891782.6,36965712.84,813198154.85,425391072.14,,,,,,279980313.25,22296364.55,106819608.65,834487358.59,-21289203.74,,1331721.61,1615446.85,19000.0,6200000.0,478494309.1,,,487660477.56,23099410.04,4500000.0,0.0,,,618470978.52,646070388.56,-158409911.0,,172800.0,0.0,160878827.42,,0.0,161051627.42,320669961.69,3267176.17,,41544113.16,365481251.02,-204429623.6,-180188.67,-384308927.01,598646279.61,,,,,214337352.6,定期报告,未审计,20251030,CNY,合并期末,2024-10-23T19:40:06
20240630,,601099275.22,,,,,,,,,,,1808539.25,24817481.32,627725295.79,318600593.11,,,,,,195770496.7,15322929.09,78569152.38,608263171.28,19462124.51,,1331721.61,1305127.3,10000.0,6200000.0,393000000.0,,,401846848.91,4646301.21,3000000.0,,,,439450000.0,447096301.21,-45249452.3,,,,133859972.42,,,133859972.42,302669961.69,2488996.89,0.0,23637141.76,328796100.34,-194936127.92,-170330.12,-220893785.83,598646279.61,377752493.78,598646279.61,,,377752493.78,定期报告,未审计,20250816,CNY,合并期末,2024-08-15T18:45:07
20240331,,297117552.95,,,,,,,,,,,279798.98,9218123.54,306615475.47,143505832.5,,,,,,93939471.49,7712500.65,35229081.29,280386885.93,26228589.54,,1331721.61,614946.61,,,205000000.0,,,206946668.22,1730862.2,3000000.0,,0.0,,276100000.0,280830862.2,-73884193.98,,,,41024673.0,,,41024673.0,246529950.0,1389250.18,0.0,4741554.06,252660754.24,-211636081.24,-79625.98,-259371311.66,598646279.61,,,,,339274967.95,定期报告,未审计,20250419,CNY,合并期末,2024-04-28T15:45:06
20231231,,1558514911.68,,,,,,,,,,,3421810.12,73738296.29,1635675018.09,958122324.36,,,,,,409016638.81,69167738.79,134572093.71,1570878795.67,64796222.42,,3035939.15,160500888.25,175003.0,37800845.46,375590344.14,,,577103020.0,42696936.9,41500000.0,,0.0,,341896344.0,426093280.9,151009739.1,,4930000.0,4930000.0,375778473.0,,0.0,380708473.0,478195362.02,11676348.96,,62985484.91,552857195.89,-172148722.89,261483.98,43918722.61,554727557.0,598646279.61,554727557.0,,,598646279.61,定期报告,是,20250419,CNY,合并期末,2024-04-22T20:20:06
