报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2017-12-31,1.20亿,False,1.19亿,False,5.16亿,False,False,9.20,False,7.58,1.10,23.12%,41.39%,38.03%,32.75%,199.39,3.24,111.26,88.14,1.86,1.41,1.41,0.68,40.39%
2018-12-31,2.26亿,87.42%,2.22亿,86.41%,7.36亿,42.81%,False,12.39,False,10.13,4.63,30.52%,46.59%,57.95%,45.56%,156.64,3.61,99.82,56.82,1.97,1.50,1.50,0.69,40.67%
2019-12-31,2.58亿,14.38%,2.93亿,32.12%,11.02亿,49.67%,3.4600,6.97,4.46,1.24,1.67,23.43%,39.12%,40.94%,37.06%,141.44,3.37,106.68,34.76,1.72,0.83,0.58,0.63,38.68%
2020-06-30,9581.12万,False,9419.99万,False,4.78亿,False,0.9600,False,False,False,0.78,20.06%,34.14%,False,False,False,False,False,False,False,False,False,False,False
2020-09-30,1.37亿,False,1.34亿,False,7.51亿,False,1.3700,False,False,False,1.11,18.22%,31.79%,17.87%,False,False,False,False,False,False,False,False,False,False
2020-12-31,1.93亿,-25.47%,1.87亿,-36.27%,9.98亿,-9.46%,1.9300,8.90,4.46,3.01,1.41,19.29%,31.57%,24.26%,21.63%,184.09,2.59,139.01,45.08,1.85,1.07,0.60,0.43,29.96%
2021-03-31,5449.47万,False,False,False,3.01亿,False,0.5400,False,False,False,False,18.12%,30.50%,False,False,False,False,False,False,False,False,False,False,False
2021-06-30,1.04亿,8.06%,1.01亿,7.39%,5.76亿,20.58%,1.0400,9.93,4.46,4.05,1.07,17.98%,30.50%,10.99%,10.42%,185.55,1.43,125.87,59.68,2.08,1.35,0.88,0.50,33.19%
2021-09-30,1.42亿,3.80%,1.39亿,3.58%,8.60亿,14.64%,1.4200,10.32,4.46,4.43,1.67,16.50%,28.80%,14.77%,13.76%,184.72,2.27,118.70,66.02,1.87,1.28,0.89,0.53,34.60%
2021-12-31,1.75亿,-8.95%,1.70亿,-9.01%,11.81亿,18.36%,1.6600,15.29,10.40,3.50,1.64,14.86%,26.54%,15.39%,8.61%,165.85,3.10,116.00,49.85,4.61,3.82,3.12,0.20,16.59%
2022-03-31,2033.77万,-62.68%,1788.49万,False,2.29亿,-23.86%,0.1500,15.44,10.40,3.65,-0.51,8.70%,19.01%,0.99%,0.99%,243.79,0.55,162.19,81.60,4.78,3.75,3.28,0.23,18.38%
2022-06-30,5644.99万,-45.47%,5184.03万,-48.76%,5.52亿,-4.13%,0.4200,14.97,10.40,3.17,-0.52,10.13%,19.04%,2.73%,2.83%,220.63,1.22,147.77,72.86,3.62,2.71,2.33,0.31,23.48%
2022-09-30,7457.33万,-47.47%,6877.08万,-50.57%,8.15亿,-5.26%,0.5600,15.11,10.40,3.31,-0.91,8.94%,17.54%,3.65%,3.70%,219.63,1.81,149.20,70.44,3.56,2.60,2.24,0.31,23.38%
2022-12-31,4384.26万,-74.99%,3857.98万,-77.30%,10.30亿,-12.81%,0.3300,14.90,10.40,3.04,-0.78,2.71%,16.83%,2.19%,2.21%,232.37,2.18,165.49,66.87,3.71,2.70,2.46,0.30,22.83%
2023-03-31,1497.00万,-26.39%,1501.73万,-16.03%,2.24亿,-2.03%,0.1100,15.01,10.40,3.15,-0.05,6.86%,14.89%,0.75%,0.75%,314.61,0.40,223.88,90.73,4.06,2.97,2.71,0.26,20.62%
2023-06-30,3466.08万,-38.60%,3320.43万,-35.95%,4.63亿,-16.10%,0.2600,15.15,10.40,3.26,0.07,6.30%,15.94%,1.73%,1.72%,298.20,0.86,208.79,89.41,4.35,3.33,2.94,0.25,19.81%
2023-09-30,4911.50万,-34.14%,4738.07万,-31.10%,6.81亿,-16.46%,0.3700,15.20,10.35,3.37,0.05,6.32%,16.65%,2.44%,2.42%,300.26,1.29,209.19,91.07,3.61,2.85,2.52,0.31,23.64%
2023-12-31,2877.37万,-34.37%,2625.07万,-31.96%,9.16亿,-11.02%,0.2200,15.05,10.35,3.17,0.61,1.66%,15.98%,1.44%,1.43%,276.82,1.78,201.75,75.07,3.04,2.47,2.11,0.39,27.58%
2024-03-31,1510.36万,0.89%,1250.41万,-16.74%,2.19亿,-2.21%,0.1100,15.16,10.35,3.28,0.37,5.36%,15.55%,0.62%,0.75%,270.80,0.49,182.89,87.91,3.97,3.16,2.90,0.26,20.53%
2024-06-30,2690.62万,-22.37%,2396.89万,-27.81%,5.09亿,9.83%,0.2000,15.25,10.35,3.37,0.76,3.99%,13.82%,1.33%,1.32%,226.50,1.24,145.26,81.24,3.80,3.12,2.89,0.28,21.54%
2024-09-30,3448.85万,-29.78%,3065.81万,-35.29%,7.35亿,7.97%,0.2600,15.09,10.35,3.31,1.11,3.29%,14.12%,1.71%,1.71%,226.07,1.85,145.73,80.35,3.61,3.03,2.86,0.30,22.73%
2024-12-31,2201.84万,-23.48%,1367.83万,-47.89%,9.65亿,5.30%,0.1700,14.91,10.35,3.21,1.31,-0.23%,14.25%,1.10%,1.11%,204.49,2.52,142.74,61.74,3.76,3.20,2.85,0.28,22.12%
2025-03-31,1372.54万,-9.13%,1289.77万,3.15%,1.81亿,-17.57%,0.1000,14.89,10.35,3.32,0.34,7.12%,18.09%,0.69%,0.69%,258.41,0.52,171.56,86.85,3.83,3.21,2.97,0.27,21.25%
2025-06-30,3357.26万,24.78%,3288.38万,37.19%,3.85亿,-24.36%,0.2500,14.99,10.26,3.47,0.84,8.07%,20.37%,1.69%,1.68%,253.88,1.06,170.00,83.88,3.88,3.23,3.07,0.26,20.91%
2025-09-30,4308.37万,24.92%,4383.48万,42.98%,5.72亿,-22.17%,0.3200,14.98,10.28,3.44,1.06,6.08%,21.03%,2.17%,2.16%,254.23,1.57,171.96,82.27,3.74,3.14,2.97,0.28,21.81%
2025-12-31,4485.92万,103.74%,4695.79万,243.30%,7.75亿,-19.66%,0.3400,15.03,10.32,3.44,0.71,4.49%,20.11%,2.25%,2.24%,233.85,2.09,171.93,61.92,4.11,3.39,3.06,0.24,19.70%
2026-03-31,2505.07万,82.51%,2454.09万,90.27%,2.63亿,45.35%,0.1900,15.24,10.34,3.62,-0.16,9.43%,19.23%,1.24%,1.23%,188.30,0.69,129.59,58.71,4.34,3.57,3.40,0.23,18.62%
