日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-07-04,300124,1444.89,1447.26,1470.52,1440.59,898470,5789187046.0,2.08,0.43,6.24,3.8
2025-07-11,300124,1441.23,1444.89,1460.18,1405.92,1034280,6531293962.0,3.75,-0.16,-2.37,4.38
2025-07-18,300124,1451.35,1470.52,1492.26,1438.43,1054932,6828094854.0,3.73,1.77,25.63,4.47
2025-07-25,300124,1479.13,1475.25,1495.49,1452.86,1375263,8977093540.0,2.9,0.32,4.73,5.82
2025-08-01,300124,1485.8,1432.19,1498.51,1420.78,1173527,7576735044.0,5.27,-2.92,-43.06,4.97
2025-08-08,300124,1430.25,1455.87,1498.72,1427.24,1304891,8503261683.0,4.99,1.65,23.68,5.53
2025-08-15,300124,1456.09,1516.81,1522.4,1456.09,1551842,10283428070.0,4.55,4.19,60.94,6.57
2025-08-22,300124,1522.19,1567.62,1573.86,1504.32,2236539,15266237121.0,4.58,3.35,50.81,9.47
2025-08-29,300124,1595.61,1682.38,1711.02,1575.37,3186064,23243163469.0,8.65,7.32,114.76,13.49
2025-09-05,300124,1682.38,1646.21,1739.44,1571.71,2643000,19464641037.0,9.97,-2.15,-36.17,11.18
2025-09-12,300124,1649.65,1782.5,1906.73,1649.44,3776270,30061896296.0,15.63,8.28,136.29,15.96
2025-09-19,300124,1780.78,1825.99,1950.44,1775.39,3443940,28579369963.0,9.82,2.44,43.49,14.56
2025-09-26,300124,1825.99,1822.55,1997.16,1805.54,3070106,25830112469.0,10.49,-0.19,-3.44,12.98
2025-09-30,300124,1832.67,1871.64,1884.34,1801.66,914576,7566325414.0,4.54,2.69,49.09,3.86
2025-10-10,300124,1892.74,1882.62,2026.23,1870.13,1653199,14516757530.0,8.34,0.59,10.98,6.97
2025-10-17,300124,1796.93,1737.5,1864.1,1734.92,2271396,18256268339.0,6.86,-7.71,-145.12,9.58
2025-10-24,300124,1755.37,1754.51,1825.13,1703.27,1692878,13316934647.0,7.01,0.98,17.01,7.14
2025-10-31,300124,1769.37,1725.01,1783.58,1723.72,2009430,15698092687.0,3.41,-1.68,-29.5,8.47
2025-11-07,300124,1732.98,1651.16,1732.98,1614.99,1445847,10682743717.0,6.84,-4.28,-73.85,6.1
2025-11-14,300124,1653.31,1597.55,1665.37,1597.55,1005727,7266651965.0,4.11,-3.25,-53.61,4.24
2025-11-21,300124,1597.55,1565.47,1614.34,1536.4,1070842,7570903288.0,4.88,-2.01,-32.08,4.51
2025-11-28,300124,1574.08,1588.29,1604.65,1550.4,1120489,7879786350.0,3.47,1.46,22.82,4.72
2025-12-05,300124,1594.1,1642.12,1645.78,1575.59,1376109,9878100840.0,4.42,3.39,53.83,5.8
2025-12-12,300124,1648.15,1658.05,1692.07,1623.82,1523974,11235263718.0,4.16,0.97,15.93,6.42
