报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2007-12-31,4939.27万,False,4582.84万,False,1.59亿,False,0.6100,1.05,3.35,23.13,0.45,34.67%,49.29%,94.23%,58.06%,207.92,2.04,176.68,31.24,3.04,1.99,1.99,0.44,30.77%
2008-12-31,5564.22万,12.65%,5260.98万,14.80%,1.95亿,22.24%,0.6900,1.57,0.20,0.31,0.58,28.40%,49.16%,50.84%,43.83%,168.25,2.65,135.84,32.40,3.55,2.54,2.54,0.35,25.89%
2009-09-30,6600.82万,False,False,False,2.01亿,False,0.8100,False,False,False,False,32.70%,51.64%,False,False,False,False,False,False,False,False,False,False,False
2009-12-31,1.03亿,84.42%,9942.54万,88.99%,3.04亿,55.98%,1.2700,2.66,0.20,1.30,1.07,33.78%,52.38%,60.29%,47.56%,155.89,3.09,116.50,39.39,3.49,2.64,2.64,0.34,25.58%
2010-03-31,2770.80万,False,False,False,1.01亿,False,0.3400,False,False,False,False,27.32%,49.60%,12.07%,False,False,False,False,False,False,False,False,False,False
2010-06-30,8841.20万,False,8699.34万,False,2.77亿,False,0.5500,3.76,0.20,2.31,0.65,32.03%,51.62%,34.01%,29.06%,142.66,1.70,105.98,36.68,3.45,2.51,2.51,0.35,26.06%
2010-09-30,1.52亿,129.65%,1.50亿,False,4.68亿,133.16%,0.9400,20.61,17.11,2.32,0.85,32.50%,51.63%,False,51.99%,130.73,2.90,93.23,37.50,22.25,21.27,21.27,0.05,4.39%
2010-12-31,2.20亿,114.71%,2.16亿,117.54%,6.75亿,121.96%,1.2600,21.24,17.11,2.85,1.36,32.79%,53.05%,27.87%,9.60%,131.10,3.56,101.26,29.83,14.82,14.02,14.02,0.07,6.79%
2011-03-31,7154.91万,158.23%,7043.57万,False,2.08亿,106.51%,0.3300,21.91,17.11,3.51,-0.23,34.43%,55.36%,3.07%,3.02%,169.14,0.69,129.78,39.37,15.99,14.84,14.84,0.07,6.28%
2011-06-30,1.70亿,92.28%,1.66亿,90.53%,5.01亿,80.70%,0.4400,10.81,8.05,1.61,-0.06,34.16%,55.30%,7.28%,7.28%,171.17,1.33,134.87,36.30,10.42,9.33,9.33,0.10,9.38%
