报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
1992-12-31,False,False,False,False,False,False,False,False,0.63,0.58,False,False,False,False,False,False,False,False,False,1.37,0.47,0.35,0.92,48.01%
1993-06-30,False,False,False,False,9386.08万,False,False,False,0.26,False,False,False,48.01%,False,False,265.40,0.83,217.50,47.91,1.54,0.63,0.55,0.92,47.95%
1993-12-31,6352.47万,False,False,False,1.69亿,False,False,2.36,0.66,0.72,False,37.62%,47.73%,False,28.48%,337.48,1.28,280.61,56.86,1.24,0.46,0.41,0.65,39.46%
1994-06-30,4468.89万,False,False,False,1.24亿,31.74%,False,1.93,0.44,0.02,False,38.28%,35.79%,False,16.35%,241.98,1.12,160.24,81.74,1.38,0.86,0.79,5.95,36.76%
1994-12-31,8281.15万,30.36%,False,False,2.28亿,35.13%,False,2.11,0.44,0.42,False,36.38%,False,False,32.98%,False,False,False,False,1.17,0.69,0.06,0.66,39.31%
1995-06-30,2744.23万,-38.59%,False,False,1.20亿,-2.67%,0.1650,1.72,0.34,0.23,False,22.80%,False,False,8.64%,False,False,False,False,1.25,1.25,0.0000,0.55,35.69%
1995-12-31,4804.59万,-41.98%,False,False,2.67亿,17.16%,False,1.76,0.58,0.0016,False,17.98%,39.05%,False,13.92%,279.65,2.18,164.81,114.83,1.04,0.63,0.48,1.21,54.58%
1996-06-30,1715.59万,-37.48%,False,False,1.69亿,40.65%,False,1.87,0.60,0.08,False,11.00%,False,False,4.68%,False,False,False,False,1.37,1.37,0.0000,1.29,48.43%
1996-12-31,40.54万,-99.16%,False,False,2.99亿,11.92%,0.0020,1.37,0.23,0.0026,False,-3.38%,39.55%,False,0.12%,379.67,1.34,268.06,111.61,0.80,0.43,0.38,1.58,53.77%
1997-06-30,1839.77万,7.24%,False,False,2.11亿,24.46%,False,1.45,0.23,0.07,False,9.52%,False,False,4.99%,False,False,False,False,0.61,0.61,0.0000,1.62,54.75%
1997-12-31,1191.78万,2839.51%,False,False,4.40亿,46.97%,False,1.38,0.23,0.0009,False,2.36%,38.97%,False,3.38%,325.74,1.61,223.26,102.49,0.64,0.37,0.35,1.76,56.55%
1998-06-30,208.03万,-88.69%,False,False,2.31亿,9.44%,False,1.40,0.23,0.0091,False,-1.94%,31.06%,False,0.58%,307.04,1.02,175.97,131.07,0.66,0.39,0.36,1.79,57.31%
1998-12-31,-1863.04万,-256.32%,False,False,4.89亿,13.16%,-0.0700,1.32,0.23,-0.07,0.40,-5.39%,29.96%,-5.21%,-5.34%,281.57,2.23,161.67,119.90,0.70,0.44,0.39,2.01,59.94%
1999-06-30,3975.29万,1810.89%,False,False,3.05亿,32.26%,0.1560,1.47,0.23,0.09,False,13.04%,33.93%,11.19%,10.59%,137.10,1.31,137.10,False,0.68,0.47,0.47,2.05,67.24%
1999-12-31,7057.32万,478.81%,6298.83万,False,6.09亿,24.39%,0.2800,1.58,0.24,0.16,0.56,11.92%,32.85%,19.27%,17.57%,154.00,2.34,154.00,False,0.73,0.38,0.41,1.78,64.08%
2000-06-30,6145.22万,54.59%,5565.64万,False,3.33亿,9.26%,False,1.82,0.24,0.40,0.45,18.44%,36.03%,False,13.24%,176.90,1.02,176.90,False,0.61,0.33,0.34,1.98,66.43%
2000-12-31,1.27亿,79.41%,1.55亿,146.31%,7.54亿,23.83%,0.5900,1.90,0.24,0.37,0.89,19.90%,39.04%,31.47%,31.03%,165.81,2.17,165.81,False,0.87,0.49,0.48,1.86,65.02%
