报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2014-12-31,5442.58万,False,1309.77万,False,8.67亿,False,False,1.28,False,0.25,-0.69,6.41%,25.73%,23.72%,21.19%,328.86,2.06,174.53,154.33,2.02,0.49,0.49,9.89,88.33%
2015-12-31,9.31亿,1609.94%,8.80亿,6619.47%,57.03亿,557.93%,0.7755,0.89,0.78,0.80,0.47,16.67%,38.64%,130.37%,74.23%,156.92,5.17,69.63,87.29,1.03,0.78,0.78,5.72,82.72%
2016-12-31,28.52亿,206.43%,27.86亿,216.61%,148.79亿,160.90%,1.8736,8.42,18.93,4.83,1.15,19.61%,43.70%,69.55%,18.41%,169.07,6.98,51.60,117.47,2.14,1.04,1.03,0.83,44.76%
2017-03-31,-1168.79万,False,-1.29亿,False,14.54亿,False,-0.0189,False,False,False,False,1.13%,37.76%,-0.07%,False,False,False,False,False,False,False,False,False,False
2017-06-30,18.11亿,False,5.56亿,False,62.95亿,False,0.9499,11.58,7.71,2.55,-0.32,32.10%,37.49%,10.79%,False,312.03,1.48,121.57,190.46,1.86,0.76,0.76,0.78,43.37%
2017-09-30,25.71亿,False,False,False,119.71亿,False,1.3300,False,False,False,False,23.65%,35.70%,False,False,False,False,False,False,False,False,False,False,False
2017-12-31,38.78亿,35.98%,23.76亿,-14.74%,199.97亿,34.40%,2.0084,12.63,7.85,3.33,1.20,20.97%,36.29%,18.99%,15.70%,195.63,5.33,67.50,128.13,1.85,1.49,1.49,0.94,46.70%
2018-03-31,4.13亿,3636.53%,2.69亿,308.06%,37.12亿,155.20%,0.2100,12.86,7.86,3.54,-1.67,12.64%,32.76%,1.66%,1.64%,301.08,0.66,135.79,165.29,2.05,1.62,1.62,0.83,43.58%
2018-06-30,9.11亿,-49.70%,6.97亿,25.30%,93.60亿,48.69%,0.4659,14.19,9.45,3.41,0.49,11.43%,31.28%,3.63%,2.96%,265.21,1.54,116.67,148.54,2.35,1.84,1.83,0.73,40.80%
2018-09-30,23.79亿,-7.47%,19.85亿,False,191.36亿,59.85%,1.1731,14.72,9.72,4.03,2.55,13.81%,31.28%,8.61%,7.36%,207.65,3.02,89.36,118.30,2.07,1.74,1.73,0.91,45.87%
2018-12-31,33.87亿,-12.66%,31.28亿,31.68%,296.11亿,48.08%,1.6412,15.01,9.74,4.33,5.16,12.62%,32.79%,11.75%,10.28%,174.80,3.79,94.91,79.90,1.73,1.44,1.43,1.17,52.36%
2019-03-31,10.47亿,153.35%,9.16亿,240.32%,99.82亿,168.93%,0.4821,15.59,9.77,4.81,2.27,11.19%,28.71%,3.12%,3.06%,157.18,0.96,93.35,63.83,1.57,1.32,1.30,1.38,56.01%
2019-06-30,21.02亿,130.79%,18.19亿,160.82%,202.64亿,116.50%,0.9674,15.76,9.55,5.15,3.32,11.58%,29.79%,6.15%,6.08%,169.68,1.70,105.65,64.04,1.51,1.23,1.21,1.50,57.65%
2019-09-30,34.64亿,45.65%,29.65亿,49.34%,328.56亿,71.70%,1.6002,16.73,9.75,5.74,4.68,11.44%,29.08%,9.87%,9.38%,164.40,2.73,98.96,65.44,1.57,1.26,1.22,1.51,57.96%
2019-12-31,45.60亿,34.64%,39.15亿,25.15%,457.88亿,54.63%,2.0937,17.27,9.79,6.18,6.10,10.95%,29.06%,12.78%,11.96%,160.08,3.50,102.83,57.25,1.57,1.27,1.23,1.55,58.37%
2020-03-31,7.42亿,-29.14%,4.28亿,-53.24%,90.31亿,-9.53%,0.3406,17.56,9.82,6.49,1.42,10.02%,25.09%,1.93%,1.91%,224.82,0.62,144.18,80.64,1.80,1.49,1.46,1.50,57.37%
2020-06-30,19.37亿,-7.86%,13.77亿,-24.30%,188.29亿,-7.08%,0.8833,17.98,9.84,6.81,2.64,11.39%,27.15%,4.97%,4.88%,212.17,1.33,135.17,77.00,1.92,1.61,1.57,1.39,55.26%
2020-09-30,33.57亿,-3.10%,25.67亿,-13.40%,315.22亿,-4.06%,1.5243,26.34,17.72,7.07,4.42,11.68%,27.41%,7.62%,5.47%,197.08,2.20,122.87,74.20,2.51,2.23,2.20,1.16,51.67%
2020-12-31,55.83亿,22.43%,42.65亿,8.93%,503.19亿,9.90%,2.4942,27.56,17.88,8.00,7.91,12.13%,27.76%,11.27%,8.70%,192.57,2.94,122.34,70.23,2.05,1.78,1.75,1.36,55.82%
2021-03-31,19.54亿,163.38%,16.72亿,290.50%,191.67亿,112.24%,0.8463,28.18,17.76,8.84,4.71,12.23%,27.28%,3.01%,2.98%,153.51,0.92,98.21,55.30,1.80,1.49,1.48,1.55,58.84%
2021-06-30,44.84亿,131.45%,39.18亿,184.64%,440.75亿,134.07%,1.9416,29.52,17.80,9.69,11.05,12.08%,27.26%,6.74%,6.52%,156.57,1.72,104.96,51.61,1.43,1.10,1.08,1.92,63.67%
