报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2007-12-31,6475.03万,False,6402.30万,False,3.06亿,False,1.3800,2.48,1.47,0.02,1.05,20.71%,29.56%,42.66%,36.05%,167.15,2.19,164.54,2.61,1.63,0.63,0.63,0.61,38.15%
2008-12-31,4392.96万,-32.16%,4020.85万,-37.20%,2.85亿,-7.03%,0.6000,3.34,1.62,0.55,0.09,15.37%,23.79%,20.62%,18.49%,178.72,2.08,173.07,5.65,1.86,0.78,0.78,0.52,33.58%
2009-09-30,2484.88万,False,False,False,2.37亿,False,0.3400,False,False,False,-0.12,10.47%,19.15%,8.94%,False,False,False,False,False,False,False,False,False,False
2009-12-31,3646.99万,-16.98%,3252.02万,-19.12%,3.05亿,7.15%,0.5000,3.23,1.62,0.50,0.36,11.96%,20.00%,14.97%,15.36%,148.02,2.55,140.91,7.11,2.51,1.22,1.22,0.64,38.85%
2010-03-31,761.35万,False,False,False,5914.59万,False,0.1000,False,False,False,0.37,12.87%,18.57%,3.15%,False,False,False,False,False,False,False,False,False,False
2010-06-30,1902.64万,False,1530.86万,False,1.38亿,False,0.1700,3.49,1.62,0.76,-0.11,13.80%,22.27%,7.71%,7.42%,183.95,1.08,167.21,16.74,1.95,0.68,0.68,0.71,41.63%
2010-09-30,2925.32万,17.72%,2433.58万,False,2.11亿,-10.98%,0.2600,9.63,7.88,0.68,-0.12,13.84%,22.63%,8.94%,3.10%,174.88,1.78,151.64,23.24,9.67,8.17,8.17,0.17,14.47%
2010-12-31,3888.41万,6.62%,3294.77万,1.31%,2.94亿,-3.56%,0.3200,9.73,7.88,0.74,-0.27,13.21%,21.87%,8.06%,4.08%,189.64,2.04,176.16,13.48,13.85,11.14,11.14,0.10,9.13%
2011-03-31,884.25万,16.14%,736.65万,False,7626.17万,28.94%,0.0600,9.82,7.88,0.83,-0.09,11.59%,17.33%,0.92%,0.92%,232.65,0.46,195.23,37.42,17.64,14.32,14.32,0.09,7.88%
2011-06-30,1979.66万,4.05%,1559.08万,1.84%,1.90亿,37.55%,0.1300,6.56,4.92,0.56,-0.15,10.44%,15.81%,2.06%,2.05%,172.67,1.22,147.25,25.42,8.10,6.10,6.10,0.13,11.67%
2011-09-30,3224.94万,10.24%,2601.66万,6.91%,2.98亿,41.18%,0.2200,6.64,4.92,0.65,-0.09,10.81%,16.11%,3.34%,3.30%,175.10,1.76,153.70,21.40,7.80,5.89,5.89,0.14,11.90%
2011-12-31,4022.60万,3.45%,3351.25万,1.71%,4.03亿,36.86%,0.2700,6.70,4.92,0.67,0.06,9.99%,16.52%,4.13%,4.09%,194.95,2.05,175.46,19.49,6.19,4.38,4.38,0.14,12.34%
2012-03-31,814.80万,-7.85%,705.91万,-4.17%,8270.24万,8.45%,0.0600,6.75,4.92,0.73,-0.10,9.85%,16.64%,0.82%,0.82%,266.63,0.38,235.48,31.15,7.04,4.50,4.50,0.12,10.36%
2012-06-30,2175.69万,9.90%,1938.39万,24.33%,2.02亿,6.29%,0.1500,6.74,4.92,0.72,0.14,10.80%,18.30%,2.19%,2.19%,202.40,1.01,178.36,24.04,6.39,3.98,3.98,0.11,9.96%
2012-09-30,3791.03万,17.55%,3171.19万,21.89%,3.07亿,2.86%,0.2600,6.85,4.92,0.83,0.0005,12.35%,20.78%,3.80%,3.76%,239.18,1.27,213.15,26.03,3.30,1.97,1.97,0.18,15.35%
2012-12-31,4173.42万,3.75%,3554.00万,6.05%,3.97亿,-1.47%,0.2800,6.88,4.92,0.83,-0.30,10.52%,21.41%,4.19%,4.13%,264.57,1.50,240.56,24.01,2.79,1.99,1.99,0.55,35.53%
2013-03-31,203.59万,-75.01%,70.42万,-90.02%,7345.82万,-11.18%,0.0100,6.89,4.92,0.84,-0.11,2.77%,18.75%,0.20%,0.20%,378.70,0.26,346.15,32.55,2.73,0.71,0.71,0.53,34.68%
