报告日,经营活动产生的现金流量,销售商品、提供劳务收到的现金,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,减少质押和定期存款所收到的现金,处置可供出售金融资产净增加额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,增加质押和定期存款所支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,期初现金及现金等价物余额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,1596692315.73,,,,,,,,,,,13225570.39,213547973.74,1823465859.86,1768988714.55,,,,,,184530068.39,40877271.66,395844942.22,2390240996.82,-566775136.96,,,1324694.59,432000.0,0.0,1168600665.73,,,1170357360.32,145036277.01,,,,,1720900000.0,1865936277.01,-695578916.69,,,,576509163.71,,,576509163.71,788375040.0,11764855.21,,2111930.16,802251825.37,-225742661.66,-32194858.83,-1520291574.14,3492394362.14,,,,,1972102788.0,定期报告,未审计,20260424,CNY,合并期末,2026-04-23T20:32:06
20251231,,4615984333.4,,,,,,,,,,,19588028.71,124987254.05,4760559616.16,3899518514.88,,,,,,429747769.72,28852720.63,325153299.29,4683272304.52,77287311.64,,,348418.09,600592.81,,115500000.0,,,116449010.9,479853218.16,,,,,126600986.08,606454204.24,-490005193.34,,1674922037.27,,2973214792.26,,,4648136829.53,2431599960.0,92915051.25,,105948795.78,2630463807.03,2017673022.5,-63782340.14,1541172800.66,1951221561.48,3492394362.14,1951221561.48,,,3492394362.14,定期报告,是,20260424,CNY,合并期末,2026-04-23T20:32:06
20250930,,4300620725.05,,,,,,,,,,,33222752.6,861874968.92,5195718446.57,4366809674.97,,,,,,337364482.85,92186171.78,1292560648.07,6088920977.67,-893202531.1,,,62629.47,300.0,,50000000.0,,,50062929.47,255664650.51,,,,,115500000.0,371164650.51,-321101721.04,,32647578.97,,2688308917.15,,104000000.0,2824956496.12,2210108558.95,79939434.2,,178739632.1,2468787625.25,356168870.87,-566131.12,-858701512.39,1951220014.67,,,,,1092518502.28,定期报告,未审计,20251029,CNY,合并期末,2025-10-28T16:16:33
20250630,,2302736159.19,,,,,,,,,,,132779.99,609690517.87,2912559457.05,2625885568.49,,,,,,228139867.7,88253590.5,741949671.34,3684228698.03,-771669240.98,,,,,,,,,0.0,144181069.31,,,,,25500000.0,169681069.31,-169681069.31,,,,1678622984.0,,104000000.0,1782622984.0,1074389635.88,25342515.15,,176524001.21,1276256152.24,506366831.76,8531457.48,-426452021.05,1951221561.48,1524769540.43,1951221561.48,,,1524769540.43,定期报告,未审计,20250828,CNY,合并期末,2025-08-27T19:16:05
20250331,,876388300.67,,,,,,,,,,,253861.31,281165439.03,1157807601.01,1194405640.77,,,,,,129697300.16,36709511.76,504720230.55,1865532683.24,-707725082.23,,,,,,,,,0.0,44877709.6,,,,,,44877709.6,-44877709.6,,,,1099567084.0,,,1099567084.0,815004050.0,13860520.38,,432497.94,829297068.32,270270015.68,4349377.98,-477983398.17,1951221561.48,,,,,1473238163.31,定期报告,未审计,20260424,CNY,合并期末,2025-04-23T19:58:06
20241231,,4880573762.35,,,,,,,,,,,20214272.76,28893827.86,4929681862.97,4160555069.31,,,,,,363935481.28,68398641.97,215229111.13,4808118303.69,121563559.28,,,216165.01,2084871.79,,150000000.0,,,152301036.8,408591045.34,,,,,121341220.61,529932265.95,-377631229.15,,36072039.57,,1945687375.23,,,1981759414.8,1223199960.0,74841936.27,,144265239.1,1442307135.37,539452279.43,6195511.23,289580120.79,1661641440.69,1951221561.48,1661641440.69,,,1951221561.48,定期报告,是,20260424,CNY,合并期末,2025-04-23T19:58:06
20240930,,2928581623.47,,,,,,,,,,,20326191.02,723712893.44,3672620707.93,2893091059.78,,,,,,263054958.33,105906437.09,1059667903.1,4321720358.3,-649099650.37,,,222521.37,100000.0,-13884.26,150000000.0,,,150308637.11,323364288.41,,,,,120000000.0,443364288.41,-293055651.3,,33725726.97,,1582170125.02,,,1615895851.99,798580851.66,57056984.03,,37915968.81,893553804.5,722342047.49,7509401.5,-212303852.68,1661641440.69,,,,,1449337588.01,定期报告,未审计,20251029,CNY,合并期末,2024-10-28T17:55:08
20240630,,1776668726.54,,,,,,,,,,,10926213.77,469565349.45,2257160289.76,2170941937.2,,,,,,183449367.74,68282005.87,599271793.37,3021945104.18,-764784814.42,,,222521.37,100000.0,-13884.26,150000000.0,,,150308637.11,249823573.5,,,,,120000000.0,369823573.5,-219514936.39,,,,823486378.29,,,823486378.29,449100654.44,44967982.1,,5858921.77,499927558.31,323558819.98,7503222.93,-653237707.9,1661641440.69,1008403732.79,1661641440.69,,,1008403732.79,定期报告,未审计,20250828,CNY,合并期末,2024-08-27T18:10:14
20240331,,639940639.92,,,,,,,,,,,2154856.02,279864372.13,921959868.07,1043572702.93,,,,,,113967240.96,35791755.09,251501901.97,1444833600.95,-522873732.88,,,128548.77,15000.0,,131215665.18,,,131359213.95,62755610.53,,,,,120000000.0,182755610.53,-51396396.58,,,,166846824.06,,,166846824.06,423608212.98,3399952.51,,3168826.8,430176992.29,-263330168.23,1739533.77,-835860763.92,1661641440.69,,,,,825780676.77,定期报告,未审计,20250424,CNY,合并期末,2024-04-22T20:45:05
20231231,,3637062235.54,,,,,,,,,,,4597293.27,47126976.27,3688786505.08,3039955646.07,,,,,,240946890.28,44798483.57,399285744.6,3724986764.52,-36200259.44,,,2490262.63,331673.86,,411737500.0,,,414559436.49,288224961.74,,,,,336737500.0,624962461.74,-210403025.25,,56938246.49,7000000.0,1004943526.66,,,1061881773.15,392081282.27,45043497.79,,9152762.81,446277542.87,615604230.28,12611630.17,381612575.76,1280028864.93,1661641440.69,1280028864.93,,,1661641440.69,定期报告,是,20250424,CNY,合并期末,2024-04-22T20:45:05
20230930,,1985532849.64,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,3594091.77,633272076.19,2622399017.6,2157717666.92,0.0,0.0,0.0,0.0,0.0,179956718.3,102600231.32,980750899.73,3421025516.27,-798626498.67,,0.0,2519269.04,117020.0,0.0,408746000.0,,,411382289.04,185648654.92,0.0,0.0,0.0,,306737500.0,492386154.92,-81003865.88,,46796615.93,0.0,874178895.54,,0.0,920975511.47,368851186.44,37971581.22,0.0,7772171.45,414594939.11,506380572.36,5215831.38,-368033960.81,1280028864.93,,,,,911994904.12,定期报告,未审计,20241029,CNY,合并期末,2023-10-29T16:50:05
