报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2013-12-31,700.65万,False,700.58万,False,1.59亿,False,0.2500,1.12,False,0.10,-0.57,4.40%,34.95%,22.79%,12.57%,570.65,0.96,374.96,195.68,1.39,0.68,0.68,2.92,74.47%
2014-12-31,2116.68万,202.10%,2111.53万,201.40%,2.11亿,32.14%,0.4200,1.54,False,0.48,-0.44,10.05%,34.40%,31.91%,27.52%,551.03,0.95,378.87,172.16,1.19,0.55,0.55,4.04,80.14%
2015-12-31,3363.19万,58.89%,3198.01万,51.45%,3.46亿,64.11%,0.6700,2.04,0.81,0.16,-0.46,9.73%,35.80%,35.90%,32.97%,400.27,0.90,400.27,False,1.11,0.51,0.51,5.29,84.11%
2016-06-30,1827.99万,False,1791.35万,False,2.64亿,False,0.3700,2.41,0.81,0.53,-0.19,6.93%,30.15%,16.45%,15.20%,468.89,0.57,317.24,151.66,1.12,0.57,0.57,5.33,84.20%
2016-12-31,3629.41万,7.92%,3382.24万,5.76%,5.48亿,58.58%,0.7300,2.77,0.81,0.81,-0.0100,6.62%,30.52%,30.21%,26.24%,265.68,1.36,265.68,False,1.19,0.72,0.72,4.17,80.65%
2017-06-30,2607.18万,42.63%,2529.89万,41.23%,3.20亿,21.25%,0.5200,3.21,0.81,1.26,0.24,8.15%,31.77%,17.23%,16.22%,437.14,0.73,246.04,191.10,1.18,0.69,0.69,4.87,82.95%
2017-12-31,5446.65万,50.07%,5165.07万,52.71%,6.84亿,24.69%,1.0900,4.90,2.12,1.55,0.86,7.97%,32.63%,33.36%,20.20%,342.35,1.91,188.84,153.51,1.45,0.99,0.99,2.15,68.24%
2018-06-30,2598.33万,-0.34%,2433.06万,-3.83%,3.65亿,14.01%,0.4700,5.37,2.12,2.00,0.47,7.12%,31.39%,9.08%,8.80%,163.87,1.10,163.87,False,1.45,1.06,1.06,2.15,68.22%
2018-12-31,7086.04万,30.10%,6903.77万,33.66%,8.47亿,23.88%,1.2900,6.08,2.12,2.60,3.02,8.37%,28.75%,23.53%,21.18%,298.55,2.74,131.55,167.01,1.40,1.10,1.10,2.39,70.47%
2019-03-31,1632.05万,False,1483.02万,False,2.30亿,False,0.2967,False,False,False,False,7.09%,25.93%,4.76%,False,False,False,False,False,False,False,False,False,False
2019-06-30,3106.15万,19.54%,2938.08万,20.76%,3.75亿,2.73%,0.5648,False,False,False,0.63,8.29%,29.77%,8.97%,False,False,False,False,False,False,False,False,False,False
2019-09-30,5137.32万,False,False,False,6.01亿,False,0.8900,False,False,False,-2.40,8.55%,29.37%,False,False,False,False,False,False,False,False,False,False,False
2019-12-31,8384.29万,18.32%,7376.49万,6.85%,9.23亿,8.97%,1.5200,7.48,2.12,3.88,1.78,9.09%,29.81%,22.27%,20.39%,348.02,2.77,130.07,217.94,1.38,1.09,1.09,2.40,70.55%
2020-03-31,1883.07万,15.38%,783.40万,-47.18%,1.06亿,-54.12%,0.3400,7.82,2.12,4.22,-3.07,17.83%,29.08%,4.47%,4.38%,828.94,0.28,317.57,511.36,1.47,1.09,1.03,1.89,65.37%
2020-06-30,3035.80万,-2.26%,1405.59万,-52.16%,2.52亿,-32.73%,0.2500,10.88,6.20,3.32,-2.40,12.04%,29.02%,5.02%,3.81%,717.57,0.62,291.64,425.93,1.79,1.38,1.31,1.18,54.05%
2020-09-30,5558.48万,8.20%,3868.77万,False,6.31亿,5.05%,0.4500,11.22,6.20,3.67,-4.18,8.80%,25.06%,8.73%,6.75%,490.02,1.45,186.75,303.27,1.63,1.24,1.14,1.46,59.37%
2020-12-31,7745.36万,-7.62%,5667.00万,-23.17%,10.04亿,8.82%,0.6200,11.52,6.20,3.91,0.45,7.71%,25.74%,11.27%,9.17%,355.76,2.31,155.82,199.93,1.45,1.14,1.09,1.66,62.40%
2021-03-31,1556.77万,-17.33%,1097.32万,40.07%,1.60亿,51.54%,0.1200,11.73,6.20,4.13,-2.79,9.73%,25.09%,1.83%,1.81%,578.67,0.31,292.78,285.90,1.52,1.15,1.09,1.44,59.06%
