报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2006-12-31,4717.32万,False,4721.84万,False,11.03亿,False,0.4400,1.67,0.23,0.40,0.33,4.41%,14.29%,33.32%,23.51%,110.33,4.04,89.15,21.18,0.91,0.46,0.46,3.45,74.37%
2007-12-31,8047.13万,70.59%,7857.27万,66.40%,20.83亿,88.76%,0.6700,2.36,0.25,1.02,0.64,4.35%,12.61%,33.26%,28.39%,75.84,5.90,60.98,14.86,1.09,0.44,0.44,3.01,72.31%
2008-09-30,7142.85万,False,False,False,16.37亿,False,0.6000,False,False,False,False,4.81%,13.21%,False,False,False,False,False,False,False,False,False,False,False
2008-12-31,8123.70万,0.95%,7946.45万,1.13%,20.76亿,-0.32%,0.6800,3.04,0.25,1.65,1.16,4.31%,13.49%,25.07%,22.28%,87.97,5.26,68.41,19.56,1.10,0.59,0.59,2.35,67.43%
2009-03-31,1763.84万,False,False,False,3.39亿,False,0.1500,False,False,False,-0.55,6.00%,19.06%,4.85%,False,False,False,False,False,False,False,False,False,False
2009-06-30,5390.06万,False,5291.24万,False,7.92亿,False,0.3500,3.39,0.25,2.00,1.12,7.35%,20.30%,14.12%,13.26%,111.63,2.14,84.25,27.39,1.08,0.66,0.66,2.51,69.05%
2009-09-30,7754.78万,8.57%,7743.73万,False,12.46亿,-23.86%,0.5000,3.59,0.25,2.20,1.16,6.85%,18.95%,0.0000%,18.02%,110.65,3.25,83.01,27.64,1.18,0.65,0.65,2.32,67.25%
2009-12-31,9542.57万,17.47%,9339.52万,17.53%,15.83亿,-23.75%,0.6100,8.27,5.41,1.72,0.94,6.57%,18.36%,23.71%,7.21%,114.87,4.09,87.97,26.90,2.50,1.81,1.81,0.48,31.71%
2010-03-31,1605.67万,-8.97%,1564.71万,False,3.85亿,13.49%,0.1000,8.37,5.41,1.82,-0.88,4.38%,13.93%,1.21%,1.20%,140.28,0.85,105.98,34.30,2.21,1.39,1.39,0.52,33.28%
2010-06-30,3820.19万,-29.13%,3670.27万,-30.64%,8.51亿,7.44%,0.1800,6.47,3.93,1.43,-0.53,4.99%,14.39%,2.85%,2.84%,132.31,1.69,106.74,25.57,2.06,1.17,1.17,0.54,34.16%
2010-09-30,5549.30万,-28.44%,5341.22万,-31.03%,12.95亿,3.91%,0.2700,6.55,3.93,1.51,-0.32,4.89%,14.37%,4.13%,4.07%,125.41,2.76,97.97,27.44,2.41,1.32,1.32,0.41,27.94%
2010-12-31,7321.65万,-23.27%,6568.77万,-29.67%,17.84亿,12.71%,0.3500,6.64,3.93,1.58,0.28,4.67%,13.40%,5.42%,5.30%,110.19,4.20,85.65,24.54,2.48,1.34,1.34,0.37,26.33%
2011-03-31,2050.45万,27.70%,1884.14万,20.41%,4.42亿,14.92%,0.1000,6.74,3.93,1.68,-1.25,5.47%,15.36%,1.47%,1.46%,155.74,0.73,122.62,33.13,1.76,0.79,0.79,0.59,35.97%
2011-06-30,6060.75万,58.65%,5412.14万,47.46%,11.00亿,25.45%,0.1900,6.83,3.93,1.76,-0.97,6.30%,16.08%,4.25%,4.21%,137.69,1.69,106.77,30.92,1.82,0.86,0.86,0.64,38.00%
