日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-07-04,601100,69.91,68.83,72.15,66.16,492882,3408735143.0,8.57,-1.54,-1.08,3.68
2025-07-11,601100,68.4,70.96,72.54,67.6,462247,3268387540.0,7.18,3.09,2.13,3.45
2025-07-18,601100,71.62,76.1,76.6,70.63,504690,3763796744.0,8.41,7.24,5.14,3.76
2025-07-25,601100,79.27,75.33,85.05,74.9,797758,6311614769.0,13.34,-1.01,-0.77,5.95
2025-08-01,601100,75.33,72.86,76.18,72.03,389744,2910828136.0,5.51,-3.28,-2.47,2.91
2025-08-08,601100,72.5,77.83,80.59,72.26,665436,5163945411.0,11.43,6.82,4.97,4.96
2025-08-15,601100,77.84,75.25,79.2,74.04,406658,3116712130.0,6.63,-3.31,-2.58,3.03
2025-08-22,601100,75.86,82.39,84.55,75.01,654976,5325645198.0,12.68,9.49,7.14,4.88
2025-08-29,601100,83.2,89.12,90.38,81.88,625934,5372760754.0,10.32,8.17,6.73,4.67
2025-09-05,601100,90.01,87.7,95.3,84.71,607141,5483580132.0,11.88,-1.59,-1.42,4.53
2025-09-12,601100,87.62,86.06,94.39,85.16,572525,5083404977.0,10.52,-1.87,-1.64,4.27
2025-09-19,601100,86.06,93.25,100.7,85.72,819722,7751238194.0,17.41,8.35,7.19,6.11
2025-09-26,601100,92.68,89.4,95.14,89.05,447756,4134338587.0,6.53,-4.13,-3.85,3.34
2025-09-30,601100,89.4,95.47,96.58,89.39,224126,2116244139.0,8.04,6.79,6.07,1.67
2025-10-10,601100,96.67,97.97,104.6,94.7,377693,3807543334.0,10.37,2.62,2.5,2.82
2025-10-17,601100,91.8,88.98,100.66,88.73,593754,5615897675.0,12.18,-9.18,-8.99,4.43
2025-10-24,601100,90.0,92.63,94.98,87.89,330002,3023391847.0,7.97,4.1,3.65,2.46
2025-10-31,601100,93.2,95.78,99.67,91.23,492757,4728886197.0,9.11,3.4,3.15,3.68
2025-11-07,601100,95.52,93.92,96.35,87.0,468988,4295435697.0,9.76,-1.94,-1.86,3.5
2025-11-14,601100,93.3,86.07,94.28,85.21,351439,3117878649.0,9.66,-8.36,-7.85,2.62
2025-11-21,601100,86.07,92.15,94.33,85.58,416196,3732517612.0,10.17,7.06,6.08,3.1
2025-11-28,601100,92.71,101.3,102.33,89.04,794204,7704499874.0,14.42,9.93,9.15,5.92
2025-12-05,601100,103.97,112.98,113.47,101.0,783727,8332807343.0,12.31,11.53,11.68,5.85
2025-12-12,601100,111.78,110.35,113.74,107.75,578302,6397125091.0,5.3,-2.33,-2.63,4.31
2025-12-19,601100,109.61,105.34,112.4,104.0,494212,5319252590.0,7.61,-4.54,-5.01,3.69
2025-12-26,601100,105.88,108.61,109.65,103.81,430653,4580311192.0,5.54,3.1,3.27,3.21
2025-12-31,601100,108.5,109.91,114.15,105.04,389625,4303967721.0,8.39,1.2,1.3,2.91
2026-01-09,601100,108.8,115.2,118.54,108.07,716613,8180814207.0,9.53,4.81,5.29,5.34
2026-01-16,601100,113.8,118.8,125.4,110.88,712149,8338769053.0,12.6,3.13,3.6,5.31
2026-01-23,601100,120.0,117.68,125.98,113.23,749189,8891618004.0,10.73,-0.94,-1.12,5.59
2026-01-30,601100,118.04,108.4,118.5,105.88,625257,6982921017.0,10.72,-7.89,-9.28,4.66
2026-02-06,601100,108.72,119.64,122.58,107.17,643918,7460757704.0,14.22,10.37,11.24,4.8
2026-02-13,601100,121.2,118.54,125.87,118.3,321014,3916041227.0,6.33,-0.92,-1.1,2.39
2026-02-27,601100,119.91,112.83,119.99,112.11,332540,3807332608.0,6.65,-4.82,-5.71,2.48
2026-03-06,601100,111.0,106.97,114.47,103.22,458902,4944073956.0,9.97,-5.19,-5.86,3.42
2026-03-13,601100,105.0,107.7,116.88,103.01,457476,5102104614.0,12.97,0.68,0.73,3.41
2026-03-20,601100,107.11,99.67,107.73,98.3,446523,4559894157.0,8.76,-7.46,-8.03,3.33
2026-03-27,601100,89.7,95.77,98.34,89.1,892239,8279403179.0,9.27,-3.91,-3.9,6.65
2026-04-03,601100,94.64,102.99,105.6,93.7,551646,5576242957.0,12.43,7.54,7.22,4.11
2026-04-10,601100,102.0,101.38,103.4,97.68,367568,3720256782.0,5.55,-1.56,-1.61,2.74
2026-04-17,601100,102.0,105.39,110.2,99.68,454930,4768634321.0,10.38,3.96,4.01,3.39
2026-04-24,601100,105.55,96.85,105.7,94.15,730661,7242951383.0,10.96,-8.1,-8.54,5.45
2026-04-30,601100,97.49,104.98,106.1,95.5,538172,5500290902.0,10.94,8.39,8.13,4.01
2026-05-08,601100,104.65,113.41,116.63,102.45,483302,5334719063.0,13.51,8.03,8.43,3.6
2026-05-15,601100,114.56,116.02,118.74,109.02,535957,6080718002.0,8.57,2.3,2.61,4.0
2026-05-22,601100,115.0,117.05,118.85,110.38,508306,5813849276.0,7.3,0.89,1.03,3.79
2026-05-29,601100,117.09,109.11,118.0,108.5,544881,6091789276.0,8.12,-6.78,-7.94,4.06
2026-06-05,601100,111.3,117.2,120.5,108.8,499070,5685037173.0,10.72,7.41,8.09,3.72
2026-06-12,601100,114.0,114.54,123.8,113.89,697374,8359907603.0,8.46,-2.27,-2.66,5.2
2026-06-18,601100,116.99,117.9,120.58,112.44,342565,3991165725.0,7.11,2.93,3.36,2.55
2026-06-26,601100,117.8,108.2,118.2,108.2,466507,5220748430.0,8.48,-8.23,-9.7,3.48
2026-07-03,601100,107.55,121.66,121.66,104.2,694703,7738492176.0,16.14,12.44,13.46,5.18
