报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2008-12-31,9410.75万,False,9420.68万,False,2.96亿,False,0.5600,0.55,False,1.67,0.18,31.83%,41.65%,81.94%,53.86%,113.41,5.09,70.72,42.69,2.95,1.93,1.93,0.26,20.73%
2009-12-31,1.15亿,22.70%,1.13亿,20.03%,4.16亿,40.72%,0.5300,0.84,False,0.62,0.40,27.76%,41.45%,51.26%,43.71%,78.88,7.79,46.19,32.70,3.31,1.90,1.90,0.28,22.08%
2010-09-30,1.66亿,False,1.66亿,False,5.83亿,False,0.6500,False,False,False,0.45,28.39%,42.22%,False,31.37%,False,False,False,False,False,False,False,False,False
2010-12-31,2.29亿,98.08%,2.29亿,102.28%,8.17亿,96.40%,0.8500,1.68,0.21,0.42,0.66,28.00%,42.27%,56.43%,43.32%,62.29,9.76,36.89,25.40,2.01,1.06,1.06,0.80,44.46%
2011-03-31,9438.94万,False,False,False,3.17亿,False,0.3000,False,False,False,False,29.75%,43.86%,False,False,False,False,False,False,False,False,False,False,False
2011-06-30,2.04亿,False,1.97亿,False,6.50亿,False,0.4300,2.17,0.21,0.91,0.47,31.44%,43.90%,33.75%,29.94%,67.54,4.13,43.60,23.94,1.84,0.88,0.88,0.89,47.08%
2011-09-30,2.86亿,72.46%,2.78亿,67.60%,9.37亿,60.58%,0.6000,2.42,0.21,1.17,0.36,30.49%,43.73%,False,37.41%,86.22,4.29,62.88,23.34,2.07,0.99,0.99,0.86,46.26%
2011-12-31,3.25亿,42.05%,3.17亿,38.38%,11.33亿,38.73%,0.6500,7.47,5.46,0.89,0.27,28.67%,43.40%,31.19%,10.36%,116.84,4.30,83.78,33.06,10.25,8.76,8.76,0.09,8.16%
2012-03-31,8445.15万,-10.53%,8392.23万,False,2.85亿,-10.15%,0.1300,7.67,5.46,1.09,0.32,29.62%,40.45%,2.66%,2.62%,167.46,0.73,123.81,43.64,9.08,7.56,7.56,0.10,8.86%
2012-06-30,1.65亿,-19.41%,1.63亿,-17.35%,5.80亿,-10.71%,0.2600,5.07,3.31,0.69,0.09,28.38%,40.60%,5.12%,5.15%,167.39,1.45,124.52,42.88,10.44,7.99,7.99,0.09,7.97%
2012-09-30,2.29亿,-19.81%,2.14亿,-23.01%,8.04亿,-14.18%,0.3636,5.18,3.31,0.79,0.24,28.49%,39.53%,7.13%,7.02%,185.74,1.96,137.97,47.77,9.97,7.19,7.19,0.09,8.06%
2012-12-31,2.75亿,-15.29%,2.57亿,-18.68%,10.45亿,-7.79%,0.4400,5.25,3.31,0.82,0.38,26.43%,38.84%,8.54%,8.32%,220.79,2.27,158.62,62.17,6.43,4.89,4.89,0.13,11.06%
2013-03-31,6810.11万,-19.36%,6229.82万,-25.77%,3.10亿,8.87%,0.1100,5.36,3.31,0.93,0.04,22.44%,37.14%,2.04%,2.02%,227.61,0.57,157.48,70.13,6.35,4.44,4.44,0.14,12.03%
2013-06-30,1.52亿,-7.63%,1.43亿,-12.38%,6.92亿,19.22%,0.2400,5.34,3.31,0.91,0.07,22.32%,36.96%,4.56%,4.52%,213.73,1.21,148.47,65.26,7.16,4.43,4.43,0.12,10.83%
2013-09-30,2.06亿,-9.86%,1.77亿,-17.01%,9.55亿,18.73%,0.3300,5.43,3.31,1.00,0.19,21.77%,36.35%,6.11%,6.04%,237.36,1.61,168.04,69.33,8.38,4.67,4.67,0.11,9.59%
2013-12-31,2.21亿,-19.56%,1.90亿,-26.19%,12.30亿,17.66%,0.3500,5.45,3.31,0.98,0.40,18.05%,34.21%,6.60%,6.45%,234.93,2.16,166.83,68.10,7.90,4.27,4.27,0.11,9.92%
2014-03-31,3655.98万,-46.32%,2932.92万,-52.92%,2.90亿,-6.50%,0.0600,5.51,3.31,1.04,0.10,12.35%,30.05%,1.05%,1.05%,265.15,0.48,187.58,77.57,8.20,4.99,4.99,0.12,10.26%
2014-06-30,6379.43万,-58.05%,4878.05万,-65.84%,5.82亿,-15.79%,0.1000,5.42,3.31,0.95,0.08,10.84%,27.03%,1.89%,1.87%,258.84,0.98,184.41,74.43,7.08,3.52,3.52,0.12,10.89%
2014-09-30,7513.70万,-63.61%,4626.50万,-73.92%,8.35亿,-12.48%,0.1200,5.44,3.31,0.97,0.30,8.84%,25.39%,2.23%,2.19%,268.20,1.41,191.87,76.33,6.94,3.20,3.20,0.13,11.26%
2014-12-31,9190.72万,-58.49%,3120.48万,-83.57%,10.93亿,-11.10%,0.1500,5.47,3.31,0.98,0.40,8.16%,24.60%,2.68%,2.67%,262.97,1.88,191.22,71.74,4.34,2.14,2.14,0.17,14.29%
