报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2008-12-31,1192.37万,False,1125.05万,False,4013.37万,False,0.2600,1.01,1.24,1.15,0.02,29.71%,45.40%,40.05%,26.36%,234.54,1.79,201.41,33.13,3.63,0.93,0.93,0.19,15.99%
2009-12-31,1459.33万,22.39%,1397.11万,24.18%,5446.25万,35.70%,0.3200,1.22,1.24,1.76,0.08,26.80%,49.12%,29.11%,26.52%,243.85,1.84,196.19,47.66,1.54,0.94,0.94,0.69,40.85%
2010-09-30,2460.62万,False,2484.18万,False,7443.62万,False,0.5500,False,False,False,False,33.06%,55.91%,False,30.90%,False,False,False,False,False,False,False,False,False
2010-12-31,3126.19万,114.22%,2923.18万,109.23%,1.01亿,85.74%,0.6900,1.79,0.24,0.45,0.31,30.90%,52.58%,44.53%,37.30%,242.57,1.83,197.22,45.35,1.04,0.58,0.58,1.15,53.59%
2011-03-31,893.25万,False,False,False,3118.82万,False,0.1900,False,False,False,False,28.64%,48.30%,10.12%,False,False,False,False,False,False,False,False,False,False
2011-06-30,1822.37万,False,1750.53万,False,6737.79万,False,0.3900,2.18,0.24,0.84,0.11,27.05%,48.85%,19.61%,17.86%,251.16,0.92,195.76,55.40,0.87,0.42,0.42,1.11,52.62%
2011-09-30,3233.57万,31.41%,2967.69万,19.46%,1.09亿,46.40%,0.6900,2.48,0.24,1.14,0.62,29.67%,49.49%,False,27.84%,246.30,1.42,190.54,55.75,0.96,0.50,0.50,1.00,49.95%
2011-12-31,4406.61万,40.96%,3851.66万,31.76%,1.47亿,45.26%,0.9400,2.73,0.24,1.25,0.88,29.99%,49.69%,41.63%,34.46%,246.67,1.80,200.33,46.33,1.02,0.42,0.42,0.84,45.52%
2012-03-31,1223.90万,37.02%,1194.43万,False,4725.74万,51.52%,0.2100,8.11,5.80,1.14,0.0100,25.90%,46.33%,1.79%,2.42%,232.00,0.53,169.17,62.83,12.32,10.66,10.66,0.09,7.84%
2012-06-30,2895.51万,58.89%,2855.70万,63.13%,1.01亿,49.74%,0.4800,8.28,5.80,1.30,0.46,28.70%,46.57%,6.47%,5.60%,214.97,1.15,157.16,57.81,19.80,17.21,17.21,0.06,5.49%
2012-09-30,4120.86万,27.44%,4036.71万,36.02%,1.48亿,35.49%,0.3300,8.48,5.80,1.50,0.49,27.91%,46.41%,8.70%,7.79%,238.74,1.49,181.60,57.14,13.36,11.22,11.22,0.07,6.96%
