报告日,经营活动产生的现金流量,销售商品、提供劳务收到的现金,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,减少质押和定期存款所收到的现金,处置可供出售金融资产净增加额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,增加质押和定期存款所支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,期初现金及现金等价物余额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,1066626742.6,,,,,,,,,,,5096451.41,82545469.73,1154268663.74,609295201.93,,,,,,228922218.45,67581084.72,79616596.9,985415102.0,168853561.74,,2659556.74,26389.44,308994.5,,119196.0,,,3114136.68,167137223.02,,,,,1810000.0,168947223.02,-165833086.34,,,,455491873.01,,,455491873.01,161186526.82,2184136.01,,101241309.99,264611972.82,190879900.19,-10938633.09,182961742.5,679651241.23,,,,,862612983.73,定期报告,未审计,20260428,CNY,合并期末,2026-04-27T18:16:07
20251231,,3748931299.71,,,,,,,,,,,27495662.57,125845380.96,3902272343.24,1584956660.41,,,,,,906774174.34,328185361.1,278163122.69,3098079318.54,804193024.7,,5000000.0,31021107.09,1951164.07,,201348534.88,,,239320806.04,405793216.34,22812600.0,,,,199580262.0,628186078.34,-388865272.3,,50975000.0,50975000.0,433592997.53,,,484567997.53,539407829.05,247731162.36,40000000.0,9103273.6,796242265.01,-311674267.48,-5085884.79,98567600.13,581390723.68,679958323.81,581390723.68,,,679958323.81,定期报告,是,20260421,CNY,合并期末,2026-04-20T18:30:12
20250930,,2692224491.29,,,,,,,,,,,31965850.47,87989819.98,2812180161.74,1114173414.27,,,,,,629997332.35,241043494.96,205332163.06,2190546404.64,621633757.1,,8008000.0,26121107.09,1855076.55,,190437039.31,,,226421222.95,236681205.62,2812600.0,,,,195080262.0,434574067.62,-208152844.67,,,,412903767.13,,,412903767.13,372470424.27,224226147.14,,8093373.61,604789945.02,-191886177.89,32348.89,221627083.43,581390723.68,,,,,803017807.11,定期报告,未审计,20251028,CNY,合并期末,2025-10-27T18:38:24
20250630,,1766015351.11,,,,,,,,,,,16151523.48,38255616.27,1820422490.86,757478724.5,,,,,,434125044.71,153682293.58,141990778.48,1487276841.27,333145649.59,,,25973300.0,928606.66,,8957268.26,,,35859174.92,132631721.7,2812600.0,,,,54600000.0,190044321.7,-154185146.78,,,,267717237.71,,,267717237.71,240296723.05,151698570.2,,5357381.6,397352674.85,-129635437.14,2694823.73,52019889.4,581390723.68,633410613.08,581390723.68,,,633410613.08,定期报告,未审计,20250819,CNY,合并期末,2025-08-18T20:28:08
20250331,,805667104.66,,,,,,,,,,,10475484.34,23009556.93,839152145.93,409428305.06,,,,,,201493113.78,64667974.83,71996936.92,747586330.59,91565815.34,,,25973300.0,211746.66,,3527196.0,,,29712242.66,75019810.7,2812600.0,,,,23284200.0,101116610.7,-71404368.04,,1500000.0,,79624865.81,,8492371.9,89617237.71,216195875.15,2203460.55,,1427802.4,219827138.1,-130209900.39,1275986.73,-108772466.36,581390723.68,,,,,472618257.32,定期报告,未审计,20260428,CNY,合并期末,2025-04-25T19:53:47
20241231,,3274726867.91,,,,,,,,,,,50150020.28,110507784.26,3435384672.45,1401223048.81,,,,,,772793935.06,260625917.01,247154268.96,2681797169.84,753587502.61,,,4463366.43,3455437.3,30877.07,126362397.76,,,134312078.56,376207248.29,3500000.0,,,,74767530.0,454474778.29,-320162699.73,,,,1675862671.26,,,1675862671.26,1828315081.83,158604572.3,40462810.94,119853431.06,2106773085.19,-430910413.93,3815681.54,6330070.49,575060653.19,581390723.68,575060653.19,,,581390723.68,定期报告,是,20260421,CNY,合并期末,2025-04-21T18:40:04
20240930,,2212853474.44,,,,,,,,,,,38780830.88,96378629.68,2348012935.0,1090992011.8,,,,,,519874536.08,193040796.87,186998317.95,1990905662.7,357107272.3,,,488160.19,1321491.5,31477.07,99861001.91,,,101702130.67,322607034.57,,,,,75117530.0,397724564.57,-296022433.9,,,,1636567671.26,,,1636567671.26,1526533789.15,153906909.65,,116882464.67,1797323163.47,-160755492.21,4659347.65,-95011306.16,575060653.19,,,,,480049347.03,定期报告,未审计,20251028,CNY,合并期末,2024-10-28T18:45:07
20240630,,1400183319.77,,,,,,,,,,,21562403.75,65638826.15,1487384549.67,726980719.37,,,,,,356090701.94,129655659.22,120498947.09,1333226027.62,154158522.05,,,282032.15,106680.0,,245279798.1,,,245668510.25,164253782.18,,,,,269069430.0,433323212.18,-187654701.93,,,,1471524089.82,,,1471524089.82,1475813929.05,108001078.29,,20681095.08,1604496102.42,-132972012.6,4446001.76,-162022190.72,575060653.19,413038462.47,575060653.19,,,413038462.47,定期报告,未审计,20250819,CNY,合并期末,2024-07-30T18:35:05
20240331,,613571295.69,,,,,,,,,,,14523135.45,57892462.91,685986894.05,361819209.52,,,,,,175033971.19,47981912.18,67383845.93,652218938.82,33767955.23,,,189912.33,90680.0,,25277400.0,,,25557992.33,100849362.25,,,,,20235000.0,121084362.25,-95526369.92,,,,50000000.0,,,50000000.0,47559327.66,4748588.33,,2881600.0,55189515.99,-5189515.99,438864.5,-66509066.18,576385562.81,,,,,509876496.63,定期报告,未审计,20250426,CNY,合并期末,2024-04-25T19:35:15
20231231,,3001773461.4,,,,,,,,,,,75168962.59,97160004.91,3174102428.9,1450735988.8,,,,,,639179589.55,248090919.77,191200599.45,2529207097.57,644895331.33,,,6671847.32,297763.0,,29999237.16,,,36968847.48,440767791.09,63174896.66,,401464479.11,,30000000.0,935407166.86,-898438319.38,,,,597228295.99,,,597228295.99,147785823.88,116062498.05,,12160298.48,276008620.41,321219675.58,2442225.35,70118912.88,504941740.31,575060653.19,504941740.31,,,575060653.19,定期报告,是,20250422,CNY,合并期末,2024-04-18T19:10:07
20230930,,2179487208.9,,,,,,,,,,,65150591.89,59457410.93,2304095211.72,1174412651.13,,,,,,456430638.33,185873122.52,172867002.55,1989583414.53,314511797.19,,1984900.0,4857061.53,36048.0,,28532998.46,,,35411007.99,184347769.28,157787979.21,,238799999.99,,30000000.0,610935748.48,-575524740.49,,,,441328295.99,,31688880.67,473017176.66,32159327.66,112298424.57,,12356792.41,156814544.64,316202632.02,1724867.55,56914556.27,504941740.31,,,,,561856296.58,定期报告,未审计,20241029,CNY,合并期末,2023-10-26T19:40:03
20230630,,1371383640.44,,,,,,,,,,,18995763.07,42435032.59,1432814436.1,816380250.93,,,,,,281482747.92,125122694.36,114228915.16,1337214608.37,95599827.73,,,4845266.3,7900.0,,9999000.0,,,14852166.3,101173818.64,46024943.69,,237628040.65,,29998000.0,414824802.98,-399972636.68,,,,399328295.99,,12737730.12,412066026.11,15500000.0,101249937.77,,15894121.03,132644058.8,279421967.31,22897.07,-24927944.57,504941740.31,480013795.74,504941740.31,,,480013795.74,定期报告,未审计,20240731,CNY,合并期末,2023-08-08T18:25:03
20230331,,602041253.17,,,,,,,,,,,7848236.34,15596672.71,625486162.22,412228353.24,,,,,,141378724.4,47232273.62,55043118.11,655882469.37,-30396307.15,,,1920000.0,,,,,,1920000.0,67432085.23,38674943.69,,230553906.74,,9999499.95,346660435.61,-344740435.61,,,,268328295.99,,,268328295.99,10500000.0,1487597.03,,,11987597.03,256340698.96,-2371180.08,-121167223.88,504941740.31,,,,,383774516.43,定期报告,未审计,20240426,CNY,合并期末,2024-04-25T19:15:05
20221231,,2695632158.04,,,,,,,,,,,64757507.21,130718741.81,2891108407.06,1687593132.51,,,,,,520204415.03,191250621.7,288483847.48,2687532016.72,203576390.34,,2100000.0,5584089.58,20883632.44,,529946061.73,,,558513783.75,545502445.07,3897273.84,,159200000.0,,464093000.0,1172692718.91,-614178935.16,,,,,,10000000.0,10000000.0,,119406116.23,,750000000.0,869406116.23,-859406116.23,3080360.51,-1266928300.54,1771870040.85,504941740.31,1771870040.85,,,504941740.31,定期报告,是,20240419,CNY,合并期末,2023-04-17T18:25:03
20220930,,2011640747.2,,,,,,,,,,,55594893.32,104697373.46,2171933013.98,1252920827.01,,,,,,411487169.28,161961243.13,161270773.04,1987640012.46,184293001.52,,2100000.0,3763304.99,16696019.67,,334930405.07,,,357489729.73,445888389.05,3897273.84,,,,344480000.0,794265662.89,-436775933.16,,,,,,13268413.24,13268413.24,500000000.0,119231547.28,,253196546.72,872428094.0,-859159680.76,4653762.71,-1106988849.69,1771870040.85,,,,,664881191.16,定期报告,未审计,20231027,CNY,合并期末,2022-10-24T19:45:03
20220630,,1335570420.94,,,,,,,,,,,37770588.32,85594003.84,1458935013.1,832871815.92,,,,,,260084627.55,120592202.47,101985920.61,1315534566.55,143400446.55,,2100000.0,2772495.13,8753005.11,,168843061.73,,,182468561.97,247627652.05,2000000.0,,,,128490000.0,378117652.05,-195649090.08,,,,,,12848108.93,12848108.93,500000000.0,119231547.28,,250000000.0,869231547.28,-856383438.35,8088094.62,-900543987.26,1771870040.85,871326053.59,1771870040.85,,,871326053.59,定期报告,未审计,20230809,CNY,合并期末,2022-08-25T18:00:02
20220331,,573805188.29,,,,,,,,,,,12409752.48,75400717.36,661615658.13,411995881.65,,,,,,142329167.77,62181793.46,76951478.27,693458321.15,-31842663.02,,,2344130.42,5180000.0,,121923812.98,,,129447943.4,129792604.82,2000000.0,,,,125815853.4,257608458.22,-128160514.82,,,,,,10142558.91,10142558.91,500000000.0,9694731.29,,200000000.0,709694731.29,-699552172.38,140971.41,-859414378.81,1771870040.85,,,,,912455662.04,定期报告,未审计,20230428,CNY,合并期末,2023-04-27T20:05:07
20211231,,2649854778.37,,,,,,,,,,,12576974.99,120129832.07,2782561585.43,1262755382.85,,,,,,471098268.34,213117985.0,263745271.89,2210716908.08,571844677.35,,7500000.0,17480137.25,19354326.5,2998893.03,2752233172.29,,,2799566529.07,540983746.76,8216358.46,,,,2706992537.99,3256192643.21,-456626114.14,,1250000.0,1250000.0,,,700000000.0,701250000.0,,128148580.97,20000000.0,13026509.84,141175090.81,560074909.19,-3742314.37,671551158.03,1100318882.82,1771870040.85,1100318882.82,,,1771870040.85,定期报告,是,20230418,CNY,合并期末,2022-03-09T19:10:02
20210930,,1749707584.21,,,,,,,,,,,12716983.13,94615446.57,1857040013.91,966610295.98,,,,,,337846469.27,156904897.81,143135968.98,1604497632.04,252542381.87,,7500000.0,14012751.02,158800.0,,1427926306.18,,,1449597857.2,267004709.62,2466358.46,,,,1596720096.0,1866191164.08,-416593306.88,,1250000.0,1250000.0,500000000.0,,203635687.4,704885687.4,,120381033.8,20000000.0,13026509.84,133407543.64,571478143.76,-473900.35,406953318.4,1100328668.87,,,,,1507281987.27,定期报告,未审计,20221025,CNY,合并期末,2021-10-21T15:50:04
