报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,3673598256.0,3673598256.0,,,,,,3566919304.69,3143077395.42,,,,,,,,,48604492.34,107337538.2,16938713.95,111469469.42,139491695.36,115272740.7,,6055760.08,4842012.5,,,,3457355.75,,,,19771511.54,-82201536.29,-7775943.04,,966451.76,46952551.11,4039351.45,,3699041.39,,47292861.17,9062113.88,,38230747.29,38230747.29,,38146521.6,,84225.68,-38359708.89,-37817160.88,,,,,,-37817160.88,,,,,,,,,-37817160.88,,-542548.01,-128961.61,329360.72,-458322.33,0.02,0.02,定期报告,未审计,20260428,CNY,合并期末,2026-04-27T16:42:03
20251231,15566788573.36,15566788573.36,,,,,,14339483629.92,12934724797.63,,,,,,,,,155023457.45,430683427.96,69465428.93,336100941.29,413485576.66,514688309.56,,37937217.47,23620234.79,,,,-4578501.76,,,,104319682.5,-202280611.18,8038640.63,,-90854201.76,1079887169.34,5298491.64,,4949916.63,,1080235744.35,87626851.95,,992608892.4,992608892.4,,980574130.35,,12034762.05,-114332412.18,-113919949.85,,,,,,-113919949.85,,,,,,,,,-113919949.85,,-412462.33,878276480.22,866654180.5,11622299.72,0.42,0.42,定期报告,是,20260327,CNY,合并期末,2026-03-26T18:48:06
20250930,12463595656.1,12463595656.1,,,,,,11626230623.62,10584569259.25,,,,,,,,,118410039.22,322219660.3,47449234.54,231041418.68,322541011.63,398956601.72,,27312490.76,20782735.87,,,,-670765.01,,,,89794694.78,-172061375.69,149447.59,,-25966000.34,755923524.57,4216254.19,,1428006.92,,758711771.84,109025071.62,,649686700.22,649686700.22,,637556355.05,,12130345.17,-84488989.31,-84488989.31,,,,,,-84488989.31,,,,,,,,,-84488989.31,,,565197710.91,553067365.74,12130345.17,0.27,0.27,定期报告,未审计,20251028,CNY,合并期末,2025-10-27T18:16:11
20250630,7737028136.06,7737028136.06,,,,,,7317145793.2,6649921146.42,,,,,,,,,70524451.47,214736035.17,31583324.4,144771118.55,205609717.19,266176196.06,,19862455.26,17203819.27,,,,-382209.81,,,,45592149.55,-253917860.3,13270599.75,,29670956.68,273978433.99,1735381.3,,375472.64,,275338342.65,9380962.86,,265957379.79,265957379.79,,261094606.72,,4862773.07,-33853238.27,-33853238.27,,,,,,-33853238.27,,,,,,,,,-33853238.27,,,232104141.52,227241368.45,4862773.07,0.11,0.11,定期报告,未审计,20250828,CNY,合并期末,2025-08-27T18:10:05
20250331,4079288887.46,4079288887.46,,,,,,3952531862.93,3601056812.72,,,,,,,,,29733843.25,134857776.99,14596634.98,69108835.62,103177959.37,133781349.19,,6772100.31,6710408.44,,,,594943.17,,,,16099485.7,-16098681.46,-27367383.71,,3142952.91,109900441.45,1313030.61,,766478.35,,110446993.71,4723403.21,,105723590.5,105723590.5,,106128157.99,,-404567.49,-2930641.24,-2930641.24,,,,,,-2930641.24,,,,,,,,,-2930641.24,,,102792949.26,103197516.75,-404567.49,0.05,0.05,定期报告,未审计,20260428,CNY,合并期末,2025-04-29T17:02:08
20241231,18682602478.36,18682602478.36,,,,,,17375734048.01,15787606518.28,,,,,,,,,196311824.63,604788932.74,51974447.6,327558607.22,407493717.54,569813716.98,,51804613.22,18629460.08,,,,1020354.15,,,,121137364.75,-356220611.54,71532046.19,,-65984014.24,1130158182.88,4730625.24,,6380288.33,,1128508519.79,112378810.76,,1016129709.03,1016129709.03,,1006602737.08,,9526971.95,-37666895.8,-37666895.8,,,,,,-37666895.8,,,,,,,,,-51575055.55,,,978462813.23,968935841.28,9526971.95,0.43,0.43,定期报告,是,20260327,CNY,合并期末,2025-03-27T19:02:03
20240930,14603886927.79,14603886927.79,,,,,,13092855274.09,11826559614.14,,,,,,,,,156640836.39,479770552.29,49888059.83,237827378.78,342168832.66,417437323.05,,56206628.06,13045729.54,,,,-43918.61,,,,100203738.26,-206203928.58,6672461.26,,-13778689.7,1454087944.39,4350505.41,,4443626.99,,1453994822.81,152511363.8,,1301483459.01,1301483459.01,,1295646909.93,,5836549.08,-30895323.27,-30895323.27,,,,,,-30895323.27,,,,,,,,,-38478474.56,,,1270588135.74,1264751586.66,5836549.08,0.55,0.55,定期报告,未审计,20251028,CNY,合并期末,2024-10-29T16:52:04
20240630,10695995497.44,10695995497.44,,,,,,8958995700.08,8152106505.23,,,,,,,,,110166378.18,325805907.04,37144805.94,146576187.9,187195915.79,268449034.52,,15074051.36,5699486.45,,,,-48505.41,,,,64235439.66,-93038141.87,-1291228.78,,-9815832.35,1712115579.97,2046408.05,,2137373.79,,1712024614.23,211763665.36,,1500260948.87,1500260948.87,,1498620327.99,,1640620.88,-70049134.44,-70049134.44,,,,,,-70049134.44,,,,,,,,,-75059911.37,,,1430211814.43,1428571193.55,1640620.88,0.64,0.64,定期报告,未审计,20250828,CNY,合并期末,2024-08-27T17:42:03
20240331,5725831610.97,5725831610.97,,,,,,4909646177.39,4496587038.5,,,,,,,,,58631435.84,160219492.71,24147530.81,70860476.17,99200203.36,127049522.15,,2455557.16,2456217.16,,,,824750.29,,,,28613422.5,4506910.46,17713515.21,,-9621461.73,860678127.47,1815085.2,,978552.99,,861514659.68,102882495.54,,758632164.14,758632164.14,,759878695.37,,-1246531.23,-26880578.72,-26880578.72,,,,,,-26880578.72,,,,,,,,,-33677749.26,,,731751585.42,732998116.65,-1246531.23,0.32,0.32,定期报告,未审计,20250430,CNY,合并期末,2024-04-29T17:32:03
20231231,21523708522.42,21523708522.42,,,,,,18530461692.92,16830721240.54,,,,,,,,,198145169.13,596750492.7,119751307.45,302200735.53,482892747.57,590660016.42,,27722636.72,18159670.48,,,,632854.33,,,,166941306.05,-52288682.63,-77813105.53,,-7086732.47,3051355105.97,4101236.71,,3648182.91,,3051808159.77,288781280.25,,2763026879.52,2763026879.52,,2759690819.78,,3336059.74,-31001033.29,-31001033.29,,,,,,-31001033.29,,,,,,,,,-20208141.2,,,2732025846.23,2728689786.49,3336059.74,1.24,1.24,定期报告,是,20250328,CNY,合并期末,2024-03-26T17:47:03
