报告日,经营活动产生的现金流量,销售商品、提供劳务收到的现金,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,减少质押和定期存款所收到的现金,处置可供出售金融资产净增加额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,增加质押和定期存款所支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,期初现金及现金等价物余额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,2195732579.22,,,,,,,,,,,82541634.23,27425989.87,2305700203.33,1538225279.53,,,,,,237710506.56,108737176.78,120606648.89,2005279611.76,300420591.57,,1350000000.0,1213747.58,18782495.24,,755572740.21,,,2125568983.03,423290852.26,1518309164.86,,,,856940247.76,2798540264.88,-672971281.85,,,,1119101275.94,,109072451.12,1228173727.06,992885125.64,58857265.23,,36450442.04,1088192832.91,139980894.15,-23277103.74,-255846899.88,3719428902.79,,,,,3463582002.91,定期报告,未审计,20260428,CNY,合并期末,2026-04-27T16:42:03
20251231,,11112964068.15,,,,,,,,,,,116242383.19,262634520.29,11491840971.63,6658236186.07,,,,,,876263947.73,586733819.78,459493061.73,8580727015.31,2911113956.32,,5266797352.0,16793632.61,80069970.35,,964976238.04,,,6328637193.0,2879537781.5,5312577061.5,,81771062.05,,978465590.12,9252351495.17,-2923714302.17,,,,5276188255.8,,1176167085.12,6452355340.92,5989347209.16,335796278.34,,875990820.13,7201134307.63,-748778966.71,-30818845.61,-792198158.17,4511627060.96,3719428902.79,4511627060.96,,,3719428902.79,定期报告,是,20260327,CNY,合并期末,2026-03-26T18:48:08
20250930,,8280138229.17,,,,,,,,,,,116715034.59,225679634.19,8622532897.95,4990928078.54,,,,,,673125023.7,364866907.52,331802770.09,6360722779.85,2261810118.1,,3920000000.0,7397506.14,60951988.04,,760369068.18,,,4748718562.36,2270615148.29,3905045640.0,,79480618.83,,1007555047.11,7262696454.23,-2513977891.87,,,,4055561049.13,,1014949980.5,5070511029.63,5219440004.95,268746042.95,,586824282.41,6075010330.31,-1004499300.68,11673386.81,-1244993687.64,4511627060.96,,,,,3266633373.32,定期报告,未审计,20251028,CNY,合并期末,2025-10-27T18:16:24
20250630,,5545855245.53,,,,,,,,,,,103676917.69,144810097.33,5794342260.55,3499458967.81,,,,,,458899688.82,237645812.64,197634516.03,4393638985.3,1400703275.25,,2750000000.0,2530655.98,52689297.56,,743542437.03,,,3548762390.57,1739867227.55,2420126000.0,,74742262.05,,736710824.99,4971446314.59,-1422683924.02,,,,2197576175.1,,809259396.77,3006835571.87,2701058689.39,195453230.21,,401065637.68,3297577557.28,-290741985.41,2507840.26,-310214793.92,4511627060.96,4201412267.04,4511627060.96,,,4201412267.04,定期报告,未审计,20250828,CNY,合并期末,2025-08-27T18:10:05
20250331,,2193863782.61,,,,,,,,,,,73672228.17,39285747.57,2306821758.35,1679241176.61,,,,,,242243862.96,96516467.11,121842674.13,2139844180.81,166977577.54,,1390888630.21,61691.87,9412461.52,,14446411.39,,,1414809194.99,994111777.69,1063126000.0,,,,11912054.36,2069149832.05,-654340637.06,,,,1143110000.0,,187535487.61,1330645487.61,879749116.58,81071875.83,,251596965.56,1212417957.97,118227529.64,3248185.51,-365887344.37,4511627060.96,,,,,4145739716.59,定期报告,未审计,20260428,CNY,合并期末,2025-04-29T17:02:09
20241231,,13856443348.6,,,,,,,,,,,231733241.57,377659741.3,14465836331.47,6312793813.31,,,,,,958183779.01,675853831.27,605804352.99,8552635776.58,5913200554.89,,3092908133.65,43447396.47,10534012.37,,288574963.32,,,3435464505.81,4885974011.27,3811642169.83,,,,289087898.05,8986704079.15,-5551239573.34,,,,7936639231.55,,2467167862.1,10403807093.65,7438501587.31,1571204254.24,,2739189627.26,11748895468.81,-1345088375.16,15438154.97,-967689238.64,5479316299.6,4511627060.96,5479316299.6,,,4511627060.96,定期报告,是,20260327,CNY,合并期末,2025-03-27T19:00:05
20240930,,9489508855.91,,,,,,,,,,,193583768.67,193750200.87,9876842825.45,5052737062.12,,,,,,736421277.25,578138801.62,492560129.72,6859857270.71,3016985554.74,,1375000000.0,51055027.85,4799991.94,,25994116.57,,,1456849136.36,4134470859.86,1477550000.0,,3200000.0,,84488448.3,5699709308.16,-4242860171.8,,,,7262695731.55,,1673969408.16,8936665139.71,5906038631.4,1177324913.56,,1988606508.75,9071970053.71,-135304914.0,-15599489.82,-1376779020.88,5479316299.6,,,,,4102537278.72,定期报告,未审计,20251028,CNY,合并期末,2024-10-29T16:50:10
20240630,,6542158315.89,,,,,,,,,,,100693833.1,92743661.73,6735595810.72,3706426697.26,,,,,,501641883.99,438103052.66,343558706.07,4989730339.98,1745865470.74,,330000000.0,10692944.85,6562771.49,,24841326.06,,,372097042.4,2612133101.56,330000000.0,,,,82698308.82,3024831410.38,-2652734367.98,,,,5405295139.04,,1212007615.18,6617302754.22,4998047146.86,196127307.53,,1394250937.74,6588425392.13,28877362.09,3349190.52,-874642344.63,5479316299.6,4604673954.97,5479316299.6,,,4604673954.97,定期报告,未审计,20250828,CNY,合并期末,2024-08-27T17:40:04
20240331,,2661285011.3,,,,,,,,,,,221185909.44,39404606.7,2921875527.44,1698817030.77,,,,,,261748208.83,195316112.03,165012438.91,2320893790.54,600981736.9,,,118020.0,3040060.06,,20607000.03,,,23765080.09,1292633215.29,,,,,50645854.71,1343279070.0,-1319513989.91,,,,2443073296.8,,388576651.21,2831649948.01,2261441650.23,96374182.43,,514668368.28,2872484200.94,-40834252.93,-795548.38,-760162054.32,5479316299.6,,,,,4719154245.28,定期报告,未审计,20250430,CNY,合并期末,2024-04-29T17:30:11
20231231,,12954693347.53,,,,,,,,,,,335369868.32,220125130.5,13510188346.35,9191302895.38,,,,,,866110564.55,788373744.56,697220250.47,11543007454.96,1967180891.39,,2000000.0,9562966.24,21827804.95,,100481319.52,,,133872090.71,5612343203.62,230000000.0,,,,117069405.27,5959412608.89,-5825540518.18,,6039499984.44,72500000.0,11027271688.94,,1948032884.86,19014804558.24,8573528155.36,944068187.08,,2495249651.41,12012845993.85,7001958564.39,16635897.49,3160234835.09,2319081464.51,5479316299.6,2319081464.51,,,5479316299.6,定期报告,是,20250328,CNY,合并期末,2024-03-26T17:45:04
