报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2009-12-31,1.42亿,False,1.39亿,False,8.37亿,False,0.4300,0.86,0.02,0.56,1.23,16.99%,34.41%,45.10%,36.64%,120.30,7.99,45.07,75.23,0.74,0.50,0.50,1.63,62.00%
2010-12-31,4.68亿,228.79%,4.59亿,230.46%,17.83亿,113.05%,1.3900,2.55,0.77,1.47,4.84,26.22%,41.27%,75.18%,38.28%,66.80,12.12,29.71,37.08,2.37,1.08,1.08,0.54,35.26%
2011-12-31,3.72亿,-20.37%,3.55亿,-22.56%,19.34亿,8.44%,1.0400,1.03,0.09,0.64,0.89,19.25%,33.74%,28.34%,25.14%,72.36,11.21,32.12,40.24,1.58,0.84,0.84,0.83,45.43%
2014-12-31,3.92亿,False,3.79亿,False,28.51亿,False,0.2900,1.23,0.0024,0.96,0.45,13.75%,33.31%,26.00%,False,120.52,6.16,58.43,62.09,0.87,0.70,0.70,1.48,59.61%
2015-12-31,4.30亿,9.82%,4.15亿,9.62%,29.24亿,2.57%,0.3100,1.43,0.35,0.81,0.33,14.72%,30.14%,23.00%,16.73%,109.34,7.88,45.66,63.68,1.37,1.22,1.22,0.82,45.11%
2016-12-31,6.03亿,40.14%,5.76亿,38.69%,29.68亿,1.48%,0.3400,1.64,0.35,0.99,0.58,20.33%,37.92%,22.00%,20.40%,114.34,7.88,45.66,68.68,1.60,1.38,1.37,0.51,33.78%
2017-09-30,2.90亿,False,2.78亿,False,21.60亿,False,False,False,False,False,0.17,13.40%,False,False,False,False,False,False,False,False,False,False,False,False
2017-12-31,4.27亿,-29.30%,4.08亿,-29.19%,29.91亿,0.81%,0.2400,False,0.35,1.14,0.17,14.26%,28.87%,14.00%,13.12%,110.42,8.10,44.43,65.99,1.49,1.28,1.28,0.83,45.42%
2018-03-31,9848.79万,False,9454.43万,False,6.80亿,False,0.0500,False,False,False,0.07,14.49%,30.05%,2.87%,False,False,False,False,False,False,False,False,False,False
2018-06-30,2.13亿,False,2.03亿,False,14.62亿,False,0.1200,1.92,0.35,1.25,0.09,14.56%,28.60%,6.00%,6.15%,125.61,3.24,55.54,70.07,1.69,1.39,1.39,0.88,46.75%
