报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,7481674677.05,7481674677.05,,,,,,7260604805.03,6484761202.41,,,,,,,,,22724956.88,389273872.28,20303074.75,175606018.24,167935680.47,127655303.12,,31363759.53,35191721.75,,,,183182289.27,,,,48453089.61,-315703.06,-4375655.53,,-9786711.23,469590940.61,1312509.68,,396666.05,,470506784.24,120263260.71,,350243523.53,350243523.53,,329057400.55,,21186122.98,-86356143.56,-78568857.89,,,,,,-78568857.89,,,,,,,,,-78568857.89,,-7787285.67,263887379.97,250488542.66,13398837.31,0.2168,0.2168,定期报告,未审计,20260430,CNY,合并期末,2026-04-29T19:50:08
20251231,27921424656.15,27921424656.15,,,,,,26734502931.82,23848881572.05,,,,,,,,,80662061.19,1592009225.71,77682972.85,590900718.19,544366381.83,523842045.46,,279434588.78,144699620.52,,,,241919166.91,,,,168139336.86,-135697567.55,19115173.61,,-11400032.53,1748432390.41,9162290.92,,3906932.53,,1753687748.8,376458171.1,,1377229577.7,1377229577.7,,1218708143.38,,158521434.32,-107029379.85,-96851725.77,,,,,,-96851725.77,,,,,,,,,-96851725.77,,-10177654.08,1270200197.85,1121856417.61,148343780.24,0.8,0.8,定期报告,是,20260417,CNY,合并期末,2026-04-16T19:50:32
20250930,20116258889.41,20116258889.41,,,,,,19073584071.36,17047259219.37,,,,,,,,,52915988.14,1123295169.99,54388682.9,412093770.39,383631240.57,382142482.5,,164609745.41,78433088.73,,,,-4444447.02,,,,112562051.91,-64793561.57,-24820708.34,,-10244809.91,1215543088.53,1574992.38,,1376549.78,,1215741531.13,221375189.36,,994366341.77,994366341.77,,860491079.82,,133875261.95,-57020025.86,-51960669.23,,,,,,-51960669.23,,,,,,,,,-51960669.23,,-5059356.63,937346315.91,808530410.59,128815905.32,0.567,0.567,定期报告,未审计,20251028,CNY,合并期末,2025-10-27T18:50:06
20250630,13038246156.27,13038246156.27,,,,,,12464268712.21,11114729132.73,,,,,,,,,33181162.1,755571414.17,36204862.2,259524626.13,265057514.88,252906297.27,,48350682.58,48350682.58,,,,-4444447.02,,,,74180772.19,-47969004.44,-472031.49,,-6913248.33,636710167.55,1538746.09,,1171141.8,,637077771.84,151778024.21,,485299747.63,485299747.63,,412092154.12,,73207593.51,-34207298.81,-32680013.36,,,,,,-32680013.36,,,,,,,,,-32680013.36,,-1527285.45,451092448.82,379412140.76,71680308.06,0.2715,0.2715,定期报告,未审计,20250829,CNY,合并期末,2025-08-28T19:40:04
20250331,6092434550.56,6092434550.56,,,,,,5946589785.79,5288439776.37,,,,,,,,,18375996.01,367360238.35,18876015.48,130754282.14,122783477.44,122224564.23,,16819008.39,17286108.39,,,,0.0,,,,38871856.53,-410378.13,9130148.03,,-4260790.14,205994609.45,1381830.59,,702900.98,,206673539.06,79203989.5,,127469549.56,127469549.56,,101389231.19,,26080318.37,-9583828.55,-9002249.15,,,,,,-9002249.15,,,,,,,,,-9002249.15,,-581579.4,117885721.01,92386982.04,25498738.97,0.0668,0.0668,定期报告,未审计,20260430,CNY,合并期末,2025-04-29T16:50:13
20241231,23881680710.28,23881680710.28,,,,,,22988417553.94,20336560061.83,,,,,,,,,72004039.1,1532950172.17,76739226.96,531192396.58,438971657.3,524407181.78,,7875284.66,-14204044.37,,,,8839728.24,,,,202686136.8,-41835094.63,-34421062.54,,13046181.17,1049454330.04,836510.73,,3028715.75,,1047262125.02,255761346.18,,791500778.84,791500778.84,,677588312.75,,113912466.09,72264539.63,66537809.59,0.0,,,0.0,,66537809.59,,,,,,,,,66537809.59,,5726730.04,863765318.47,744126122.34,119639196.13,0.45,0.45,定期报告,是,20260417,CNY,合并期末,2025-04-11T19:26:03
20240930,17081280328.6,17081280328.6,,,,,,16420655881.35,14633936665.79,,,,,,,,,37198606.89,956679190.47,51292751.94,366073126.01,375475540.25,399410864.94,,-26434569.77,-12597451.45,,,,207957.26,,,,140220236.93,-16292854.22,-20144709.16,,5290290.65,743470798.94,399444.37,,1562403.13,,742307840.18,117124786.36,,625183053.82,625183053.82,,552515103.62,,72667950.2,-36910897.28,-32534696.86,,,,,,-32534696.86,,,,,,,,,-32534696.86,,-4376200.42,588272156.54,519980406.76,68291749.78,0.3645,0.3645,定期报告,未审计,20251028,CNY,合并期末,2024-10-29T18:32:03
20240630,11080086982.96,11080086982.96,,,,,,10690620726.48,9511471649.21,,,,,,,,,21320092.78,672022713.62,34288717.47,237494617.03,214022936.37,268989747.45,,-12256961.98,-12693464.72,,,,-309080.0,,,,71121273.27,-16995222.39,-18149714.87,,1995043.92,414871594.43,104109.81,,910847.53,,414064856.71,48613292.04,,365451564.67,365451564.67,,322663289.17,,42788275.5,22605579.68,20892781.6,,,,,,20892781.6,,,,,,,,,20892781.6,,1712798.08,388057144.35,343556070.77,44501073.58,0.213,0.213,定期报告,未审计,20250829,CNY,合并期末,2024-08-28T16:12:06
20240331,5282023999.11,5282023999.11,,,,,,5198773432.23,4640886495.68,,,,,,,,,11004387.55,285652870.54,17736564.4,120015339.36,123477774.7,135889637.15,,-7888422.31,-8324925.05,,,,-347600.0,,,,49752824.33,13629.38,-2454560.58,,4026107.27,126352544.97,96586.44,,532094.34,,125917037.07,10154909.4,,115762127.67,115762127.67,,98492388.55,,17269739.12,3484791.25,3038122.26,,,,,,3038122.26,,,,,,,,,3038122.26,,446668.99,119246918.92,101530510.81,17716408.11,0.065,0.065,定期报告,未审计,20250430,CNY,合并期末,2024-04-26T18:57:03
20231231,22269283210.86,22269283210.86,,,,,,22257158786.48,19671136842.6,,,,,,,,,47696977.7,1161651177.15,66324972.23,515198573.03,795150243.77,594583262.45,,42604597.1,-30445041.16,,,,12426132.7,,,,183329301.9,-18249347.33,-4264061.17,,15006015.86,242977063.44,48001.95,,1316615.11,,241708450.28,25713737.31,,215994712.97,215994712.97,,169438510.85,,46556202.12,-27128539.3,-21839239.19,-14115678.86,,,-14115678.86,,-7723560.33,,,,,,,,,-7723560.33,,-5289300.11,188866173.67,147599271.66,41266902.01,0.11,0.11,定期报告,是,20250412,CNY,合并期末,2024-04-12T20:27:03
