报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,2035819274.45,2035819274.45,,,,,,1833415413.65,1591380268.65,,,,,,,,,10892283.1,122240770.31,15179357.89,70411312.88,23311420.82,28163919.97,,3299730.85,-189724.93,,,,202300.0,,,,19438685.89,-8829938.33,-6194788.75,,-1262789.28,209057061.18,216627.67,,1916885.26,,207356803.59,15691586.96,,191665216.63,191665216.63,,192773908.12,,-1108691.49,2688814.89,2688814.89,,,,,,2688814.89,,,,,,,,,2688814.89,,,194354031.52,195462723.01,-1108691.49,0.14,0.14,定期报告,未审计,20260429,CNY,合并期末,2026-04-28T18:24:03
20251231,7717521714.96,7717521714.96,,,,,,6960785385.86,6083271093.46,,,,,,,,,35756267.21,505687122.26,71279942.33,277073756.98,-12282796.38,78794957.74,,8449088.75,155914.88,,,,13184264.57,,,,93338320.49,-66177483.35,-5761811.45,,-4796910.59,794971797.52,2621063.43,,8304308.98,,789288551.97,62391045.86,,726897506.11,726897506.11,,705606447.34,,21291058.77,17299894.67,17099103.52,1993550.41,,,1993550.41,,15105553.11,,,,,,,,,15105553.11,,200791.15,744197400.78,722705550.86,21491849.92,0.52,0.52,定期报告,是,20260326,CNY,合并期末,2026-03-25T18:06:09
20250930,5372948385.98,5372948385.98,,,,,,4852695811.7,4325949694.09,,,,,,,,,24841537.75,315878525.67,40864038.63,157154179.8,-11992164.24,46245592.31,,6046348.66,385778.57,,,,-614000.0,,,,100557577.8,-41428867.25,-13430979.25,,371240.53,571753894.77,1972146.4,,2473102.11,,571252939.06,46971106.7,,524281832.36,524281832.36,,515458885.2,,8822947.16,8734782.61,8669466.15,152711.65,,,152711.65,,8516754.5,,,,,,,,,8516754.5,,65316.46,533016614.97,524128351.35,8888263.62,0.38,0.38,定期报告,未审计,20251021,CNY,合并期末,2025-10-20T17:12:05
20250630,3507038608.44,3507038608.44,,,,,,3201805795.46,2932242254.99,,,,,,,,,11619505.05,169828621.37,27842106.4,82817178.95,-22543871.3,24157807.5,,4582539.24,357836.15,,,,-163831.26,,,,79273425.94,-31329837.55,-7124016.2,,-435904.97,350035188.18,313589.6,,977915.54,,349370862.24,39923763.13,,309447099.11,309447099.11,,304953024.09,,4494075.02,27870588.06,27657314.7,152711.65,,,152711.65,,27504603.05,,,,,,,,,27504603.05,,213273.36,337317687.17,332610338.79,4707348.38,0.22,0.22,定期报告,未审计,20250820,CNY,合并期末,2025-08-19T18:42:07
20250331,1754254463.18,1754254463.18,,,,,,1621523660.51,1478869167.65,,,,,,,,,5590669.49,82764290.89,17681229.15,49019263.39,-12400960.06,7804196.64,,1270483.39,456167.99,,,,,,,,63411721.41,-8751167.54,-4485404.48,,47223.92,184223659.37,194132.87,,175257.79,,184242534.45,21729244.56,,162513289.89,162513289.89,,160525258.63,,1988031.26,-48856950.64,-48856950.64,,,,,,-48856950.64,,,,,,,,,-48856950.64,,,113656339.25,111668307.99,1988031.26,0.12,0.12,定期报告,未审计,20260429,CNY,合并期末,2025-04-27T16:32:15
20241231,6763289140.45,6763289140.45,,,,,,6546519625.56,6010680227.4,,,,,,,,,24958974.59,320877189.48,58606360.68,168897787.07,-37500913.66,42779792.49,,10685545.03,1845971.61,,,,4274874.68,,,,131341701.66,-45178639.32,1252700.08,,-200571.48,318945125.54,1491975.98,,5510909.3,,314926192.22,20778535.73,,294147656.49,294147656.49,,291043035.96,,3104620.53,-48157001.99,-47982875.32,845742.7,,,845742.7,,-48828618.02,,,,,,,,,-48828618.02,,-174126.67,245990654.5,243060160.64,2930493.86,0.22,0.22,定期报告,是,20260326,CNY,合并期末,2025-03-28T23:02:20
20240930,5014084259.25,5014084259.25,,,,,,4887233074.25,4511179590.73,,,,,,,,,19952423.22,230044877.75,33216516.2,117087881.61,-24248215.26,26343814.96,,9986174.87,221539.23,,,,-2431984.82,,,,121596198.38,-28527335.23,-6971279.07,,-188664.89,220314294.24,1239993.85,,2917828.05,,218636460.04,18064626.94,,200571833.1,200571833.1,,196883689.13,,3688143.97,-27069085.13,-27098226.66,,,,,,-27098226.66,,,,,,,,,-27098226.66,,29141.53,173502747.97,169785462.47,3717285.5,0.15,0.15,定期报告,未审计,20251021,CNY,合并期末,2024-10-24T17:02:03
20240630,3361531541.0,3361531541.0,,,,,,3314926089.96,3070334172.39,,,,,,,,,10788167.52,152836714.85,25621635.59,69021340.96,-13675941.35,24853548.45,,3525510.03,501068.76,,,,-4358797.0,,,,103332203.99,-20306804.23,-1939393.71,,288806.78,127146976.9,1128678.48,,1594624.84,,126681030.54,5935289.26,,120745741.28,120745741.28,,119677231.45,,1068509.83,-19656549.21,-19574767.94,110554.39,,,110554.39,,-19685322.33,,,,,,,,,-19685322.33,,-81781.27,101089192.07,100102463.51,986728.56,0.09,0.09,定期报告,未审计,20250820,CNY,合并期末,2024-08-28T16:57:03
20240331,1536247143.43,1536247143.43,,,,,,1497437075.56,1382024045.02,,,,,,,,,4317007.73,74588597.44,10587771.3,40527102.94,-14607448.87,6480506.24,,1413501.64,-64308.03,,,,,,,,89002222.59,-10384618.69,-4443429.95,,256970.86,114654714.32,808245.9,,800615.38,,114662344.84,12468967.21,,102193377.63,102193377.63,,101692621.31,,500756.32,-2743773.82,-2709351.23,,,,,,-2709351.23,,,,,,,,,-2709351.23,,-34422.59,99449603.81,98983270.08,466333.73,0.08,0.08,定期报告,未审计,20250428,CNY,合并期末,2024-04-26T16:52:04
20231231,6687864421.33,6687864421.33,,,,,,6129218615.8,5612942588.68,,,,,,,,,28348078.62,353884217.41,35081075.58,155923299.78,-56960644.27,48403584.83,,1885082.64,385526.0,,,,6828994.5,,,,75468613.96,-29662391.9,5786033.94,,-148450.73,618803687.94,1193431.43,,3043424.17,,616953695.2,50075999.96,,566877695.24,566877695.24,,563692826.17,,3184869.07,340604.24,216190.41,-43866.07,,,-43866.07,,260056.48,,,,,,,,,260056.48,,124413.83,567218299.48,563909016.58,3309282.9,0.42,0.42,定期报告,是,20250329,CNY,合并期末,2024-03-28T18:57:03
20230930,5050397446.3,5050397446.3,,,,,,4558856826.36,4212581133.37,,,,,,,,,18028938.03,256427987.21,21233426.19,92647753.1,-42062411.54,39672836.99,,-4617108.54,311553.53,,,,10442592.5,,,,60823435.06,-21530601.44,726037.68,,-311743.98,537073231.22,76766.72,,1789771.75,,535360226.19,38374257.56,,496985968.63,496985968.63,,494265422.45,,2720546.18,-4894300.89,-4345647.77,,,,,,-4345647.77,,,,,,,,,-4345647.77,,-548653.12,492091667.74,489919774.68,2171893.06,0.37,0.37,定期报告,未审计,20241025,CNY,合并期末,2023-10-25T17:02:03
