报告日,流动资产,货币资金,结算备付金,拆出资金,交易性金融资产,买入返售金融资产,衍生金融资产,应收票据及应收账款,应收票据,应收账款,应收款项融资,预付款项,应收股利,应收利息,应收保费,应收分保账款,应收分保合同准备金,应收出口退税,应收补贴款,应收保证金,内部应收款,其他应收款,其他应收款(合计),存货,划分为持有待售的资产,待摊费用,待处理流动资产损益,一年内到期的非流动资产,其他流动资产,流动资产合计,非流动资产,发放贷款及垫款,债权投资,其他债权投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,可供出售金融资产,长期股权投资,投资性房地产,长期应收款,其他权益工具投资,其他非流动金融资产,其他长期投资,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,在建工程合计,在建工程,工程物资,固定资产净额,固定资产清理,固定资产及清理合计,生产性生物资产,公益性生物资产,油气资产,合同资产,使用权资产,无形资产,开发支出,商誉,长期待摊费用,股权分置流通权,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,流动负债,短期借款,向中央银行借款,吸收存款及同业存放,拆入资金,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付账款,预收款项,合同负债,卖出回购金融资产款,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,应付保证金,内部应付款,其他应付款,其他应付款合计,其他应交款,担保责任赔偿准备金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,国际票证结算,国内票证结算,预提费用,预计流动负债,应付短期债券,划分为持有待售的负债,一年内的递延收益,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,应付债券：优先股,应付债券：永续债,租赁负债,长期应付职工薪酬,长期应付款,长期应付款合计,专项应付款,预计非流动负债,长期递延收益,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,所有者权益,实收资本(或股本),其他权益工具,优先股,永续债,资本公积,减:库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未确定的投资损失,未分配利润,拟分配现金股利,外币报表折算差额,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,21772024658.86,28137918.84,,44453099625.25,,,715677888.19,,715677888.19,,166999825.29,,,,,,,,,,,482912893.87,,,,,24189422599.85,12009468637.55,103817985565.41,,,1000830419.71,,,,,43343960565.68,13354937.34,30316357381.99,18001119.03,,,,,,,15500835.42,,,,,37277688234.13,,,,241517.71,88196042.95,75033619.5,,,13238866.29,,905777874.7,446508589.59,113514448486.33,217332434051.74,,10555740895.38,,,,1890960678.48,,2504746369.27,1995884692.0,508861677.27,3343352289.29,8747253.91,,,526711401.75,361039178.4,,8792182.81,,,,1433542803.4,,,,67338340.68,,,,,,,,,,37604067223.18,10425202001.73,68654110094.79,,60548061074.34,32814607124.43,,,33287290.8,,,3371563691.93,,81250000.0,5225000.0,376073079.15,,97297405601.33,165951515696.12,,5017132462.0,1200000000.0,,1200000000.0,12203167695.24,100199244.71,-119986731.41,,1268373086.66,936378999.06,,14090205425.58,,,34495071692.42,16885846663.2,51380918355.62,217332434051.74,定期报告,未审计,20260430,CNY,合并期末,2026-04-29T19:14:07
20251231,,16507400376.02,8667938.05,,45957540980.91,,,669875739.2,,669875739.2,,126792220.54,367191019.78,,,,,,,,,420895753.1,788086772.88,,,,,26271819254.99,10213997318.84,100544640708.14,,,1001953732.96,,,,,41443205671.58,14368574.99,30921120643.04,18001119.03,,,40652492158.81,2899759579.64,37752732579.17,,10997880.49,10997880.49,,37752732579.17,,37752732579.17,,,,460106.71,108261232.52,81013893.84,,,14989898.21,,838855583.97,448150178.19,112653650987.99,213198291696.13,,8170829351.97,,,,1834136394.09,,2541359153.72,2060703253.14,480655900.58,2503128359.37,6957.55,,,626545383.79,205510500.45,,8792182.81,,,1516716253.69,1525508436.5,,,,67908607.71,,,,,,,,,,44687703208.95,10617628731.88,72712356478.27,,53640493104.47,32764600549.32,,,41957115.1,,3620937388.96,3630513956.19,9576567.23,81250000.0,5850000.0,264502373.03,,90497075705.82,163209432184.09,,5017132462.0,1200000000.0,,1200000000.0,12206263723.27,100199244.71,-98836032.94,,1268373086.66,938777743.6,,12798448326.11,,,33229960063.99,16758899448.05,49988859512.04,213198291696.13,定期报告,是,20260430,CNY,合并期末,2026-04-08T20:12:04
20250930,,17321379674.71,1428956.42,,45021856469.29,,,883982465.33,,883982465.33,,80961569.86,55439068.05,,,,,,,,,,718292363.07,1555894532.83,,,,27532671455.41,8959177483.33,102077949041.15,,,1523539547.02,,,,,40943120447.99,15382212.65,26946659558.71,15660000.0,,,,,,,8446095.1,,,,,37700957996.81,,,,2304070.9,127978320.63,80205725.06,,,16379079.0,,742735015.48,520924270.01,108641988268.46,210719937309.61,,8958315232.04,,,,1634529436.7,,2863710247.31,2215635409.43,648074837.88,2519471220.84,145154354.32,,,529918276.59,249124382.81,,458689805.2,,,,2156834193.77,,,,69974861.89,,,,,,,,,,46314716423.71,10001467043.17,75373240811.26,,54356204119.86,30457290308.19,,,54518966.1,,,2041538660.14,,81250000.0,5850000.0,167536578.61,,87234163494.79,162607404306.05,,5017132462.0,1200000000.0,,1200000000.0,12228695859.94,100199244.71,-16810497.37,,1118701153.22,853294264.13,,12550038304.51,,,32850852301.72,15261680701.84,48112533003.56,210719937309.61,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T16:54:07
20250630,,17704318238.94,952077.79,,48885211953.97,,,1040118932.05,,1040118932.05,,137801210.06,437116405.81,,,,,,,,,338025930.78,775142336.59,1328010147.67,,,,31601617177.94,8960789755.5,110436803137.41,,,1948516370.45,,,,,35720339394.12,16395850.3,24708899937.13,,,,39938415292.22,2078558824.68,37859856467.54,,15243115.13,15243115.13,,37859856467.54,,37859856467.54,,,,2841306.9,143723036.8,79342597.76,,,18616061.03,,830925582.21,464595701.6,101806454114.07,212243257251.48,,8946123966.13,,,,1638121015.72,,2646394893.54,2059889478.0,586505415.54,2694829210.61,227892090.62,,,485667378.82,194702154.25,,858598802.88,,,1856359436.19,2714958239.07,,,,69974861.89,,,,,,,,,,43918595293.5,10144353798.5,73611638040.76,,56462910324.18,32522100185.98,,,65162753.37,,1864696505.69,1877191136.19,12494630.5,81250000.0,5850000.0,180897761.25,,91265337022.86,164876975063.62,,5017132462.0,1200000000.0,,1200000000.0,12228500557.45,100199244.71,34423747.12,,1118701153.22,853294264.13,,11547769441.64,,,31899622380.85,15466659807.01,47366282187.86,212243257251.48,定期报告,未审计,20250830,CNY,合并期末,2025-08-29T17:46:10
20250331,,18319522265.04,889337.73,,48341441518.27,,,866165996.08,,866165996.08,,135911309.61,,,,,,,,,,,541780677.65,1763145056.57,,,,33619029261.26,9000974459.63,112591907611.77,,,1188493920.79,,,,,35419143479.37,17409487.96,23176664590.98,,,,,,,,17830153.77,,,,,36871393301.55,,,,3047729.93,144667047.09,64640235.56,,,19320040.13,,784332288.03,652803892.89,98356698438.12,210948606049.89,,7595271385.65,,,,1345679995.53,,2060160739.75,1495954209.86,564206529.89,2842301676.39,256367355.58,,,448781499.32,207912553.58,,5929965.58,,,,2279595358.73,,,,69974861.89,,,,,,,,,,40996487866.86,11537629990.48,69570188421.87,,56894582679.54,35454511070.81,,,73461851.28,,,1388752875.13,,81250000.0,6150000.0,213139149.1,,94181822487.75,163752010909.62,,5017132462.0,1200000000.0,,1200000000.0,12227821995.29,100199244.71,17370380.48,,1118701153.22,853294264.13,,11495671129.67,,,31829792140.08,15366803000.19,47196595140.27,210948606049.89,定期报告,未审计,20250430,CNY,合并期末,2025-04-29T20:56:04
20241231,,18688802763.52,1449402.86,,56603178877.73,3282282.34,,771945471.89,,771945471.89,,354773261.32,,,,,,,,,,464157461.04,464157461.04,1821750.78,,,,32930475382.47,9592973833.9,119414111759.14,,,1388700319.4,,,,,33107201595.03,18423125.61,28946096862.92,,,,36462153885.78,1251655549.53,35210498336.25,,30854490.53,30854490.53,,35210498336.25,,35210498336.25,,,,1251271.29,124715877.02,60193954.18,,,21288408.97,,732361212.39,757148916.99,100397483099.29,219811594858.43,,7244317661.6,,,,1314209216.06,,9455684628.85,1638519122.86,7817165505.99,3309666744.0,3889995.61,,,542610806.1,300009133.9,,5929965.58,,,6598589405.39,6604519370.97,,,,69974861.89,,,,,,,,,,40057572332.52,12010018288.85,80842498178.46,,57911267742.26,32702909280.33,,,59852968.82,,2037561790.52,2049506012.74,11944222.22,81250000.0,6775000.0,178660767.52,,93060196633.56,173902694812.02,,5017132462.0,1200000000.0,,1200000000.0,12227795980.63,100199244.71,14585793.78,,1118701153.22,853294264.13,,10839135934.35,,,31170446343.4,14738453703.01,45908900046.41,219811594858.43,定期报告,是,20260409,CNY,合并期末,2025-04-02T20:10:09
20240930,,17786009710.93,61283866.31,,46260208000.7,101000.1,,897069800.15,,897069800.15,,38322010.47,12687699.47,,,,,,,,,,430355987.93,1707232881.1,,,,36311977510.35,7701636435.14,111198030474.1,,,2107756276.96,,,,,32662215442.63,19436763.27,24831407192.48,,,,,,,,23926988.56,,,,,31670410025.89,,,,3833270.92,135487358.29,55183262.42,,,20062028.4,,877848318.62,1482945074.74,93886678732.26,205084709206.36,,8276303668.92,,,,1208283784.04,,2517785735.41,2156526266.96,361259468.45,3217123038.67,362622698.57,,,495104229.8,320280796.88,,396717633.68,,,,3041545612.53,,,,58742388.61,,,,,,,,,,37799354201.99,10010391238.01,67248795004.82,,58869427046.86,34320021071.06,,,67603168.17,,,1078603718.9,,51400000.0,6775000.0,392158773.48,,94844731167.08,162093526171.9,,5017132462.0,,,,12225533378.32,100199244.71,-29732120.63,,997135088.4,780327314.0,,10458554896.83,,,29348751774.21,13642431260.25,42991183034.46,205084709206.36,定期报告,未审计,20241031,CNY,合并期末,2024-10-30T20:20:04
20240630,,18253356970.0,3886578.47,,47153807284.33,,,617415745.56,,617415745.56,,269300356.54,629519333.92,,,,,,,,,287784281.96,917303615.88,1943375931.45,,,,36533214297.25,5911726344.16,111607610858.99,,,2592253814.85,,,,,31114489851.94,20450400.92,27573077753.44,,,,22584283972.73,642404211.06,21941879761.67,,25851018.98,25851018.98,,21941879761.67,,21941879761.67,,,,4223735.35,135444922.83,56232583.89,,,21661991.72,,707092807.83,1806795525.11,85995230433.18,197602841292.17,,9918606118.21,,,,1187007701.22,,1886305442.86,1641512842.82,244792600.04,3604090290.75,504090649.7,,,470846134.66,316185966.39,,396717633.68,,,2248425765.0,2645143398.68,,,,58742388.61,,,,,,,,,,37658188383.48,9896601233.93,68087065319.88,,55132410976.71,30720514237.97,,,65129895.32,,969859207.44,981550399.51,11691192.07,51400000.0,6775000.0,239093596.32,,87255616494.44,155342681814.32,,5017132462.0,,,,12224839441.06,100099634.12,41580907.57,,997135088.4,780327314.0,,9755589391.33,,,28716504970.24,13543654507.61,42260159477.85,197602841292.17,定期报告,未审计,20240830,CNY,合并期末,2024-08-29T19:40:08
20240331,,19626204082.51,412693159.57,,45520170649.6,34531117.8,,446814103.08,,446814103.08,,152939856.39,,,,,,,,,,,263570415.37,1687096208.37,,,,35597086617.84,5095517318.44,108840746378.81,,,3547631154.27,,,,,31399709221.5,21464038.58,31544208510.85,,,,,,,,40508300.14,,,,,16753692446.96,,,,4122849.84,134072966.75,60966192.99,,,25283534.22,,663489261.13,1159537278.21,85350562905.6,194191309284.41,,9589302844.34,,,,1198888947.39,,1409984002.38,1246219999.96,163764002.42,3935296283.92,234858915.83,,,446829936.91,312555615.69,,487401194.3,,,,2971156760.88,,,,58742388.61,,,,,,,,,,37496632282.48,8768970005.84,66364475595.66,,55889634950.33,29050195863.85,,,62528746.62,,,674243534.64,,163900000.0,7075000.0,308805031.43,,86215125515.48,152579601111.14,,5017132462.0,,,,12226727086.07,,40288143.55,,997135088.4,780327314.0,,10059821159.4,,,29121431253.42,12490276919.85,41611708173.27,194191309284.41,定期报告,未审计,20240430,CNY,合并期末,2024-04-29T21:45:04
20231231,,18396930456.58,513446907.86,,45023346583.77,1929703.68,,212664273.54,,212664273.54,,227469303.74,,,,,,,,,,313148427.97,313148427.97,1179348565.23,,,,34054857518.86,4911805285.62,104838704736.42,,,4396919973.47,,,,,30421077313.61,22477676.23,32009708499.65,,,,13447620066.87,257328556.83,13190291510.04,,39344677.1,39344677.1,,13190291510.04,,13190291510.04,,,,3757709.57,145411769.17,66920114.12,,,28254535.28,,638149661.45,1372875965.14,82331431695.26,187170136431.68,,9395526209.28,0.0,,0.0,1147591473.07,0.0,1864629271.69,1349571439.96,515057831.73,3769229540.47,95926538.54,,,643326755.61,301410507.31,,120379950.33,,,2807035855.58,2927415805.91,,,,58742388.61,,,,,,,,,,35760375140.94,11007380120.89,66912811363.71,,51451373549.23,25725820850.62,,,67839395.5,,829076565.3,840491168.79,11414603.49,228900000.0,7700000.0,330188557.03,,78711055909.78,145623867273.49,,5017132462.0,,,,12227915077.51,,14307110.61,,997135088.4,780327314.0,,9592587969.85,,,28629405022.37,12916864135.82,41546269158.19,187170136431.68,定期报告,是,20250403,CNY,合并期末,2024-03-27T21:05:06
