报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,产权比率,资产负债率
2006-12-31,3.15亿,False,False,False,16.90亿,False,False,False,False,0.04,False,18.64%,False,False,7.26,87.89%
2007-12-31,24.50亿,677.77%,False,False,77.41亿,357.98%,False,False,0.05,0.66,False,31.65%,False,False,10.89,91.59%
2008-12-31,17.39亿,-29.03%,False,False,41.30亿,-46.64%,False,False,0.0052,0.45,False,42.10%,False,False,5.87,85.44%
2009-12-31,26.17亿,50.53%,False,False,60.82亿,47.26%,False,False,0.03,0.91,False,43.03%,False,False,8.03,88.92%
2010-12-31,21.61亿,-17.45%,False,False,56.82亿,-6.59%,False,False,0.02,1.47,False,38.03%,False,False,6.23,86.16%
2011-12-31,12.12亿,-43.93%,False,False,40.00亿,-29.59%,False,False,0.22,0.15,False,30.29%,False,False,3.62,78.35%
2012-12-31,13.42亿,10.78%,False,False,44.30亿,10.75%,False,False,0.25,0.28,False,30.30%,False,False,3.18,76.07%
2013-06-30,8.99亿,False,False,False,26.05亿,False,False,False,0.26,0.37,False,34.49%,False,False,3.75,78.94%
2013-12-31,17.87亿,33.14%,False,False,56.50亿,27.52%,False,False,0.21,0.42,False,31.47%,False,False,4.14,80.49%
2014-06-30,8.04亿,-10.50%,False,False,27.48亿,5.46%,False,False,0.24,0.52,False,29.01%,False,False,4.26,80.94%
2014-12-31,34.07亿,90.67%,33.78亿,False,85.87亿,52.00%,0.5600,2.73,0.24,0.78,3.12,39.57%,22.90%,20.44%,6.40,86.44%
2015-03-31,11.43亿,False,False,False,28.55亿,False,False,False,0.24,0.96,False,40.03%,False,False,5.59,84.78%
2015-06-30,41.17亿,411.91%,False,False,88.40亿,221.73%,False,False,0.24,1.45,False,46.62%,False,False,7.56,88.29%
2015-12-31,86.39亿,153.55%,83.20亿,146.33%,190.11亿,121.38%,1.3700,4.12,0.24,1.71,2.70,45.51%,40.00%,28.69%,5.08,83.52%
2016-06-30,27.63亿,-32.88%,False,False,64.88亿,-26.61%,0.4600,False,0.24,2.16,False,43.02%,False,False,4.38,81.35%
2016-12-31,52.59亿,-39.12%,49.13亿,-40.94%,132.59亿,-30.26%,0.8100,5.03,0.94,1.92,0.78,40.07%,18.10%,12.81%,3.42,77.29%
2017-03-31,10.05亿,False,9.91亿,False,26.05亿,False,0.1400,False,False,False,False,39.15%,False,False,False,False
2017-06-30,18.55亿,-32.86%,18.23亿,False,51.25亿,-21.02%,0.2600,5.12,0.98,1.98,-2.14,36.80%,4.96%,False,3.63,78.30%
2017-09-30,30.33亿,False,30.09亿,False,83.02亿,False,0.4200,False,False,False,False,37.04%,8.07%,False,False,False
