报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,产权比率,资产负债率
2017-12-31,40.15亿,-23.65%,39.92亿,-18.75%,113.03亿,-14.75%,0.5100,5.35,0.98,2.07,-6.32,35.93%,9.90%,9.18%,3.70,78.63%
2018-03-31,9.90亿,-1.55%,9.84亿,-0.69%,27.49亿,5.54%,0.1400,5.50,0.98,2.21,2.03,36.21%,False,2.21%,3.82,79.18%
2018-06-30,16.93亿,-8.75%,16.84亿,-7.58%,52.63亿,2.69%,0.2300,6.58,1.14,2.19,1.07,32.42%,4.27%,3.55%,3.54,77.89%
2018-09-30,21.85亿,-27.95%,21.74亿,-27.73%,78.11亿,-5.91%,0.3000,5.69,1.14,2.25,1.24,28.14%,5.36%,4.51%,3.13,75.66%
2018-12-31,30.87亿,-23.11%,30.60亿,-23.34%,109.07亿,-3.50%,0.3800,5.57,1.14,2.03,0.59,28.45%,6.79%,6.49%,3.09,75.47%
2019-03-31,14.88亿,50.32%,14.74亿,49.83%,31.08亿,13.04%,0.1900,5.79,1.14,2.22,2.67,48.20%,3.43%,3.02%,3.65,78.37%
2019-06-30,23.30亿,37.61%,23.16亿,37.48%,59.06亿,12.21%,0.3000,5.72,1.14,2.15,2.34,39.66%,5.31%,4.78%,4.08,80.23%
2019-09-30,38.20亿,74.78%,38.12亿,75.30%,96.97亿,24.14%,0.5000,5.93,1.14,2.34,1.99,39.68%,8.65%,6.91%,3.45,77.44%
2019-12-31,55.02亿,78.19%,54.87亿,79.30%,136.93亿,25.54%,0.6700,6.09,1.14,2.29,4.80,40.38%,11.51%,9.72%,4.04,80.08%
2020-03-31,19.51亿,31.11%,19.53亿,32.49%,43.82亿,41.00%,0.2500,6.36,1.14,2.54,-2.33,44.69%,3.98%,3.33%,3.89,79.47%
2020-06-30,45.78亿,96.54%,45.92亿,98.27%,99.00亿,67.63%,0.5800,6.42,1.14,2.63,-1.27,46.35%,9.06%,7.75%,4.27,80.93%
2020-09-30,74.91亿,96.11%,74.98亿,96.69%,158.59亿,63.55%,0.9400,6.77,1.14,3.00,-2.35,47.36%,14.60%,12.14%,4.73,82.46%
2020-12-31,95.09亿,72.85%,94.99亿,73.10%,233.51亿,70.53%,1.2000,7.45,1.61,2.85,-2.68,40.84%,18.18%,14.04%,4.48,81.66%
2021-03-31,17.22亿,-11.74%,17.22亿,-11.85%,48.04亿,9.63%,0.2100,7.65,1.61,3.05,3.22,35.08%,2.77%,2.49%,4.63,82.18%
2021-06-30,45.29亿,-1.08%,45.24亿,-1.47%,123.26亿,24.51%,0.5500,7.62,1.60,3.02,1.65,36.45%,7.17%,6.11%,4.45,81.62%
2021-09-30,72.58亿,-3.11%,72.65亿,-3.11%,206.11亿,29.96%,0.8900,7.98,1.60,3.35,2.57,35.05%,11.38%,9.45%,4.68,82.36%
2021-12-31,102.39亿,7.67%,102.10亿,7.49%,298.72亿,27.93%,1.2500,8.36,1.60,3.33,1.43,34.26%,15.80%,12.83%,4.67,82.33%
2022-03-31,15.42亿,-10.46%,15.31亿,-11.06%,63.32亿,31.83%,0.1800,8.52,1.60,3.50,1.85,24.41%,2.10%,1.80%,4.33,81.23%
2022-06-30,43.80亿,-3.29%,43.65亿,-3.51%,144.23亿,17.01%,0.5200,8.50,1.60,3.44,3.86,30.39%,5.99%,4.92%,4.24,80.89%
2022-09-30,64.36亿,-11.33%,64.27亿,-11.53%,227.03亿,10.15%,0.7500,8.77,1.60,3.68,3.33,28.39%,8.71%,6.92%,4.06,80.21%
2022-12-31,75.19亿,-26.56%,74.81亿,-26.73%,275.65亿,-7.72%,0.8600,8.81,1.60,3.50,5.16,27.27%,9.99%,8.05%,4.47,81.71%
2023-03-31,24.26亿,57.36%,24.74亿,61.57%,67.00亿,5.81%,0.2800,9.13,1.60,3.79,-1.21,36.35%,3.15%,2.54%,4.48,81.76%
2023-06-30,43.07亿,-1.66%,50.24亿,15.09%,134.65亿,-6.64%,0.4900,9.11,1.60,3.72,0.64,32.05%,5.41%,4.51%,4.79,82.73%
2023-09-30,56.91亿,-11.57%,63.93亿,-0.53%,183.84亿,-19.03%,0.6400,9.22,1.60,3.87,-0.56,31.02%,7.05%,5.90%,4.42,81.53%
2023-12-31,70.34亿,-6.45%,77.87亿,4.10%,232.43亿,-15.68%,0.7800,9.36,1.60,3.76,-2.59,30.32%,8.59%,7.22%,4.36,81.34%
2024-03-31,12.28亿,-49.39%,12.28亿,-50.36%,42.94亿,-35.91%,0.1200,9.50,1.60,3.88,0.07,28.66%,1.31%,1.19%,4.16,80.62%
2024-06-30,28.58亿,-33.66%,28.32亿,-43.64%,89.55亿,-29.24%,0.3000,9.44,1.60,3.80,-0.26,30.05%,3.12%,2.78%,4.12,80.45%
2024-09-30,42.97亿,-24.49%,42.64亿,-33.31%,131.73亿,-22.13%,0.4500,9.57,1.60,3.95,2.34,30.08%,4.71%,4.25%,4.48,81.75%
2024-12-31,72.23亿,2.68%,72.40亿,-7.03%,190.53亿,-9.10%,0.7900,9.88,1.59,3.90,3.80,34.24%,8.22%,6.78%,4.32,81.19%
2025-03-31,18.43亿,50.07%,18.35亿,49.43%,47.43亿,14.54%,0.2000,10.09,1.59,4.10,2.70,37.54%,2.04%,1.75%,4.71,82.47%
2025-06-30,45.09亿,57.77%,44.71亿,57.92%,107.40亿,19.93%,0.5200,14.15,1.59,4.25,7.75,42.05%,5.10%,4.11%,4.58,82.06%
2025-09-30,70.89亿,64.95%,70.47亿,65.28%,172.89亿,31.25%,0.8200,10.55,1.59,4.55,7.47,41.06%,7.99%,6.12%,4.72,82.52%
2025-12-31,94.39亿,30.68%,94.68亿,30.77%,233.22亿,22.41%,1.0900,10.69,1.59,4.33,10.71,40.54%,10.51%,7.93%,4.68,82.40%
2026-03-31,36.67亿,99.03%,36.23亿,97.44%,76.96亿,62.27%,0.4400,11.12,1.59,4.76,4.00,47.69%,4.02%,2.89%,5.15,83.73%
