报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2000-12-31,3389.74万,False,False,False,4.28亿,False,False,1.04,False,0.04,False,7.93%,22.82%,42.87%,25.39%,114.29,6.79,52.99,61.30,0.79,0.57,0.86,2.24,67.90%
2001-12-31,4623.18万,36.39%,False,False,5.75亿,34.53%,0.3600,1.41,False,0.33,0.27,8.29%,22.57%,29.52%,25.72%,88.97,8.30,43.37,45.59,0.57,0.37,0.59,2.27,68.36%
2002-06-30,2440.74万,False,False,False,2.87亿,False,False,False,False,False,False,8.57%,28.64%,False,False,False,False,False,False,False,False,False,False,False
2002-09-30,3603.22万,False,False,False,4.70亿,False,False,False,False,False,False,7.79%,27.15%,False,False,False,False,False,False,False,False,False,False,False
2002-12-31,4832.36万,4.52%,False,False,6.79亿,17.94%,0.3800,1.78,False,0.65,0.60,7.18%,25.34%,23.70%,21.19%,103.97,5.99,60.13,43.84,0.59,0.29,0.52,2.14,67.21%
2003-03-31,804.35万,False,False,False,1.82亿,False,False,False,False,False,False,4.49%,21.13%,False,False,False,False,False,False,False,False,False,False,False
2003-06-30,1449.73万,-40.60%,1431.10万,False,4.03亿,40.48%,0.1100,3.39,1.77,0.53,0.34,3.67%,20.34%,4.86%,2.34%,117.59,2.56,70.24,47.35,1.07,0.81,1.04,1.01,49.97%
2003-09-30,2858.28万,-20.67%,False,False,6.36亿,35.33%,0.1900,3.47,1.77,0.61,0.94,4.57%,20.59%,False,6.97%,118.44,3.86,69.88,48.56,0.69,0.47,0.66,1.30,56.10%
2003-12-31,4371.33万,-9.54%,4392.82万,False,8.94亿,31.72%,0.2700,3.59,1.80,0.66,1.07,4.99%,21.01%,9.26%,6.66%,126.84,5.48,65.64,61.20,0.57,0.38,0.63,1.38,57.61%
2004-03-31,851.00万,5.80%,809.98万,False,2.23亿,22.21%,False,3.64,1.80,0.70,0.64,3.83%,19.73%,False,1.28%,159.58,1.20,74.78,84.80,0.60,0.45,0.65,1.80,64.11%
2004-06-30,2614.67万,80.36%,2605.49万,82.06%,5.32亿,32.15%,0.1300,2.30,0.75,0.47,0.47,4.92%,19.86%,False,3.88%,133.08,3.09,58.17,74.91,0.56,0.41,0.66,1.83,64.52%
2004-09-30,4661.83万,63.10%,4662.91万,False,8.58亿,34.86%,False,2.37,0.75,0.54,0.71,5.44%,20.99%,False,6.90%,128.92,4.66,57.92,71.01,0.50,0.33,0.56,1.86,64.87%
2004-12-31,4882.19万,11.69%,4916.48万,11.92%,11.85亿,32.54%,0.1910,2.38,0.75,0.52,1.64,3.86%,20.81%,7.17%,7.01%,124.41,6.32,56.94,67.47,0.44,0.32,0.50,2.23,67.47%
2005-03-31,712.75万,-16.25%,772.09万,-4.68%,2.68亿,20.49%,False,2.41,0.75,0.55,0.09,1.99%,19.99%,False,1.01%,149.31,1.34,67.34,81.97,0.47,0.33,0.52,2.26,67.86%
2005-06-30,2700.97万,3.30%,2764.18万,6.09%,6.54亿,22.90%,0.0920,2.42,0.75,0.57,0.16,3.86%,19.37%,3.84%,3.81%,125.80,3.36,53.51,72.29,0.50,0.36,0.57,2.27,67.94%
2005-09-30,4794.16万,2.84%,4845.42万,3.91%,10.62亿,23.76%,False,2.52,0.77,0.64,0.28,4.52%,20.34%,False,6.52%,120.28,5.47,49.38,70.91,0.57,0.43,0.67,2.33,68.46%
2005-12-31,5486.02万,12.37%,5533.59万,12.55%,14.75亿,24.46%,0.1870,2.52,0.75,0.63,0.66,3.89%,21.23%,7.67%,7.45%,114.13,7.32,49.18,64.94,0.51,0.38,0.59,2.23,67.38%
2006-03-31,993.41万,39.38%,1002.00万,29.78%,3.94亿,46.76%,False,2.55,0.75,0.67,0.09,2.58%,19.65%,False,1.33%,117.22,1.89,47.68,69.54,0.55,0.44,0.65,2.32,68.26%
2006-06-30,3537.84万,30.98%,3556.29万,28.66%,8.48亿,29.62%,0.1210,2.58,0.75,0.70,0.56,4.23%,19.46%,4.69%,4.66%,118.98,3.50,51.38,67.61,0.48,0.33,0.54,2.40,68.73%
2006-09-30,7306.47万,52.40%,7302.86万,50.72%,14.24亿,34.11%,0.2500,2.71,0.75,0.83,1.16,5.29%,21.30%,False,9.16%,109.70,5.76,46.85,62.84,0.48,0.34,0.55,2.38,68.60%
2006-12-31,9403.76万,71.41%,9135.16万,65.09%,19.72亿,33.71%,0.3200,2.77,0.71,0.91,1.93,4.38%,22.46%,11.68%,11.13%,104.43,7.64,47.12,57.31,0.44,0.31,0.31,2.52,69.66%
2007-03-31,1312.60万,32.13%,1337.14万,33.45%,4.43亿,12.41%,0.0380,3.93,2.07,0.73,0.66,3.10%,21.56%,False,0.99%,126.24,1.42,63.60,62.64,0.77,0.63,0.63,1.44,57.65%
2007-06-30,4871.70万,37.70%,4915.70万,38.23%,10.18亿,19.67%,0.0654,4.01,2.04,0.84,1.45,4.90%,22.12%,3.57%,3.26%,116.18,3.27,55.06,61.12,0.72,0.60,0.60,1.54,59.46%
2007-09-30,9974.88万,36.52%,1.00亿,37.16%,16.53亿,15.75%,0.2810,4.14,2.04,0.97,1.66,6.23%,22.51%,False,6.46%,109.91,5.23,51.63,58.28,0.71,0.60,0.60,1.74,62.27%
2007-12-31,1.44亿,53.33%,1.40亿,53.80%,23.20亿,17.44%,0.1900,4.26,2.04,1.06,1.73,6.40%,24.53%,9.67%,8.92%,110.60,6.69,53.85,56.75,0.66,0.54,0.54,1.76,62.40%
2008-03-31,2409.85万,83.59%,2394.52万,79.08%,5.79亿,30.86%,0.0650,4.33,2.04,1.13,0.53,4.63%,23.17%,False,1.50%,124.74,1.42,63.42,61.32,0.73,0.60,0.60,1.91,64.12%
2008-06-30,5803.06万,19.12%,5914.45万,20.32%,12.59亿,23.69%,0.0779,2.16,0.62,0.46,0.61,5.11%,22.61%,3.56%,3.60%,117.85,2.93,61.52,56.33,0.68,0.53,0.53,1.84,63.14%
2008-09-30,8746.49万,-12.31%,8884.94万,-11.30%,19.01亿,15.04%,0.1174,2.20,0.62,0.50,0.84,5.06%,21.98%,0.0000%,5.33%,116.99,4.53,59.66,57.33,0.65,0.50,0.50,1.76,62.09%
2008-12-31,9309.21万,-35.44%,7575.31万,-46.08%,23.84亿,2.74%,0.1200,2.20,0.62,0.50,1.03,4.14%,20.27%,5.78%,5.67%,110.04,6.35,56.67,53.37,0.63,0.51,0.51,1.77,62.24%
2009-03-31,-5135.51万,-313.11%,-5034.74万,-310.26%,3.57亿,-38.30%,-0.0690,2.13,0.62,0.42,0.0003,-14.38%,10.44%,0.0000%,-3.23%,165.21,1.02,87.99,77.21,0.66,0.53,0.53,1.90,63.85%
2009-06-30,-2585.69万,-144.56%,-2483.10万,-141.98%,9.56亿,-24.03%,-0.0347,2.17,0.62,0.46,0.23,-2.36%,17.66%,-1.59%,-1.60%,135.48,2.52,71.39,64.09,0.65,0.53,0.53,1.92,64.17%
2009-09-30,110.42万,-98.74%,422.49万,-95.24%,16.43亿,-13.57%,0.0015,2.20,0.62,0.49,0.37,0.52%,19.45%,0.0000%,0.07%,127.48,3.99,67.63,59.84,0.68,0.54,0.54,1.94,64.30%
2009-12-31,2319.49万,-75.08%,2191.00万,-71.08%,23.70亿,-0.59%,0.0300,2.23,0.62,0.53,0.29,1.41%,19.72%,1.40%,1.39%,116.14,5.79,62.13,54.01,0.62,0.47,0.47,1.78,62.46%
