报告日,流动资产,货币资金,结算备付金,拆出资金,交易性金融资产,买入返售金融资产,衍生金融资产,应收票据及应收账款,应收票据,应收账款,应收款项融资,预付款项,应收股利,应收利息,应收保费,应收分保账款,应收分保合同准备金,应收出口退税,应收补贴款,应收保证金,内部应收款,其他应收款,其他应收款(合计),存货,划分为持有待售的资产,待摊费用,待处理流动资产损益,一年内到期的非流动资产,其他流动资产,流动资产合计,非流动资产,发放贷款及垫款,债权投资,其他债权投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,可供出售金融资产,长期股权投资,投资性房地产,长期应收款,其他权益工具投资,其他非流动金融资产,其他长期投资,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,在建工程合计,在建工程,工程物资,固定资产净额,固定资产清理,固定资产及清理合计,生产性生物资产,公益性生物资产,油气资产,合同资产,使用权资产,无形资产,开发支出,商誉,长期待摊费用,股权分置流通权,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,流动负债,短期借款,向中央银行借款,吸收存款及同业存放,拆入资金,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付账款,预收款项,合同负债,卖出回购金融资产款,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,应付保证金,内部应付款,其他应付款,其他应付款合计,其他应交款,担保责任赔偿准备金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,国际票证结算,国内票证结算,预提费用,预计流动负债,应付短期债券,划分为持有待售的负债,一年内的递延收益,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,应付债券：优先股,应付债券：永续债,租赁负债,长期应付职工薪酬,长期应付款,长期应付款合计,专项应付款,预计非流动负债,长期递延收益,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,所有者权益,实收资本(或股本),其他权益工具,优先股,永续债,资本公积,减:库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未确定的投资损失,未分配利润,拟分配现金股利,外币报表折算差额,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,13359753415.8,,,6963381.83,,,4382049081.12,329712099.24,4052336981.88,10763355.65,1187737009.59,,89959815.1,,,,,,,,,275502067.34,4327933731.82,,,,1706790.6,144744647.06,25966903098.84,,,,,,,,3393461497.19,70945716.8,1133111.41,,377647251.96,,,,,,29403252.31,,,,,1381855479.75,,,,2269749618.03,86593565.92,276514728.25,3991395.93,,13792315.77,,648305836.57,625425801.69,6909069953.55,32875973052.39,,14680000.0,,,,,,4352366457.52,220038860.66,4132327596.86,1350999.98,8533760105.6,,,1077773122.61,126861513.99,,35665.59,,,,1304403325.61,,,,,,,,,,,,,,28269500.69,30806021.83,15470271047.83,,,,,,40589022.51,65726276.0,,143000.0,,,151510650.64,81334979.18,,339303928.33,15809574976.16,,1022739308.0,,,,1942203906.23,118926817.53,,7722832.67,1320646920.65,,,9967395394.69,,,14141781544.71,2924616531.52,17066398076.23,32875973052.39,定期报告,未审计,20260422,CNY,合并期末,2026-04-21T16:08:05
20251231,,13676493316.66,,,10175459.51,,,4421954140.28,344100242.0,4077853898.28,22214623.89,1113109467.98,0.0,99671356.01,,,,,,,,269602771.24,369274127.25,4536173092.12,,,,1709640.0,210808326.71,26564069236.05,,,,,,,,3330599305.16,71983620.5,1561100.41,,374037510.98,,4497112698.1,3054830104.13,1442282593.97,15998599.36,26590242.92,26590242.92,,1426283994.61,,1426283994.61,,,,2202157041.65,88148077.38,279225121.82,3728962.71,,14840641.44,,648514330.15,602484650.7,6867997558.78,33432066794.83,,14980000.0,,,,,,4344791282.17,263703790.58,4081087491.59,3971245.92,9098133432.85,,,1144297117.45,225323975.02,,35665.59,,,1274831091.55,1274866757.14,,,,,,,,,,,,,,28818600.55,40039849.21,16175222260.31,,,,,,40598261.4,65780552.0,,143000.0,,,154849727.47,80432543.93,,341804084.8,16517026345.11,,1022739308.0,,,,1942203906.23,20330578.09,,7388503.17,1320646920.66,,,9788935278.65,,,14061583338.62,2853457111.1,16915040449.72,33432066794.83,定期报告,是,20260422,CNY,合并期末,2026-03-20T18:24:02
20250930,,14371930811.26,,,7977813.0,,,5055092880.21,469790243.69,4585302636.52,24649671.66,1338327779.4,,77957270.14,,,,,,,,,379416320.26,4555633858.98,,,,450892.0,102283719.71,27894100799.31,,,,,,,,3373614844.18,73035536.0,3283758.2,,367233420.15,,,,,,31413519.39,,,,,1434612813.23,,,,2058337052.83,72194916.4,274913305.4,7151634.88,,2035464.49,,637870839.27,472141970.06,6749502021.65,34643602820.96,,14991365.23,,,,,,5302925953.92,225541573.89,5077384380.03,4508181.64,9132524949.26,,,1116347621.1,125046971.62,,308596203.19,,,,1813285603.22,,,,,,,,,,,,,,28994554.77,47527469.33,17586152670.09,,,,,,26808105.07,66371168.99,,143000.0,,,158188804.3,81309184.41,,332820262.77,17918972932.86,,1022739308.0,,,,1942203906.23,,,6801872.43,1320646920.66,,,9701353575.44,,,13993745582.76,2730884305.34,16724629888.1,34643602820.96,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T18:12:07
20250630,,13633384972.87,,,6813200.04,,,5210195739.88,394837562.3,4815358177.58,24781360.17,1551343280.42,,170552804.61,,,,,,,,274235462.56,444788267.17,5147032464.5,,,,450892.0,108021345.9,27987346702.19,,,,,,,,3309465007.44,75241273.93,10398156.2,,372903407.2,,4460709206.1,2985451870.31,1475257335.79,16783618.12,33998461.31,33998461.31,,1458473717.67,,1458473717.67,,,,1860535179.24,71498564.77,277503892.69,5914746.24,,1720378.59,,623325994.62,443997200.44,6684440801.1,34671787503.29,,14920765.23,,,,,,5144600723.66,167133793.94,4977466929.72,4447487.08,9698922760.26,,,1115066934.54,65925959.84,,196448039.58,,,1410098372.36,1606546411.94,,,,,,,,,,,,,,32468960.87,48336088.78,17731236092.2,,,,,,24514745.26,66425444.99,,143000.0,,,161527881.13,82687742.05,,335298813.43,18066534905.63,,1022739308.0,,,,1942203906.23,,,5994407.03,1320646920.66,,,9691692396.26,,,13983276938.18,2621975659.48,16605252597.66,34671787503.29,定期报告,未审计,20250823,CNY,合并期末,2025-08-22T17:32:05
20250331,,13101479586.04,,,6963472.68,,,5113819057.93,447454261.1,4666364796.83,9669497.83,1568487171.3,,124738222.04,,,,,,,,,352815642.21,5983359312.95,,,,530545.6,145682972.38,28061445063.64,,,,,,,,3347614423.75,75322789.58,8740272.06,,366960150.1,,,,,,57429279.7,,,,,1477336183.99,,,,1778637804.72,87187344.48,279827646.77,4945874.36,,1876454.05,,608232793.1,434816588.44,6750289800.38,34811734864.02,,14630708.37,,,,,,4221545515.31,189610750.06,4031934765.25,4397530.49,10766623216.74,,,1114572086.65,131630946.02,,34769.98,,,,1463040956.28,,,,,,,,,,,,,,36259958.31,45617378.19,17798318296.36,,,,,,36191517.39,71598024.07,,143000.0,,,164866957.96,81240866.88,,354040366.3,18152358662.66,,1022739308.0,,,,1942203906.23,,,5619136.23,1320646920.66,,,9629552753.34,,,13920762024.46,2738614176.9,16659376201.36,34811734864.02,定期报告,未审计,20250426,CNY,合并期末,2025-04-25T16:56:09
20241231,,13290047040.01,,,7264017.96,,,4740885211.14,480066940.65,4260818270.49,12527892.1,1594828628.51,0.0,146835573.23,,,,,,,,233196542.86,380032116.09,6072946231.99,,,,530545.58,203677220.92,28538486450.04,,,,,,,,3256120443.05,76502706.79,9634308.72,,350959614.94,,4438903982.09,2909799829.52,1529104152.57,16783618.12,55493181.13,55493181.13,,1512320534.45,,1512320534.45,,,,2235747545.74,89090551.1,282451617.17,3954700.0,,2056667.65,,613802542.36,374839841.44,6627226708.8,35165713158.84,,11885429.21,,,,,,4476922607.86,498386592.44,3978536015.42,1133225.0,11129472904.57,,,1123784869.16,221720417.61,,34769.98,,,1420511545.61,1420546315.59,,,,,,,,,,,,,,36158315.34,48368863.61,18469992947.95,,,,,,36030765.07,71654700.07,,143000.0,,,168206034.79,77240733.08,,353275233.01,18823268180.96,,1022739308.0,,,,1942203906.23,,,5095603.97,1320646920.66,,,9426016439.39,,,13716702178.25,2625742799.63,16342444977.88,35165713158.84,定期报告,是,20260321,CNY,合并期末,2025-03-21T16:30:05
20240930,,14270380451.17,,,7357992.94,,,5217909832.71,514233972.32,4703675860.39,20093700.64,2165010397.81,,127247305.86,,,,,,,,,357771071.38,6431985531.54,,,,21790114.39,123533326.42,30463730348.74,,,,,,,,3222199976.13,77822641.21,,,340633479.32,,,,,,62638604.81,,,,,1518001240.77,,,,1847897929.74,87601581.54,293864834.66,,4404823.66,1979783.69,,609167756.13,265578172.75,6483892894.67,36947623243.41,,10249705.83,,,,,,5685519296.89,476204766.47,5209314530.42,5716794.24,11398546934.36,,,1123443491.14,97252160.2,,689813432.52,,,,2004956153.91,,,,,,,,,,,,,,29140404.18,96707143.67,20451532084.42,,,,,,41737504.52,71708342.15,,2432522.78,,,171545111.62,73296650.23,,360720131.3,20812252215.72,,1022739308.0,,,,1942203906.23,,,5012258.95,1320646920.66,,,9249927287.36,,,13540529681.2,2594841346.49,16135371027.69,36947623243.41,定期报告,未审计,20241029,CNY,合并期末,2024-10-28T18:00:07
20240630,,13353185217.22,,,6061891.42,,,5198321834.92,504127251.54,4694194583.38,48611010.34,2141197002.95,,114189742.05,,,,,,,,217298633.08,331488375.13,7513641851.06,,,,21790114.39,182367274.36,30324384982.82,,,,,,,,3177693272.19,78911659.36,,,325501999.48,,4506682791.19,2919766591.15,1586916200.04,17734706.28,62587660.8,62587660.8,,1569181493.76,4418.89,1569185912.65,,,,1527720411.03,89485264.48,296484178.92,,4404823.66,1694307.25,,588098297.51,266045728.0,6460093104.3,36784478087.12,,9990278.27,,,,,,5089903106.02,165735803.03,4924167302.99,4937499.7,12193415176.13,,,1124075096.44,139590313.42,,485265570.92,,,1238052558.53,1723318129.45,,,,,,,,,,,,,,28885149.35,55814548.86,20369929297.64,,,,,,42085588.23,81105196.76,,3647150.0,,,174884188.45,69295640.33,,371017763.77,20740947061.41,,1022739308.0,,,,1942203906.23,,,5930404.2,1320646920.66,,,9251850317.51,,,13543370856.6,2500160169.11,16043531025.71,36784478087.12,定期报告,未审计,20240817,CNY,合并期末,2024-08-16T17:40:04
20240331,,12822246423.11,,,6775686.46,,,4952622652.02,594618473.28,4358004178.74,9044008.99,2754164219.16,2931692.0,109430529.57,,,,,,,,,352642344.96,8377259089.29,,,,21877362.6,143736076.64,31019485285.53,,,,,,,,3173380949.8,80276911.85,,,335198612.0,,,,,,62382248.64,,,,,1610041264.77,,,,1579117422.3,83511659.55,298906647.88,,4404823.66,1856361.34,,579304460.94,235949055.0,6465212995.43,37484698280.96,,61263095.91,,,,,,4420818077.78,149483127.24,4271334950.54,6664905.19,13349251720.57,,,1122384407.5,201059284.56,,12183856.82,,,,1321762884.0,,,,,,,,,,,,,,25858678.36,79871897.23,20588934951.1,,,,,,39748124.53,81161872.76,,3647150.0,,,178223265.28,71939936.48,,374720349.05,20963655300.15,,1022739308.0,,,,1942203906.23,,,5571637.23,1320646920.66,,,9388662563.93,,,13679824336.05,2841218644.76,16521042980.81,37484698280.96,定期报告,未审计,20240427,CNY,合并期末,2024-04-26T20:35:08
20231231,,12975318779.89,,,7113854.6,,,4943276655.32,577340614.99,4365936040.33,19387390.54,2208224806.66,,111986481.48,,,,,,,,231917796.82,343904278.3,8336145904.05,,,,21877362.6,205486803.6,30699834998.1,,,,,,,,3170463213.46,83540874.95,,,333011646.81,,4500513752.91,2835059933.25,1665453819.66,17868047.83,58240034.81,58240034.81,,1647585771.83,,1647585771.83,,,,1639099162.54,86084174.79,301450860.54,,4404823.66,1947599.28,,588253659.6,241961929.0,6516944588.73,37216779586.83,,65995900.32,,,,,,4165244783.58,231940821.45,3933303962.13,6027732.77,13611927618.65,,,1125887536.21,248633906.18,,34769.98,,,1316274075.85,1316308845.83,,,,,,,,,,,,,,28339336.34,63845415.33,20632211075.21,,,,,,38194806.6,81219260.76,,3647150.0,,,181562342.11,71298978.17,,375922537.64,21008133612.85,,1022739308.0,,,,1942203906.23,,,5145228.3,1320646920.66,,,9176363421.96,,,13467098785.15,2741547188.83,16208645973.98,37216779586.83,定期报告,是,20250322,CNY,合并期末,2024-03-22T16:30:03
