报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2000-12-31,2273.65万,False,False,False,3.46亿,False,False,1.12,0.0060,0.0039,False,6.65%,20.70%,False,39.67%,47.43,17.95,20.06,27.37,1.68,1.29,1.67,1.44,58.14%
2001-12-31,2791.20万,22.76%,False,False,3.15亿,-8.96%,False,1.72,0.16,0.37,False,8.99%,26.35%,False,31.73%,49.19,16.06,22.41,26.77,2.45,2.04,2.45,0.79,43.30%
2002-12-31,3960.23万,41.88%,False,False,2.15亿,-31.88%,0.7770,2.40,0.16,0.38,0.75,18.37%,42.70%,37.19%,32.31%,66.69,13.04,27.61,39.07,2.37,2.25,2.62,0.62,36.89%
2003-03-31,298.65万,False,False,False,3661.70万,False,False,False,False,False,False,7.54%,64.76%,False,False,False,False,False,False,False,False,False,False,False
2003-06-30,1222.65万,False,False,False,8951.51万,False,0.2400,1.99,0.16,0.62,-0.33,12.58%,62.05%,10.39%,12.03%,100.53,5.33,33.77,66.77,1.38,1.26,1.77,0.77,42.06%
2003-09-30,1873.27万,False,False,False,1.37亿,False,False,False,False,False,False,12.47%,60.06%,False,False,False,False,False,False,False,False,False,False,False
2003-12-31,3632.50万,-8.28%,3565.55万,False,2.15亿,0.28%,False,5.44,3.46,0.74,0.35,15.69%,58.47%,False,9.82%,87.28,10.87,33.11,54.16,5.07,4.85,5.37,0.19,15.76%
2004-03-31,7.52万,-97.48%,12.98万,False,4010.31万,9.52%,False,5.44,3.46,0.31,-0.83,-0.22%,47.98%,False,0.02%,143.02,2.16,41.67,101.35,14.16,13.38,15.45,0.06,5.62%
2004-06-30,239.84万,-80.38%,280.85万,False,9377.50万,4.76%,False,5.04,3.46,0.34,-0.80,1.30%,46.03%,False,0.70%,143.50,3.43,52.51,90.99,4.29,3.87,4.70,0.20,16.34%
2004-09-30,643.88万,-65.63%,402.50万,False,1.65亿,20.31%,False,5.12,3.48,0.40,-0.92,2.89%,42.47%,False,1.85%,143.72,4.61,58.60,85.12,3.04,2.63,3.29,0.28,21.51%
2004-12-31,2239.41万,-38.35%,1698.23万,-52.37%,2.67亿,23.94%,0.3293,5.37,3.49,0.59,-0.10,7.71%,45.84%,6.09%,6.14%,93.29,11.94,30.14,63.15,3.66,3.16,3.81,0.23,18.51%
2005-03-31,12.08万,60.55%,-7.68万,-159.18%,3861.55万,-3.71%,False,5.37,3.49,0.59,-0.39,-0.20%,48.46%,False,0.03%,187.95,1.53,58.93,129.01,6.14,5.07,6.36,0.12,10.70%
2005-06-30,257.53万,7.38%,207.21万,-26.22%,8824.36万,-5.90%,0.0252,3.47,1.99,0.28,-0.20,2.57%,48.94%,0.70%,0.73%,171.70,3.38,53.26,118.44,3.10,2.57,3.33,0.22,17.94%
2005-09-30,141.30万,-78.06%,False,False,1.37亿,-17.16%,False,3.46,1.99,0.27,-0.16,0.85%,50.87%,False,0.40%,176.58,4.15,65.11,111.47,3.08,2.32,3.10,0.21,16.86%
2005-12-31,587.69万,-73.76%,527.42万,-68.94%,2.37亿,-11.31%,0.0576,3.47,1.97,0.31,0.50,2.48%,51.33%,1.63%,1.66%,100.84,9.16,39.28,61.56,2.94,2.56,2.84,0.25,19.42%
2006-03-31,195.06万,1515.42%,-1.57万,79.52%,5551.06万,43.75%,0.0191,3.49,1.98,0.31,-0.31,3.05%,38.44%,False,0.05%,84.31,2.56,35.20,49.11,4.74,3.65,4.34,0.14,11.67%
2006-06-30,636.25万,147.06%,209.02万,0.87%,1.37亿,55.22%,0.0400,2.31,1.13,0.03,-0.23,4.58%,42.03%,0.98%,1.07%,77.51,6.10,29.49,48.02,1.88,1.70,2.03,0.42,28.69%
2006-09-30,1839.05万,1201.54%,1401.62万,False,2.15亿,56.68%,0.1300,2.39,1.13,0.12,-0.03,8.58%,48.14%,False,4.71%,75.51,8.78,30.77,44.74,3.29,2.88,3.60,0.18,14.75%
2006-12-31,5462.87万,829.55%,2133.15万,304.45%,3.46亿,46.09%,0.2900,2.57,1.11,0.40,0.45,15.82%,47.85%,11.61%,11.42%,44.44,22.28,16.16,28.29,2.04,1.99,1.99,0.43,29.28%
2007-03-31,1316.65万,574.98%,1298.22万,82622.18%,5925.01万,6.74%,0.0700,2.77,1.13,0.47,-0.39,22.17%,58.13%,False,3.33%,90.32,2.34,38.42,51.90,2.73,2.54,2.54,0.41,28.55%
2007-06-30,3760.52万,491.05%,3744.54万,1691.52%,1.85亿,34.89%,0.1300,2.18,0.64,0.42,-0.28,20.91%,50.42%,10.51%,9.28%,78.19,6.40,28.13,50.06,2.50,2.28,2.28,0.46,30.75%
