报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
1993-12-31,1.35亿,False,False,False,22.99亿,False,False,2.45,False,False,False,5.87%,18.86%,False,26.34%,False,False,False,False,0.88,0.88,0.0000,2.16,68.37%
1994-12-31,1.46亿,7.90%,False,False,22.42亿,-2.48%,False,2.60,False,False,False,6.49%,21.54%,False,27.59%,False,False,False,False,1.01,1.01,0.0000,2.24,69.12%
1995-12-31,1.07亿,-26.61%,False,False,19.36亿,-13.64%,False,3.06,False,False,False,5.52%,18.18%,False,18.05%,False,False,False,False,1.14,1.14,0.0000,2.31,69.82%
1996-12-31,1.11亿,4.04%,False,False,17.21亿,-11.12%,False,3.56,False,False,False,6.46%,21.89%,False,15.96%,False,False,False,False,1.03,1.03,0.0000,2.09,67.63%
1997-06-30,8427.97万,False,False,False,9.54亿,False,False,5.13,3.18,0.56,False,8.83%,False,False,5.89%,False,False,False,False,1.46,1.46,0.0000,1.11,52.71%
1997-12-31,1.48亿,33.60%,False,False,18.73亿,8.84%,0.3780,3.57,1.99,0.30,False,7.93%,19.29%,13.21%,9.93%,282.85,2.08,173.44,109.42,1.23,0.58,0.48,1.05,51.24%
1998-06-30,5475.34万,-35.03%,False,False,8.73亿,-8.55%,False,3.70,1.99,0.40,False,6.28%,15.94%,False,3.53%,297.67,1.01,178.32,119.35,1.36,0.69,0.53,0.89,47.18%
1998-12-31,4926.08万,-66.82%,False,False,16.17亿,-13.70%,0.1600,3.80,2.11,0.39,0.06,4.33%,14.83%,4.41%,4.10%,349.08,1.84,195.19,153.89,1.51,0.91,0.69,0.93,48.31%
1999-06-30,4552.02万,-16.86%,False,False,7.89亿,-9.57%,False,3.90,2.11,0.47,False,5.77%,13.60%,False,2.60%,199.16,0.90,199.16,False,1.52,0.98,0.95,0.97,49.15%
1999-12-31,2683.50万,-45.52%,2756.44万,False,14.53亿,-10.09%,0.0610,3.48,2.11,0.13,0.0018,1.90%,12.03%,1.78%,1.76%,193.68,1.86,193.68,False,1.35,0.92,0.90,1.12,52.91%
