报告日,流动资产,货币资金,结算备付金,拆出资金,交易性金融资产,买入返售金融资产,衍生金融资产,应收票据及应收账款,应收票据,应收账款,应收款项融资,预付款项,应收股利,应收利息,应收保费,应收分保账款,应收分保合同准备金,应收出口退税,应收补贴款,应收保证金,内部应收款,其他应收款,其他应收款(合计),存货,划分为持有待售的资产,待摊费用,待处理流动资产损益,一年内到期的非流动资产,其他流动资产,流动资产合计,非流动资产,发放贷款及垫款,债权投资,其他债权投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,可供出售金融资产,长期股权投资,投资性房地产,长期应收款,其他权益工具投资,其他非流动金融资产,其他长期投资,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,在建工程合计,在建工程,工程物资,固定资产净额,固定资产清理,固定资产及清理合计,生产性生物资产,公益性生物资产,油气资产,合同资产,使用权资产,无形资产,开发支出,商誉,长期待摊费用,股权分置流通权,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,流动负债,短期借款,向中央银行借款,吸收存款及同业存放,拆入资金,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付账款,预收款项,合同负债,卖出回购金融资产款,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,应付保证金,内部应付款,其他应付款,其他应付款合计,其他应交款,担保责任赔偿准备金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,国际票证结算,国内票证结算,预提费用,预计流动负债,应付短期债券,划分为持有待售的负债,一年内的递延收益,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,应付债券：优先股,应付债券：永续债,租赁负债,长期应付职工薪酬,长期应付款,长期应付款合计,专项应付款,预计非流动负债,长期递延收益,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,所有者权益,实收资本(或股本),其他权益工具,优先股,永续债,资本公积,减:库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未确定的投资损失,未分配利润,拟分配现金股利,外币报表折算差额,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,11325144123.93,,,4575600000.0,,655124576.34,20929915130.34,4542570462.08,16387344668.26,2128830258.8,978810549.53,,,,,,,,,,,1081458995.17,11488245524.5,2313584188.57,,,362376281.7,1015386000.5,57202431470.01,,,2037262496.22,,,,,12670735657.8,,,304785965.98,,,,,,,18630816286.57,,,,,33926517971.39,,,,347955840.63,136234965.83,2338149483.24,204995703.63,65798821.25,282480052.94,,1861678907.4,3102795747.34,75562252059.59,132764683529.6,,1373105291.68,,,,,5396501.6,41241087370.72,5578510403.26,35662576967.46,,1287498132.02,,,382112381.17,837994471.01,,,,,,45953069.89,,,,,,,,,,,,,,8509880602.34,3817357749.73,57500385570.16,,20830432145.21,5126873846.57,,,82346132.76,,,231394730.53,,,1454742992.22,922359368.09,,28648149215.38,86148534785.54,,2076061273.0,294568570.31,,,19699841009.7,,156045983.2,,880086641.69,,,20860972568.03,,,43967576045.93,2648572698.13,46616148744.06,132764683529.6,定期报告,未审计,20260425,CNY,合并期末,2026-04-24T18:58:07
20251231,,8501799285.35,,,7785000000.0,,383964941.5,19986665005.54,5126407622.31,14860257383.23,2650173677.73,1412515883.35,24000000.0,,,,,,,,,311210502.63,335210502.63,8239887039.65,2313584188.57,,,374540094.46,1256887768.34,53673129673.18,,,2045000811.36,,,,,12521451328.67,,,298540552.15,,,39241566814.32,7087785046.53,32153781767.79,,17520971218.0,17520971218.0,,32153781767.79,,32153781767.79,,,,432901286.06,141249953.59,2272624082.24,158952426.59,65798821.25,298702711.96,,1767113550.62,2624979672.18,71869166896.4,125542296569.58,,706335000.01,,,,,4778515.77,38200800284.88,5191101695.83,33009698589.05,,1489994067.37,,,812346963.7,942000687.35,,,,,47351146.53,47351146.53,,,,,,,,,,,,,,6540037582.45,3507433076.77,52251077324.83,,20532087295.22,5192852266.29,,,89642292.96,,231394730.53,231394730.53,,,1451190425.77,822621651.33,,28319788662.1,80570865986.93,,2074119273.0,300438233.8,,,19421030176.46,,229560169.32,,880086641.69,,,19414668788.67,,,42319903282.94,2651527299.71,44971430582.65,125542296569.58,定期报告,是,20260425,CNY,合并期末,2026-03-27T21:10:09
20250930,,9444793190.9,,,5580000000.0,,19858267.5,19697933499.76,4567445659.47,15130487840.29,2862094054.51,770043760.81,,,,,,,,,,,153100345.22,6006078920.65,600000000.0,,,409597799.76,819392213.7,46833186264.76,,,2103301535.84,,,,,14149522798.19,,,471999657.01,,,,,,,13285475990.22,,,,,31394227740.86,,,,470294211.95,115991402.18,2185275859.97,130602706.67,65798821.25,287899809.51,,1571649570.44,3775380673.41,69537126565.55,116370312830.31,,702041666.67,,,,,3049987.97,34414963610.88,4397507071.23,30017456539.65,,523465711.4,,,372680902.74,396526462.91,,,,,,48966642.64,,,,,,,,,,,,,,4652858209.21,3430830803.68,44545383998.1,,21763780847.53,5167880003.8,,,65770678.37,,,269529445.44,,,1249967394.45,792864568.0,,29309792937.59,73855176935.69,,2045732658.0,300499412.0,,,18904957220.07,403505498.85,59536241.1,,867337582.67,,,18097744437.3,,,39872302052.29,2642833842.33,42515135894.62,116370312830.31,定期报告,未审计,20251024,CNY,合并期末,2025-10-23T19:14:05
20250630,,7064548762.76,,,7525200000.0,,11423825.0,18250247970.86,4447548005.93,13802699964.93,1936813204.34,520321907.37,,,,,,,,,,244600980.97,244600980.97,6029995571.09,,,,268690873.24,881366148.37,43034033477.56,,,2297838905.94,,,,,14950074505.84,,,425675491.23,,,36892675640.35,6200534463.79,30692141176.56,,12265260084.57,12265260084.57,,30692141176.56,,30692141176.56,,,,300824233.56,92886666.19,2151574910.52,121844564.26,65798821.25,297145586.73,,1579399699.3,2719986128.44,67659626540.83,110693660018.39,,753343541.68,,,,,43045365.27,31311479955.21,3407672536.43,27903807418.78,,569537206.94,,,361240691.84,341901873.28,,,,,49942483.15,49942483.15,,,,,,,,,,,,,,5335323869.95,2854367473.46,41620182460.78,,20266874641.38,5142718975.75,,,55007589.69,,268054953.14,268054953.14,,,1055455785.89,851188179.86,,27639300125.71,69259482586.49,,2045721497.0,300536894.96,,,18601933356.39,403505498.85,16869194.14,,867337582.67,,,17386745215.09,,,38815638241.4,2618539190.5,41434177431.9,110693660018.39,定期报告,未审计,20250822,CNY,合并期末,2025-08-21T19:52:06
20250331,,13435049244.98,,,4499721987.4,,6121649.0,16065055344.75,3257131622.49,12807923722.26,1899459318.48,528887994.52,,,,,,,,,,,200405226.3,5301816669.62,,,,268893185.03,788620169.14,43260395552.93,,,2069894789.84,,,,,14975563394.25,,,346083207.78,,,,,,,10995173823.71,,,,,30223560049.83,,,,266364763.71,97222328.09,2082631912.59,132286853.09,65798821.25,320873971.63,,1481435754.63,2449917834.71,65240442741.4,108500838294.33,,967649690.8,,,,,450926.46,29327996284.46,2800568725.85,26527427558.61,,600520052.66,,,329612462.0,302208182.42,,,,,,33529892.88,,,,,,,,,,,,,,5789129819.23,1916931274.57,39268028585.48,,20474605187.72,5219945759.33,,,60455402.84,,,367404000.0,,,1017723556.57,840523151.29,,27980657057.75,67248685643.23,,2045721497.0,355472746.11,,,17986354776.97,403505498.85,-43122685.54,,652406051.3,,,18118712843.66,,,38712039730.65,2540112920.45,41252152651.1,108500838294.33,定期报告,未审计,20250425,CNY,合并期末,2025-04-24T21:16:10
20241231,,9064859345.79,,,4527842320.0,,,16081446836.77,2982874308.55,13098572528.22,1050582538.65,519687092.77,,,,,,,,,,138798794.63,138798794.63,5251441952.53,,,,348509947.96,745454487.7,37984679070.74,,,1971725963.55,11790718.16,,,,14866661606.38,,,332911345.01,,,35232703905.28,4914730673.22,30317973232.06,,9307781435.63,9307781435.63,,30317973232.06,,30317973232.06,,,,256055753.94,106926834.49,2013390609.96,117573423.67,65798821.25,346294271.48,,1417352820.43,2029763972.46,62905945054.53,100890624125.27,,1236046136.47,,,,,31778751.0,28921270158.7,3408868197.02,25512401961.68,,367130957.67,,,662871211.04,236058833.91,,,,,35565837.56,35565837.56,,,,,,,,,,,,,,6137965146.39,2209512097.36,39838199130.1,,17568758921.53,499659624.24,,,66058149.79,,45084987.63,45084987.63,,,1023384950.89,850291488.45,,20053238122.53,59891437252.63,,2045721497.0,,,,18328732420.11,364953323.73,-97139439.26,,652239344.13,,,17016096563.36,,,37580697061.61,3418489811.03,40999186872.64,100890624125.27,定期报告,是,20260328,CNY,合并期末,2025-04-17T20:14:06
20240930,,9488551624.71,,,5449857070.0,,26373300.0,15845693638.39,3352470961.83,12493222676.56,1264028685.67,769979043.05,,,,,,,,,,,202582608.17,5924579949.11,,,,,808439447.64,40019503958.62,,,1728466889.18,10775061.96,,,,14635674818.4,,,337656882.68,,,,,,,10198204037.96,,,,,27656468046.58,,,,239418591.88,206521587.83,1913887971.99,119741835.21,65798821.25,345736349.19,,1369865190.17,2236447048.12,60825244540.52,100844748499.14,,1348854282.28,,,,1129900.0,8488500.0,28646856860.5,3846992399.87,24799864460.63,,512632858.2,,,337555885.12,225057437.12,,,,,,21670548.45,,,,,,,,,,,,,,6341949325.62,2744141970.08,40188337567.37,,15793349869.8,2946461415.4,,,137339093.33,,,71998306.07,,,1084047568.05,642989819.61,,20676186072.26,60864523639.63,,2045721497.0,,,,18274540433.92,348252420.21,-132124123.5,,456610941.81,,,16324790730.94,,,36621287059.96,3358937799.55,39980224859.51,100844748499.14,定期报告,未审计,20241025,CNY,合并期末,2024-10-24T19:35:13
20240630,,8700553974.63,,,6289310145.0,,,15418192399.44,2915430577.08,12502761822.36,1155292339.38,606180999.37,,,,,,,,,,471111389.24,471111389.24,6357901044.76,,,,,825256594.25,40034530333.78,,,1738412409.25,10499598.2,,,,14542810818.62,,,332419569.47,,,28994355883.68,4103611250.28,24890744633.4,,11796873566.38,11796873566.38,,24890744633.4,,24890744633.4,,,,210731447.71,110251995.08,1922047883.78,99639958.77,65798821.25,407828844.63,,1322895429.01,1614334609.67,58854558137.51,98889088471.29,,1155989759.88,,,,671900.0,35085250.0,28771719094.8,4063624759.39,24708094335.41,,501140574.24,,,317341917.64,231548826.32,,,,,20007199.88,20007199.88,,,,,,,,,,,,,,6299189794.39,1837295272.14,39169989589.29,,15812041187.32,2977799198.3,,,92428034.6,,187760765.95,187760765.95,,,1046013387.88,618864934.93,,20734907508.98,59904897098.27,,2045721497.0,,,,18395481795.5,323402938.72,-146644457.44,,456610941.81,,,15273389370.53,,,35701156208.68,3283035164.34,38984191373.02,98889088471.29,定期报告,未审计,20240903,CNY,合并期末,2024-08-22T19:25:04
20240331,,9108432184.04,,,4081184949.5,,253860.0,14427056906.27,2341015209.13,12086041697.14,1801495522.97,864708945.44,,,,,,,,,,,298512895.74,6703161813.17,,,,,866017871.54,38355098030.51,,,1711447621.53,10637950.96,,,,14536388402.41,,,328558601.51,,,,,,,13489043133.5,,,,,22847819501.07,,,,204273081.84,78973009.25,1897108959.22,131198516.03,65798821.25,372284744.78,,1243045037.21,1166963462.89,57879267761.61,96234365792.12,,1133386908.61,,,,880750.0,420650.0,28871881134.4,5049937508.93,23821943625.47,,340294985.52,,,282634284.9,209776264.66,,,,,,19183932.22,,,,,,,,,,,,,,4424426413.97,1499101691.64,36781987015.92,,16020266325.19,2467777198.81,,,53281424.76,,,270518524.67,,,978017683.12,595947452.99,,20385808609.54,57167795625.46,,2045721497.0,,,,18565713930.94,323402938.72,-162310040.87,,456610941.81,,,15222235395.03,,,35804568785.19,3262001381.47,39066570166.66,96234365792.12,定期报告,未审计,20240425,CNY,合并期末,2024-04-24T18:30:05
20231231,,10506208550.05,,,3152615500.0,,,14195400084.12,1767866336.62,12427533747.5,968382943.94,233047244.39,,,,,,,,,,141822497.45,141822497.45,6316007223.39,,,,,1050629745.54,36786436398.28,,,1689305990.12,10754572.92,,,,14410652020.47,,,331690450.04,,,24841695188.64,3093787013.25,21747908175.39,,14053075716.65,14053075716.65,,21747908175.39,,21747908175.39,,,,222322609.4,95008845.38,1895626149.89,101028427.24,65798821.25,389121788.93,,1168280218.76,1610650423.39,57568901600.43,94355337998.71,,1120974369.36,,,,,705050.0,30185623052.44,6198257151.45,23987365900.99,,397395558.88,,,673065141.93,211697567.29,,,,,23892729.71,23892729.71,,,,,,,,,,,,,,4044938402.59,1233691437.37,37891983309.57,,14000794012.99,2456852595.77,,,67524196.06,,342141281.5,342141281.5,,,983593003.57,607181977.93,,18458087067.82,56350070377.39,,2045721497.0,,,,18562392295.8,323402938.72,-163704673.1,,456483441.81,,,14155374049.31,,,34732863672.1,3272403949.22,38005267621.32,94355337998.71,定期报告,是,20250418,CNY,合并期末,2024-04-18T19:45:04
