报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2006-12-31,1487.60万,False,1835.81万,False,1.40亿,False,0.0000,3.13,0.14,1.71,0.91,10.62%,22.97%,48.48%,39.74%,210.74,2.44,147.72,63.02,1.25,0.51,0.51,1.62,61.79%
2007-12-31,2482.71万,66.89%,2480.71万,35.13%,1.68亿,20.19%,0.4500,1.70,0.58,0.26,-0.30,14.75%,26.89%,41.86%,26.55%,221.57,2.60,138.39,83.18,1.71,0.98,0.98,0.78,43.91%
2008-09-30,2143.56万,False,1974.41万,False,1.36亿,False,0.3200,False,False,False,0.07,15.81%,25.18%,False,False,False,False,False,False,False,False,False,False,False
2008-12-31,3102.24万,24.95%,2903.34万,17.04%,2.02亿,20.28%,0.4700,1.89,0.43,0.75,0.68,15.32%,24.78%,28.46%,24.91%,216.58,3.03,118.71,97.87,1.69,1.08,1.08,0.73,42.11%
2009-03-31,334.64万,False,False,False,2988.32万,False,0.0500,False,False,False,False,11.20%,26.66%,False,False,False,False,False,False,False,False,False,False,False
2009-06-30,1702.57万,False,1681.74万,False,9411.61万,False,0.2600,2.14,0.20,0.88,0.14,18.09%,30.69%,12.80%,12.03%,253.05,1.24,145.47,107.58,1.80,1.14,1.14,0.64,38.91%
2009-09-30,2677.84万,24.92%,2543.83万,28.84%,1.59亿,17.30%,0.4100,2.29,0.20,1.03,0.06,16.84%,27.27%,0.0000%,17.70%,221.75,2.19,123.05,98.70,1.97,1.16,1.16,0.50,33.22%
2009-12-31,3995.31万,28.79%,3778.27万,30.14%,2.06亿,1.73%,0.3800,6.12,4.15,0.88,-0.04,19.44%,32.45%,19.32%,7.42%,250.28,2.73,131.88,118.40,8.07,6.82,6.82,0.13,11.22%
2010-03-31,534.52万,59.73%,484.02万,False,3216.05万,7.62%,0.0400,6.18,4.15,0.94,-0.20,16.62%,34.39%,False,0.99%,451.92,0.36,253.38,198.54,11.09,8.87,8.87,0.08,7.81%
2010-06-30,2071.71万,21.68%,2017.98万,19.99%,1.10亿,16.71%,0.1000,4.14,2.43,0.64,-0.02,18.86%,30.39%,3.82%,3.79%,255.03,1.44,124.97,130.06,9.18,7.42,7.42,0.10,9.02%
2010-09-30,3472.61万,29.68%,3361.62万,32.15%,1.85亿,16.63%,0.2600,4.24,2.43,0.75,0.03,18.72%,29.65%,False,6.32%,232.39,2.35,114.70,117.69,7.13,5.69,5.69,0.12,10.84%
2010-12-31,5661.86万,41.71%,5319.62万,40.80%,3.05亿,48.32%,0.4300,4.41,2.43,0.87,0.35,18.53%,29.70%,9.99%,9.73%,217.10,3.72,96.81,120.29,4.49,3.62,3.62,0.19,15.68%
2011-03-31,1339.95万,150.68%,1334.40万,175.69%,8295.82万,157.95%,0.0700,4.51,2.43,0.97,-0.03,16.15%,27.40%,2.28%,2.25%,250.47,0.93,97.20,153.27,4.89,4.02,4.02,0.17,14.42%
2011-06-30,3844.23万,85.56%,3821.52万,89.37%,1.98亿,80.26%,0.1900,3.03,1.29,0.67,-0.07,19.41%,31.82%,6.50%,6.40%,222.89,1.74,103.51,119.38,4.29,3.16,3.16,0.18,15.36%
2011-09-30,5911.03万,70.22%,5862.10万,74.38%,3.18亿,71.59%,0.3000,3.24,1.29,0.88,-0.05,18.57%,30.89%,8.16%,9.22%,232.87,2.37,114.15,118.73,4.28,2.81,2.81,0.18,15.49%
2011-12-31,8578.36万,51.51%,8022.49万,50.81%,4.77亿,56.22%,0.4300,3.27,1.29,0.87,0.14,17.98%,30.79%,13.95%,13.24%,207.03,4.11,87.63,119.40,3.97,3.02,3.02,0.25,19.92%
2012-03-31,1773.75万,32.37%,1645.99万,23.35%,1.08亿,30.38%,0.0900,3.36,1.29,0.96,-0.03,16.40%,28.49%,2.70%,2.67%,271.66,0.80,113.09,158.56,4.39,3.28,3.28,0.22,17.83%
2012-06-30,3776.14万,-1.77%,3845.31万,0.62%,2.23亿,12.39%,0.1900,3.36,1.29,0.96,-0.05,16.97%,32.13%,5.75%,5.67%,289.54,1.34,133.90,155.64,4.00,2.72,2.72,0.23,18.73%
2012-09-30,6125.34万,3.63%,6152.54万,4.95%,3.99亿,25.50%,0.3100,3.49,1.30,1.08,-0.0100,15.34%,27.54%,9.15%,8.86%,237.97,2.82,95.67,142.29,4.24,3.05,3.05,0.22,17.86%
2012-12-31,9832.13万,14.62%,8877.49万,10.66%,6.06亿,27.01%,0.5000,3.70,1.32,1.21,0.13,16.21%,29.20%,14.32%,13.41%,227.41,4.03,89.32,138.10,4.17,3.19,3.19,0.22,17.82%
2013-03-31,2224.92万,25.44%,2053.43万,24.75%,1.51亿,39.79%,0.1100,3.81,1.32,1.33,0.03,14.60%,29.28%,2.99%,2.95%,291.60,0.70,127.75,163.84,3.37,2.17,2.17,0.28,21.58%
2013-06-30,5808.59万,53.82%,5641.35万,46.71%,4.06亿,82.37%,0.2900,3.89,1.32,1.41,0.36,14.22%,28.55%,7.69%,7.53%,230.50,1.74,103.56,126.94,2.76,1.76,1.76,0.35,26.09%
2013-09-30,1.01亿,64.21%,9856.79万,60.21%,7.01亿,75.62%,0.5100,4.10,1.32,1.62,0.84,14.26%,28.47%,13.02%,12.36%,203.18,2.92,92.42,110.76,2.34,1.56,1.56,0.45,31.02%
2013-12-31,1.61亿,63.48%,1.58亿,78.23%,10.39亿,71.44%,0.8100,4.46,1.38,1.84,1.14,15.44%,28.70%,19.98%,18.10%,175.34,4.90,73.49,101.85,2.45,1.80,1.80,0.42,29.47%
2014-03-31,2714.52万,22.01%,2590.22万,26.14%,1.99亿,31.94%,0.1400,4.60,1.38,1.97,0.0100,13.59%,29.03%,3.01%,2.97%,264.26,0.74,120.90,143.36,2.13,1.51,1.51,0.48,32.18%
2014-06-30,5232.39万,-9.92%,4898.55万,-13.17%,5.03亿,24.03%,0.1314,2.36,0.19,1.05,-0.14,10.57%,26.39%,5.72%,5.56%,234.70,1.61,111.57,123.13,1.84,1.19,1.19,0.84,44.18%
2014-09-30,6238.03万,-37.98%,5862.72万,-40.52%,9.01亿,28.49%,0.1566,2.38,0.19,1.07,-0.20,7.08%,24.90%,6.78%,6.57%,185.53,3.05,88.47,97.06,1.90,1.16,1.16,0.78,42.46%
2014-12-31,8297.81万,-48.38%,1938.01万,-87.75%,12.09亿,16.35%,0.2100,2.45,0.19,1.09,0.10,6.69%,25.97%,9.05%,8.65%,178.10,4.23,85.04,93.06,1.91,1.25,1.25,0.68,39.28%
2015-03-31,2728.99万,0.53%,2743.74万,5.93%,2.91亿,45.79%,0.0700,2.51,0.19,1.16,0.0052,10.05%,30.69%,2.76%,2.73%,205.19,0.83,109.05,96.14,1.90,1.15,1.15,0.67,38.96%
2015-06-30,6169.31万,17.91%,6284.35万,28.29%,6.34亿,25.91%,0.1500,2.54,0.19,1.20,0.02,10.57%,30.01%,6.14%,6.07%,185.25,1.94,92.83,92.42,1.57,1.03,1.03,0.71,40.46%
2015-09-30,9367.03万,50.16%,8769.32万,49.58%,9.70亿,7.68%,0.2350,2.65,0.21,1.27,0.13,10.27%,29.29%,9.22%,8.86%,184.00,3.16,85.46,98.54,1.37,1.00,1.00,0.80,43.30%
