报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,97111327.14,97111327.14,0.0,0.0,0.0,,,116139101.59,60525076.74,0.0,,0.0,0.0,0.0,0.0,0.0,,650344.2,14778385.12,4835908.38,33014173.39,2335213.76,2279341.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,296026.56,-483919.12,1284180.85,,624727.95,-17306758.21,176.99,,1062247.7,,-18368828.92,-4352591.59,,-14016237.33,-14016237.33,0.0,-13734666.73,,-281570.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,-14016237.33,-13734666.73,-281570.6,-0.054,-0.054,定期报告,未审计,20260429,CNY,合并期末,2026-04-28T20:40:05
20251231,679628746.11,679628746.11,0.0,0.0,0.0,,,692520666.7,419245478.97,0.0,,0.0,0.0,0.0,0.0,0.0,,5689749.16,81992964.15,27148133.08,147675218.13,10769123.21,10998721.06,0.0,-695.12,0.0,0.0,0.0,0.0,0.0,,,,5072959.73,-5100854.19,-4761156.54,,270551.49,-17411115.22,883280.31,,889454.94,,-17417289.85,-9630917.73,,-7786372.12,-7786372.12,0.0,-5697755.92,,-2088616.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,-7786372.12,-5697755.92,-2088616.2,-0.0224,-0.0224,定期报告,是,20260429,CNY,合并期末,2026-04-28T20:40:05
20250930,446700660.13,446700660.13,0.0,0.0,0.0,,,458241622.89,264204354.73,0.0,,0.0,0.0,0.0,0.0,0.0,,3725386.35,55846076.33,18376940.5,108363327.06,7725537.92,7892662.96,0.0,-695.12,0.0,0.0,0.0,0.0,0.0,,,,3654598.32,-1993650.95,4622463.4,,0.0,-5258247.11,591266.86,,191580.41,,-4858560.66,-3287602.59,,-1570958.07,-1570958.07,0.0,567100.25,,-2138058.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,-1570958.07,567100.25,-2138058.32,0.0022,0.0022,定期报告,未审计,20251030,CNY,合并期末,2025-10-29T18:24:03
20250630,263879133.06,263879133.06,,,,,,284244115.1,156834035.54,,,,,,,,,2339702.91,38204003.4,12142360.0,69675059.09,5048954.16,5246744.08,,-695.12,,,,,,,,,1680100.56,-1338762.24,2065075.52,,,-17959263.32,236540.12,,83750.06,,-17806473.26,-4524501.29,,-13281971.97,-13281971.97,,-11913078.97,,-1368893.0,,,,,,,,,,,,,,,,,,,,-13281971.97,-11913078.97,-1368893.0,-0.0468,-0.0468,定期报告,未审计,20250829,CNY,合并期末,2025-08-28T19:22:06
20250331,123318708.07,123318708.07,0.0,0.0,0.0,,,137664083.22,76091072.18,0.0,,0.0,0.0,0.0,0.0,0.0,,932821.54,17483383.42,5829759.67,34842780.5,2484265.91,2634686.31,0.0,-695.12,0.0,0.0,0.0,0.0,0.0,,,,705088.83,-664895.84,3040053.76,,0.0,-11265823.52,60243.87,,57145.73,,-11262725.38,-2554685.47,,-8708039.91,-8708039.91,0.0,-8104184.92,,-603854.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,-8708039.91,-8104184.92,-603854.99,-0.0318,-0.0318,定期报告,未审计,20260429,CNY,合并期末,2025-04-27T16:32:15
20241231,632785358.24,632785358.24,0.0,0.0,0.0,,,635990738.97,371059767.52,0.0,,0.0,0.0,0.0,0.0,0.0,,5166028.19,82203193.05,30366570.51,140699354.95,6495824.75,7251479.17,0.0,0.0,0.0,0.0,0.0,0.0,4479.42,,,,17906596.66,-3963887.12,-9971691.07,,4940489.95,5710607.11,300755.66,,752226.64,,5259136.13,-7445647.79,,12704783.92,12704783.92,0.0,13827225.46,,-1122441.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,12704783.92,13827225.46,-1122441.54,0.0542,0.0542,定期报告,是,20260429,CNY,合并期末,2025-04-27T16:32:15
20240930,365513595.46,365513595.46,0.0,0.0,0.0,,,383083419.29,206183816.09,0.0,,0.0,0.0,0.0,0.0,0.0,,2485778.32,50097675.89,23003626.79,97003438.94,4309083.26,5001689.16,0.0,0.0,0.0,0.0,0.0,0.0,-1085.92,,,,16362021.59,-2653052.45,-969671.3,,4940489.95,108878.04,8492.21,,189377.66,,-72007.41,-4543787.33,,4471779.92,4471779.92,0.0,5288939.83,,-817159.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,4471779.92,5288939.83,-817159.91,0.0207,0.0207,定期报告,未审计,20251030,CNY,合并期末,2024-10-28T18:07:53
20240630,241646951.3,241646951.3,,,,,,242942643.69,130315127.74,,,,,,,,,1949665.35,30743515.96,15542450.23,62052113.88,2339770.53,3032987.31,,,,,,,-4750.9,,,,16146444.59,-1907759.36,-30998.94,,105457.73,13012700.73,6940.0,,183309.74,,12836330.99,-1066643.18,,13902974.17,13902974.17,,14322043.14,,-419068.97,,,,,,,,,,,,,,,,,,,,13902974.17,14322043.14,-419068.97,0.0561,0.0561,定期报告,未审计,20250829,CNY,合并期末,2024-08-29T16:17:04
20240331,96752381.12,96752381.12,0.0,0.0,0.0,,,108801985.86,54374863.2,0.0,,0.0,0.0,0.0,0.0,0.0,,537710.43,14533328.9,7872396.4,30788376.57,695310.36,1187273.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,15261527.53,-253028.21,1619551.09,,95150.25,4673595.92,6600.0,,122736.67,,4557459.25,-708531.41,,5265990.66,5265990.66,0.0,5449398.07,,-183407.41,,,,,,,,,,,,,,,,,,,,5265990.66,5449398.07,-183407.41,0.0214,0.0214,定期报告,未审计,20250428,CNY,合并期末,2024-04-28T15:52:03
20231231,850860924.49,850860924.49,0.0,0.0,0.0,,,706716217.63,455459827.96,0.0,,0.0,0.0,0.0,0.0,0.0,,7938330.85,66679308.7,33841284.06,139849822.6,2947643.46,4115487.2,0.0,0.0,0.0,0.0,0.0,0.0,-6651.26,,,,12194293.34,-16108464.63,-14668410.09,,-213590.26,125341883.96,81313.05,,523998.94,,124899198.07,11414127.0,,113485071.07,113485071.07,,113479628.66,,5442.41,,,,,,,,,,,,,,,,,,,,113485071.07,113479628.66,5442.41,0.4446,0.4446,定期报告,是,20250428,CNY,合并期末,2024-04-15T20:17:02
20230930,414417066.86,414417066.86,0.0,0.0,0.0,,,399121575.1,233486585.43,0.0,,0.0,0.0,0.0,0.0,0.0,,3913476.22,41818967.89,21068762.85,96981306.66,1852476.05,2690904.89,0.0,0.0,0.0,0.0,0.0,0.0,-5158.12,,,,11673473.08,-356326.77,-7169314.34,,-241166.12,19196999.49,21805.32,,284477.41,,18934327.4,12955.71,,18921371.69,18921371.69,,19119685.47,,-198313.78,,,,,,,,,,,,,,,,,,,,18921371.69,19119685.47,-198313.78,0.0749,0.0749,定期报告,未审计,20241029,CNY,合并期末,2023-10-23T19:47:03
20230630,230527154.16,230527154.16,,,,,,241696614.54,133345168.15,,,,,,,,,2765653.71,26287930.42,13157355.64,65099836.41,1040670.21,1374681.37,,,,,,,-3800.72,,,,8826640.62,-298001.91,-2733290.91,,-241166.12,-5619079.42,3190.32,,236999.97,,-5852889.07,-2325689.84,,-3527199.23,-3527199.23,,-3527199.23,,,,,,,,,,,,,,,,,,,,,,-3527199.23,-3527199.23,,-0.0138,-0.0138,定期报告,未审计,20240830,CNY,合并期末,2023-08-28T20:27:04
20230331,100003998.13,100003998.13,0.0,0.0,0.0,,,108360557.12,55213113.86,0.0,,0.0,0.0,0.0,0.0,0.0,,1016622.42,12436583.9,6530220.92,32742345.77,421670.25,739907.33,0.0,0.0,0.0,0.0,0.0,0.0,-1357.4,,,,8338278.42,-176014.89,1030327.16,,-252271.78,582402.52,1350.02,,215125.1,,368627.44,-271461.32,,640088.76,640088.76,,640088.76,,,,,,,,,,,,,,,,,,,,,,640088.76,640088.76,,0.0025,0.0025,定期报告,未审计,20240429,CNY,合并期末,2023-04-24T19:32:02
20221231,412546067.2,412546067.2,,,,,,477166880.62,248857557.23,,,,,,,,,3271188.98,69485713.21,27144883.35,126401398.15,2006139.7,3105722.05,,62527.78,,,,,,,,,21298972.68,-4414664.19,-14875402.23,,481780.79,-62067598.59,3518.8,,519058.53,,-62583138.32,-16767773.17,,-45815365.15,-45815365.15,,-45815365.15,,,,,,,,,,,,,,,,,,,,,,-45815365.15,-45815365.15,,-0.1801,-0.1801,定期报告,是,20240730,CNY,合并期末,2023-04-17T20:32:03
20220930,262779756.23,262779756.23,0.0,0.0,0.0,,,292561389.35,134524119.79,0.0,,0.0,0.0,0.0,0.0,0.0,,2064076.02,46502553.7,16850731.33,91043811.26,1576097.25,2288216.79,0.0,62527.78,62527.78,0.0,0.0,0.0,-3122.02,,,,19084539.89,-995527.59,-5691159.74,,280126.72,-17044248.08,3524.06,,436555.44,,-17477279.46,-7183832.66,,-10293446.8,-10293446.8,,-10293446.8,,,,,,,,,,,,,,,,,,,,,,-10293446.8,-10293446.8,,-0.0405,-0.0405,定期报告,未审计,20231024,CNY,合并期末,2022-10-27T18:17:04
20220630,186022466.93,186022466.93,,,,,,185921466.3,85074686.47,,,,,,,,,1698009.55,30306052.83,10351106.96,57251915.02,1239695.47,1651153.64,,,,,,,-3800.72,,,,2423895.4,-736977.27,-2829054.25,,190896.26,-854039.95,1868.06,,197083.28,,-1049255.17,-2872843.72,,1823588.55,1823588.55,,1823588.55,,,,,,,,,,,,,,,,,,,,,,1823588.55,1823588.55,,0.0072,0.0072,定期报告,未审计,20230829,CNY,合并期末,2023-08-28T20:27:04
20220331,61289581.61,61289581.61,,,,,,78249740.6,28959913.93,,,,,,,,,232023.99,14155164.07,5164902.3,29151343.79,586392.52,738558.89,,,,,,,-678.7,,,,1463354.56,-342040.6,591994.83,,190896.26,-15056632.64,1868.07,,75462.9,,-15130227.47,-2601009.35,,-12529218.12,-12529218.12,,-12529218.12,,,,,,,,,,,,,,,,,,,,,,-12529218.12,-12529218.12,,-0.0493,-0.0493,定期报告,未审计,20230425,CNY,合并期末,2022-04-25T19:22:04
20211231,475457221.77,475457221.77,,,,,,483205374.0,253984476.64,,,,,,,,,4276104.77,70157194.32,27477303.14,123869923.11,3440372.02,4368120.38,,-1194058.12,-1177497.84,,,,-1357.4,,,,13829341.63,-3232462.28,3074223.17,,-43984.44,4683550.33,29195.03,,375556.63,,4337188.73,-6088499.5,,10425688.23,10425688.23,,10425688.23,,,,,,,,,,,,,,,,,,,,,,10425688.23,10425688.23,,0.041,0.041,定期报告,是,20240730,CNY,合并期末,2022-04-25T19:22:04
20210930,251431202.41,251431202.41,,,,,,287003701.13,131628792.29,,,,,,,,,1326077.11,48063501.57,17462563.69,85452433.42,3070333.05,3983264.27,,287756.48,287756.48,,,,,,,,11167822.66,-275339.12,3291867.19,,-21327.86,-21121719.37,11597.2,,307750.25,,-21417872.42,-7985946.47,,-13431925.95,-13431925.95,,-13431925.95,,,,,,,,,,,,,,,,,,,,,,-13431925.95,-13431925.95,,-0.0529,-0.0529,定期报告,未审计,20221028,CNY,合并期末,2021-10-25T17:57:05
20210630,160809156.03,160809156.03,,,,,,189606710.97,89501972.63,,,,,,,,,1094507.83,30149242.73,12705122.72,53950046.36,2205818.7,3006581.76,,-190818.83,-190818.83,,,,,,,,9168835.85,-85906.76,1871269.0,,-21758.03,-18055933.71,9733.24,,94394.52,,-18140594.99,-5676166.11,,-12464428.88,-12464428.88,,-12464428.88,,,,,,,,,,,,,,,,,,,,,,-12464428.88,-12464428.88,,-0.0491,-0.0491,定期报告,未审计,20220823,CNY,合并期末,2021-08-23T19:42:03
20210331,77658313.32,77658313.32,,,,,,91227986.36,41619209.43,,,,,,,,,389310.33,14696981.93,7451696.76,25871694.82,1199093.1,1854747.61,,-137249.46,-137249.46,,,,,,,,8333941.66,52298.55,1942310.68,,77633.34,-3300738.27,2541.78,,38834.49,,-3337030.98,-1941274.36,,-1395756.62,-1395756.62,,-1395756.62,,,,,,,,,,,,,,,,,,,,,,-1395756.62,-1395756.62,,-0.0055,-0.0055,定期报告,未审计,20220426,CNY,合并期末,2021-04-26T20:07:04
20201231,609699797.57,609699797.57,,,,,,533696080.71,301243638.97,,,,,,,,,4874141.79,83675583.71,26793917.41,111694287.23,5414511.6,5997347.21,,-756207.32,-1128421.54,,,,,,,,42603384.39,-4702218.88,-8382439.9,,23025.03,104789260.18,31418.43,,1835645.76,,102985032.85,7506571.43,,95478461.42,95478461.42,,95478461.42,,,,,,,,,,,,,,,,,,,,,,95478461.42,95478461.42,,0.3755,0.3755,定期报告,是,20240730,CNY,合并期末,2021-04-19T20:57:03
