报告日,经营活动产生的现金流量,销售商品、提供劳务收到的现金,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,减少质押和定期存款所收到的现金,处置可供出售金融资产净增加额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,增加质押和定期存款所支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,期初现金及现金等价物余额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,539942294.26,,,,,,,,,,,83897649.2,108005543.27,731845486.73,539321148.15,,,,,,215211971.47,21397612.6,109507195.47,885437927.69,-153592440.96,,,,,,,,,0.0,274107055.5,105000000.0,,,,,379107055.5,-379107055.5,,,,1357000000.0,,,1357000000.0,681500000.0,30545560.37,,21906388.37,733951948.74,623048051.26,-16434492.23,73914062.57,479934068.8,,,,,553848131.37,定期报告,未审计,20260424,CNY,合并期末,2026-04-23T15:56:03
20251231,,2193548142.53,,,,,,,,,,,123232464.14,463756694.67,2780537301.34,1225667125.58,,,,,,627875343.31,153522927.24,517054495.58,2524119891.71,256417409.63,,,3458031.36,18900.0,,15000000.0,,,18476931.36,625299196.65,261576295.6,,,,,886875492.25,-868398560.89,,,,5196008094.25,,125000000.0,5321008094.25,4044264746.56,196174151.74,,159799685.07,4400238583.37,920769510.88,20008947.93,328797307.55,151136761.25,479934068.8,151136761.25,,,479934068.8,定期报告,是,20260424,CNY,合并期末,2026-04-23T15:56:03
20250930,,1410599373.88,,,,,,,,,,,100188255.55,275412348.04,1786199977.47,957230001.03,,,,,,463314593.48,93816462.41,331038435.18,1845399492.1,-59199514.63,,,3458031.36,3451.33,,,,,3461482.69,657077358.68,,,,,151215406.6,808292765.28,-804831282.59,,,,3090708799.81,,2286170600.0,5376879399.81,2620139460.0,153052411.43,,100453625.94,2873645497.37,2503233902.44,28946770.87,1668149876.09,151136761.25,,,,,1819286637.34,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T16:02:18
20250630,,992551144.86,,,,,,,,,,,67776008.57,132462923.45,1192790076.88,747478949.91,,,,,,330975140.02,52735392.75,212633383.85,1343822866.53,-151032789.65,,,,3451.33,,,,,3451.33,388531771.06,,,,,151215406.6,539747177.66,-539743726.33,,,,2482980254.98,,300000000.0,2782980254.98,1839739460.0,122610683.05,,63102647.71,2025452790.76,757527464.22,25187985.02,91938933.26,151136761.25,243075694.51,151136761.25,,,243075694.51,定期报告,未审计,20250812,CNY,合并期末,2025-08-11T17:18:06
20250331,,554167740.13,,,,,,,,,,,43603781.7,100019948.2,697791470.03,537909198.05,,,,,,182229891.19,24143344.24,110466993.28,854749426.76,-156957956.73,,,,,,,,,0.0,309650243.27,,,,,,309650243.27,-309650243.27,,,,953544853.84,,,953544853.84,391500000.0,30611897.09,,22377086.66,444488983.75,509055870.09,13539088.32,55986758.41,151136761.25,,,,,207123519.66,定期报告,未审计,20260424,CNY,合并期末,2025-04-29T16:52:09
20241231,,1831889084.36,,,,,,,,,,,104412668.25,369067087.97,2305368840.58,1018557413.58,,,,,,598568647.33,86580368.56,502391034.74,2206097464.21,99271376.37,,,2404155.14,2993858.86,,16510000.0,,,21908014.0,591836398.35,,,,,240000000.0,831836398.35,-809928384.35,,,,2955589322.37,,572000000.0,3527589322.37,2381213099.68,228657379.34,,233789484.15,2843659963.17,683929359.2,-3948651.22,-30676300.0,181813061.25,151136761.25,181813061.25,,,151136761.25,定期报告,是,20260424,CNY,合并期末,2025-03-31T17:05:04
20240930,,1624417262.49,,,,,,,,,,,97974160.21,193638792.96,1916030215.66,1113262172.13,,,,,,441911614.42,65575235.45,293658159.67,1914407181.67,1623033.99,,,2404155.74,9805.83,,,,,2413961.57,538150303.43,15000000.0,,,,243306135.24,796456438.67,-794042477.1,,,,2653761486.01,,285000000.0,2938761486.01,1681563664.68,160409198.8,,175936770.37,2017909633.85,920851852.16,-614614.83,127817794.22,181813061.25,,,,,309630855.47,定期报告,未审计,20251031,CNY,合并期末,2024-10-29T15:40:05
20240630,,1271235238.15,,,,,,,,,,,72295589.46,87059070.68,1430589898.29,855091790.26,,,,,,308565232.51,41133188.49,249113840.38,1453904051.64,-23314153.35,,,,9805.83,,,,,9805.83,344861739.98,,,,,122343821.25,467205561.23,-467195755.4,,,,2111074807.77,,,2111074807.77,1300063664.68,70349414.71,,89330624.53,1459743703.92,651331103.85,2344350.71,163165545.81,181813061.25,344978607.06,181813061.25,,,344978607.06,定期报告,未审计,20250812,CNY,合并期末,2024-08-27T17:10:05
20240331,,661790694.89,,,,,,,,,,,45783036.24,66866571.04,774440302.17,527317137.15,,,,,,166815182.41,26377640.66,124633820.18,845143780.4,-70703478.23,,,,,,,,,0.0,261963250.48,,,,,120000000.0,381963250.48,-381963250.48,,,,1059007500.0,,,1059007500.0,283120000.0,30879758.55,,42918308.9,356918067.45,702089432.55,-5980639.11,243442064.73,181813061.25,,,,,425255125.98,定期报告,未审计,20250430,CNY,合并期末,2024-04-23T18:05:13
20231231,,1920821623.32,,,,,,,,,,,177635466.61,286548708.18,2385005798.11,1128883545.08,,,,,,604519113.57,169791893.99,247945194.46,2151139747.1,233866051.01,,,2124219.26,1317009.6,,15000000.0,,,18441228.86,533322329.89,,,,,102950179.82,636272509.71,-617831280.85,,,,3379842483.38,,118000000.0,3497842483.38,2917647115.44,264698990.87,,86103185.31,3268449291.62,229393191.76,22171918.21,-132400119.87,314213181.12,181813061.25,314213181.12,,,181813061.25,定期报告,是,20250401,CNY,合并期末,2024-04-23T18:10:07
