报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,1430062407.61,1430062407.61,,,,,,1344951896.72,1031737693.41,,,,,,,,,14053438.13,108967348.23,122684183.3,57942512.55,9566721.1,10489323.75,,2814104.62,-152921.64,,,,122238.21,,,,11281395.62,-20910469.14,-15241139.37,,8121790.21,71298431.04,292573.35,,810434.61,,70780569.78,-10524111.53,,81304681.31,81304681.31,,78008800.49,,3295880.82,-584255.07,-584255.07,,,,,,-584255.07,,,,,,,,,-584255.07,,,80720426.24,77424545.42,3295880.82,0.15,0.15,定期报告,未审计,20260427,CNY,合并期末,2026-04-26T16:00:10
20251231,8160262477.61,8160262477.61,,,,,,7592665186.28,6156493643.38,,,,,,,,,30475535.98,481626769.36,649905973.94,266000038.82,8163224.8,42885821.92,,4060103.53,-628765.74,-1322635.16,,,1102930.49,,,,72415672.94,-127743741.16,-90864631.25,,11346068.86,437913694.74,15408823.64,,19534969.5,,433787548.88,4804280.49,,428983268.39,428983268.39,,417988029.54,,10995238.85,5622978.57,5622978.57,,,,,,5622978.57,,,,,,,,,5622978.57,,,434606246.96,423611008.11,10995238.85,0.83,0.83,定期报告,是,20260427,CNY,合并期末,2026-04-26T16:00:10
20250930,5705701354.35,5705701354.35,,,,,,5253873122.25,4273637519.32,,,,,,,,,20644302.94,347670336.87,419598482.19,187732124.12,4590356.81,35575287.19,,2550865.06,-732886.0,-221431.3,,,,,,,55516971.89,-113100219.16,-59536007.25,,8541332.68,345801175.32,20872312.41,,4093442.45,,362580045.28,10259868.54,,352320176.74,352320176.74,,344499766.09,,7820410.65,504553.94,504553.94,,,,,,504553.94,,,,,,,,,504553.94,,,352824730.68,345004320.03,7820410.65,0.73,0.73,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T18:12:17
20250630,3732695220.08,3732695220.08,,,,,,3414352979.87,2798899346.81,,,,,,,,,14679601.19,218823871.05,260848881.63,118464332.22,2636946.97,26961091.09,,3348666.4,-343361.64,-360000.0,,,,,,,30337796.18,-56334074.15,-41671366.94,,1257898.72,255281160.42,10396873.33,,1943855.42,,263734178.33,14821415.51,,248912762.82,248912762.82,,243539408.57,,5373354.25,589211.78,589211.78,,,,,,589211.78,,,,,,,,,589211.78,,,249501974.6,244128620.35,5373354.25,0.51,0.51,定期报告,未审计,20250830,CNY,合并期末,2025-08-29T18:48:05
20250331,1216323160.43,1216323160.43,,,,,,1160927263.07,849673033.71,,,,,,,,,8235667.62,111030020.27,123570688.2,61592391.04,6825462.23,17577556.44,,2917703.82,-222930.18,,,,0.0,,,,17858306.35,-15289677.52,5741900.24,,11595.27,66635725.52,3746923.56,,932188.04,,69450461.04,-2369379.99,,71819841.03,71819841.03,,68944329.58,,2875511.45,1918603.87,1918603.87,,,,,,1918603.87,,,,,,,,,1918603.87,,,73738444.9,70862933.45,2875511.45,0.15,0.15,定期报告,未审计,20260427,CNY,合并期末,2026-04-26T16:00:10
20241231,7757187990.24,7757187990.24,,,,,,7293148558.62,5802331833.77,,,,,,,,,37550294.38,505383215.88,615926041.79,269211736.17,62745436.63,92509973.41,,4297469.92,-1323889.13,94566.36,,,,,,,105189131.79,-179567957.25,-78472307.92,,961287.45,316447055.61,13737971.62,,14594292.76,,315590734.47,-12810892.05,,328401626.52,328401626.52,,315174942.76,,13226683.76,111803.37,111803.37,,,,,,111803.37,,,,,,,,,111803.37,,,328513429.89,315286746.13,13226683.76,0.68,0.68,定期报告,是,20260427,CNY,合并期末,2026-04-26T16:00:10
20240930,5393403922.4,5393403922.4,,,,,,5045138381.84,4027086967.49,,,,,,,,,18471010.15,347561532.37,410255799.05,192943458.06,48819614.72,70974545.16,,2868214.54,-1473932.66,-360008.91,,,,,,,74719804.61,-107650234.03,-58027950.88,,117334.91,260292709.71,9544034.67,,11829126.34,,258007618.04,10670549.48,,247337068.56,247337068.56,,238065900.17,,9271168.39,3403517.77,3403517.77,,,,,,3403517.77,,,,,,,,,3403517.77,,,250740586.33,241469417.94,9271168.39,0.52,0.52,定期报告,未审计,20251031,CNY,合并期末,2024-10-30T19:02:04
20240630,3730561140.86,3730561140.86,,,,,,3424981458.17,2816737704.95,,,,,,,,,12680964.22,200800542.58,249517601.26,112918237.11,32326408.05,48295022.92,,1537102.65,-1142247.29,38295.76,,,,,,,63301093.84,-81344271.06,-36737123.25,,-113174.81,252223310.06,7182710.33,,2301034.96,,257104985.43,24917733.12,,232187252.31,232187252.31,,225623300.47,,6563951.84,-434680.91,-434680.91,,,,,,-434680.91,,,,,,,,,-434680.91,,,231752571.4,225188619.56,6563951.84,0.49,0.49,定期报告,未审计,20250830,CNY,合并期末,2024-08-29T20:22:06
20240331,1183984789.75,1183984789.75,,,,,,1109496369.72,814361705.79,,,,,,,,,5202042.32,94927193.45,117961852.49,59188476.7,17855098.97,24659149.24,,2009626.73,-106170.99,,,,,,,,20289537.94,-11505066.05,-3452730.11,,9914.78,81839703.32,3006139.67,,957304.99,,83888538.0,6824906.56,,77063631.44,77063631.44,,73545785.36,,3517846.08,-595349.49,-595349.49,,,,,,-595349.49,,,,,,,,,-595349.49,,,76468281.95,72950435.87,3517846.08,0.16,0.16,定期报告,未审计,20250426,CNY,合并期末,2024-04-25T22:07:32
20231231,8140961103.85,8140961103.85,,,,,,7491289188.07,6013813535.27,,,,,,,,,34574812.38,468838481.41,639111808.27,261633722.53,73316828.21,85310189.48,,-11713610.25,-4755664.11,-1529104.77,,,,,,,80282083.59,-101892610.76,-39780387.21,,1406774.42,577974165.57,6323830.1,,9181197.77,,575116797.9,54314989.04,,520801808.86,520801808.86,,507552072.78,,13249736.08,116766.69,116766.69,,,,,,116766.69,,,,,,,,,116766.69,,,520918575.55,507668839.47,13249736.08,1.1,1.1,定期报告,是,20250426,CNY,合并期末,2024-04-25T22:07:32
20230930,5501875170.12,5501875170.12,,,,,,4912259539.03,3948415720.34,,,,,,,,,24451586.51,321608942.14,393966646.17,171574796.79,52241847.08,58657184.83,,-23869625.45,390772.72,-853300.43,,,,,,,37838104.3,-49104756.89,-22353147.13,,1848307.83,533974513.75,3129051.15,,3986216.8,,533117348.1,78368795.99,,454748552.11,454748552.11,,445193958.98,,9554593.13,275392.44,275392.44,,,,,,275392.44,,,,,,,,,275392.44,,,455023944.55,445469351.42,9554593.13,0.96,0.96,定期报告,未审计,20241031,CNY,合并期末,2023-10-25T19:02:03
20230630,3396562507.0,3396562507.0,,,,,,3031212873.24,2429003872.52,,,,,,,,,15973332.25,210722106.21,238357612.39,107152938.8,30003011.07,37078365.44,,-890004.69,145996.21,-823720.67,,,,,,,29590776.38,-6434651.71,-11144217.82,,659937.5,377131473.42,1974141.82,,1228554.82,,377877060.42,49035402.53,,328841657.89,328841657.89,,321757736.71,,7083921.18,130378.81,130378.81,,,,,,130378.81,,,,,,,,,130378.81,,,328972036.7,321888115.52,7083921.18,0.7,0.7,定期报告,未审计,20240830,CNY,合并期末,2023-08-30T20:02:04
20230331,1490074914.39,1490074914.39,,,,,,1336153508.48,1047226919.44,,,,,,,,,3713249.97,97899768.41,118735701.22,52357766.15,16220103.29,15769661.09,,-1223498.01,-355479.52,,,,0.0,,,,15593353.92,2005606.23,-4219842.3,,34391.82,166111417.57,649997.58,,2391.78,,166759023.37,19345823.22,,147413200.15,147413200.15,,143530149.14,,3883051.01,,,,,,,,,,,,,,,,,,,,147413200.15,143530149.14,3883051.01,0.31,0.31,定期报告,未审计,20240426,CNY,合并期末,2023-04-28T22:52:06
