报告日,流动资产,货币资金,结算备付金,拆出资金,交易性金融资产,买入返售金融资产,衍生金融资产,应收票据及应收账款,应收票据,应收账款,应收款项融资,预付款项,应收股利,应收利息,应收保费,应收分保账款,应收分保合同准备金,应收出口退税,应收补贴款,应收保证金,内部应收款,其他应收款,其他应收款(合计),存货,划分为持有待售的资产,待摊费用,待处理流动资产损益,一年内到期的非流动资产,其他流动资产,流动资产合计,非流动资产,发放贷款及垫款,债权投资,其他债权投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,可供出售金融资产,长期股权投资,投资性房地产,长期应收款,其他权益工具投资,其他非流动金融资产,其他长期投资,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,在建工程合计,在建工程,工程物资,固定资产净额,固定资产清理,固定资产及清理合计,生产性生物资产,公益性生物资产,油气资产,合同资产,使用权资产,无形资产,开发支出,商誉,长期待摊费用,股权分置流通权,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,流动负债,短期借款,向中央银行借款,吸收存款及同业存放,拆入资金,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付账款,预收款项,合同负债,卖出回购金融资产款,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,应付保证金,内部应付款,其他应付款,其他应付款合计,其他应交款,担保责任赔偿准备金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,国际票证结算,国内票证结算,预提费用,预计流动负债,应付短期债券,划分为持有待售的负债,一年内的递延收益,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,应付债券：优先股,应付债券：永续债,租赁负债,长期应付职工薪酬,长期应付款,长期应付款合计,专项应付款,预计非流动负债,长期递延收益,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,所有者权益,实收资本(或股本),其他权益工具,优先股,永续债,资本公积,减:库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未确定的投资损失,未分配利润,拟分配现金股利,外币报表折算差额,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,669306133.98,,,1426287238.21,,,3298096388.06,189464598.84,3108631789.22,457419870.71,53055430.73,,,,,,,,,,,137558376.78,699924130.51,,,,409651412.72,609397242.61,7919197784.62,,,,,,,,4715088.02,11086047.57,,,12355678.17,,,,,,414257612.81,,,,,2540114509.87,,,,158501560.31,808972815.5,479850423.76,27056381.48,678973114.12,27528507.65,,223153437.11,585423420.24,5813487036.3,13732684820.92,,1464093.75,,,,,,4937641719.54,1886127736.32,3051513983.22,,410543116.27,,,122540193.53,48395333.51,,,,,,29208351.33,,,,,,,,,,,,,,371997504.56,94612283.54,6016402596.03,,213027748.93,,,,770896285.29,,,49014516.65,,,41093717.99,10863831.89,,1084896100.75,7101298696.78,,515414041.0,,,,3286670442.99,,6091943.53,,256589614.16,,,2423765246.48,,,6488531288.16,142854835.98,6631386124.14,13732684820.92,定期报告,未审计,20260427,CNY,合并期末,2026-04-26T15:58:06
20251231,,1049036796.11,,,1171883252.32,,,3823106933.25,350943863.1,3472163070.15,247787041.51,33897644.69,,,,,,,,,,117897987.08,117897987.08,513098944.75,,,,420114825.94,640057022.19,8196093475.78,,,,,,,,4868009.66,11387196.29,,,12355678.17,,5218800296.39,2390520457.59,2828279838.8,175578483.0,333419730.16,333419730.16,,2652701355.8,,2652701355.8,,,,179213027.94,804270539.97,482752274.67,39412303.16,678973114.12,31237003.92,,202447613.5,654661341.33,5908486160.75,14104579636.53,,263366835.77,,,,,,5114989936.42,2002002933.94,3112987002.48,,351391044.92,,,122297005.58,48111206.71,,,,,57387051.0,57387051.0,,,,,,,,,,,,,,478452255.65,110122312.18,6546117648.23,,143993333.33,,,,762587335.45,,53471337.19,53471337.19,,,42068141.41,10463787.53,,1012583934.91,7558701583.14,,515414041.0,,,,3281996108.1,,6676198.6,,256589614.16,,,2345877517.29,,,6406553479.15,139324574.24,6545878053.39,14104579636.53,定期报告,是,20260427,CNY,合并期末,2026-04-26T15:58:06
20250930,,678543136.81,,,685465000.0,,,3952062485.47,142308834.86,3809753650.61,333949617.29,129175261.14,,,,,,,,,,,130775984.56,944759396.48,,,,341316825.28,772173627.04,8207876462.78,,,,,,,,4763889.4,11707471.62,,,13040500.0,,,,,,636595281.61,,,,,2327315407.36,,,,239655128.71,834673220.95,496400470.31,31236921.23,678973114.12,34750579.68,,204829365.22,678709373.0,5952995594.5,14160872057.28,,420567100.28,,,,,,5123066417.95,1910684376.63,3212382041.32,,434275520.89,,,21895030.27,39809451.79,,,,,,37018955.59,,,,,,,,,,,,,,457662569.08,41822828.07,6576117873.92,,172250000.0,,,,792143541.6,,,57317984.33,,49127746.95,44117609.69,10464546.9,,1125421429.47,7701539303.39,,515414041.0,,,,3277384261.25,,1557773.97,,234117609.92,,,2294861258.08,,,6323334944.22,135997809.67,6459332753.89,14160872057.28,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T18:12:07
20250630,,825636280.93,,,216848000.0,,,3973760900.69,78098170.11,3895662730.58,254489488.68,85093454.58,,,,,,,,,,149983199.08,149983199.08,925331110.38,,,,318192208.91,534083218.83,7511571727.8,,,,,,,,5153413.76,12027746.97,,,13040500.0,,4774414301.96,2219881405.11,2554532896.85,152805841.52,558616042.02,558616042.02,,2401727055.33,,2401727055.33,,,,228153865.72,635313266.68,518040918.67,23245864.73,678973114.12,35768180.34,,194656917.88,757544388.08,5834107408.58,13345679136.38,,20500000.0,,,,,,5098640959.6,1608972480.69,3489668478.91,,392109849.17,,,22026280.81,47039672.99,,,,,56493069.29,56493069.29,,,,,,,,,,,,,,380442589.36,37898566.96,6055150988.18,,182460000.0,,,,612895750.35,,62491135.49,62491135.49,,25309710.33,44887122.15,10535077.22,,938578795.54,6993729783.72,,515414041.0,,,,3273323616.1,,1642431.81,,234117609.92,,,2193900900.56,,,6218398599.39,133550753.27,6351949352.66,13345679136.38,定期报告,未审计,20250830,CNY,合并期末,2025-08-29T18:48:03
20250331,,596301174.92,,,745334000.0,,,3008388626.53,44412167.51,2963976459.02,434652765.68,97224751.1,,,,,,,,,,,129758488.49,889321505.37,,,,137878134.31,497182891.2,6700015677.91,,,,,,,,5273845.22,12348022.32,627330.78,,11600000.0,,,,,,463069111.42,,,,,2412937420.57,,,,163973340.31,598417381.7,538676474.07,18736715.34,678973114.12,38773154.27,,193835971.31,926301999.64,5899570540.76,12599586218.67,,20000000.0,,,,,,4501992122.87,1454936350.53,3047055772.34,,278777739.1,,,113699599.89,26560931.73,,,,,,60617308.31,,,,,,,,,,,,,,178129443.34,28062111.25,5207839256.49,,424226666.67,156358826.45,,,575174802.13,,,67069899.36,,38164931.74,50889921.17,11252354.01,,1323137401.53,6530976658.02,,509235228.0,24199732.29,,,3096185030.4,,2971823.9,,234117609.92,,,2070847225.67,,,5937556650.18,131052910.47,6068609560.65,12599586218.67,定期报告,未审计,20250426,CNY,合并期末,2025-04-26T02:40:05
20241231,,998103103.73,,,771872000.0,,,3284605220.28,74842525.05,3209762695.23,252806576.53,30743170.31,,,,,,,,,,114923857.37,114923857.37,661006309.09,,,,63052029.97,345301033.66,6724608664.63,,,,,,,,5496775.4,12664047.67,985979.15,,11600000.0,,4678989998.8,2014349170.6,2664640828.2,152805841.52,419233150.14,419233150.14,,2511834986.68,,2511834986.68,,,,202195363.69,630207629.97,558329739.18,15392064.11,678973114.12,41494737.91,,181013271.82,997533522.85,6064759019.0,12789367683.63,,170712864.8,,,,,,4499683859.58,1255916473.59,3243767385.99,,232470244.45,,,112821599.28,64021104.76,,,,,61457846.38,61457846.38,,,,,,,,,,,,,,219228609.51,22618429.15,5383014557.91,,494460000.0,1334519182.71,,,598544234.39,,71611013.98,71611013.98,,48379775.94,46893831.51,10529450.8,,2604937489.33,7987952047.24,,461572464.0,207540821.65,,,1767051225.68,,1053220.03,,234117609.92,,,2001902896.09,,,4673238237.37,128177399.02,4801415636.39,12789367683.63,定期报告,是,20260427,CNY,合并期末,2025-04-26T02:40:05
20240930,,717762456.58,,,299997000.0,,,3653296841.27,39177364.39,3614119476.88,229691624.64,59389254.96,,,,,,,,,,,126287240.08,910812099.56,,,,152107527.74,323225014.46,6680714634.31,,,,,,,,29465673.51,13605194.7,1450281.89,,11600000.0,,,,,,332844914.12,,,,,2542580411.54,,,,208145575.02,665575279.74,577180871.35,25980904.9,678973114.12,39285630.01,,150631075.18,630271294.78,5699444645.84,12380159280.15,,170000000.0,,,,,,4185684914.19,992648926.02,3193035988.17,,329811610.52,,,23149584.76,51056459.31,,300000.0,,,,56979326.63,,,,,,,,,,,,,,250137552.92,26440982.73,5093260431.06,,545456428.57,1323340397.4,,,622679325.19,,,,,37082991.23,38390201.86,8757722.94,,2575707067.19,7668967498.25,,461571677.0,207544062.95,,,1760052714.92,,4344934.43,,234117609.92,,,1924793853.5,,,4592424852.72,118766929.18,4711191781.9,12380159280.15,定期报告,未审计,20241031,CNY,合并期末,2024-10-30T19:00:05
20240630,,574572736.25,,,170000000.0,,,3584124433.24,40460501.42,3543663931.82,223844361.61,68420656.18,,,,,,,,,,140972836.53,140972836.53,871223544.5,,,,150897356.2,225281377.47,6281873698.76,,,,,,,,29797358.88,13930293.72,1813566.57,,8600000.0,,4591663470.73,1824183643.13,2767479827.6,154426542.54,267031151.01,267031151.01,,2613053285.06,,2613053285.06,,,,272536396.78,697254692.17,597915164.8,20746329.09,678973114.12,39101348.04,,138592916.24,658205426.55,5765014646.25,12046888345.01,,20000000.0,,,,,,4003305739.59,951270017.46,3052035722.13,,273782962.74,,,23375519.4,44669412.65,,,,,102754032.72,102754032.72,,,,,,,,,,,,,,277817155.47,19266428.41,4764971250.98,,546236428.57,1312273788.93,,,638764383.62,,,,,50632299.75,40092832.64,7774175.96,,2595773909.47,7360745160.45,,461569228.0,207555845.73,,,1755460945.08,,506735.75,,234117609.92,,,1912351253.8,,,4571561618.28,114581566.28,4686143184.56,12046888345.01,定期报告,未审计,20240830,CNY,合并期末,2024-08-29T20:20:10
20240331,,762957749.27,,,102916000.0,,,2761896775.44,33684008.05,2728212767.39,351925880.04,62529295.23,,,,,,,,,,,149912325.64,793724838.25,,,,138896467.31,274515339.91,5637576903.64,,,,,,,,30833435.18,14274421.53,2137798.55,,8600000.0,,,,,,183044615.4,,,,,2699220169.53,,,,238302232.55,716710910.88,557566749.11,72539235.39,678973114.12,43551431.57,,137002827.52,532096080.34,5676550789.12,11314127692.76,,21001500.0,,,,,,3236615856.72,1101970636.05,2134645220.67,,262924759.12,,,124749526.83,47184537.83,,,,,,102051427.38,,,,,,,,,,,,,,201589435.05,22724850.03,4018841892.96,,654430357.14,1300689479.54,,,650384560.89,,,,,56042725.55,40641322.01,6863095.29,,2709051540.42,6727893433.38,,461568810.0,207557904.59,,,1755446382.01,,346067.17,,234117609.92,,,1815662025.17,,,4474698798.86,111535460.52,4586234259.38,11314127692.76,定期报告,未审计,20240426,CNY,合并期末,2024-04-25T22:05:14
20231231,,890126979.99,,,450787000.0,,,2845614515.32,54051800.43,2791562714.89,359734644.85,53920167.03,,,,,,,,,,135438790.29,135438790.29,710543419.74,,,,137763030.59,280841138.27,6108322639.16,,,,,,,,30939606.17,13446335.44,2501589.15,,8600000.0,,4587485740.74,1637236646.24,2950249094.5,154426542.54,148404141.27,148404141.27,,2795822551.96,,2795822551.96,,,,243552953.08,741830449.2,577777715.51,53704774.58,678973114.12,43207537.36,,134274777.47,530007861.36,5759490453.59,11867813092.75,,1001500.0,,,,,,3734959701.84,1437823659.07,2297136042.77,,230833358.48,,,127643481.73,77167427.46,,,,,65936915.03,65936915.03,,,,,,,,,,,,,,187441760.17,20247909.16,4445232053.87,,825510357.14,1289304462.23,,,690161134.52,,,,,62226395.34,39510483.19,6145608.83,,2912858441.25,7358090495.12,,461567391.0,207564832.37,,,1755397493.43,,941416.66,,234117609.92,,,1742116239.81,,,4401704983.19,108017614.44,4509722597.63,11867813092.75,定期报告,是,20250426,CNY,合并期末,2024-04-25T22:05:14
