报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2006-12-31,623.74万,False,623.13万,False,2.17亿,False,0.1200,2.15,0.06,0.79,0.24,4.45%,29.37%,7.14%,7.30%,205.91,3.00,119.93,85.98,1.28,0.87,0.87,1.57,56.60%
2007-12-31,2409.61万,286.31%,2318.32万,272.04%,3.23亿,48.54%,0.4500,2.26,0.24,1.15,0.95,7.66%,30.50%,24.71%,19.93%,141.16,4.64,77.63,63.53,1.31,1.04,1.04,1.51,59.88%
2008-09-30,2695.31万,False,False,False,2.87亿,False,0.4600,False,False,False,False,9.44%,35.25%,False,False,False,False,False,False,False,False,False,False,False
2008-12-31,4114.55万,70.76%,4035.20万,74.06%,4.31亿,33.55%,0.7000,2.77,0.24,2.00,1.16,9.60%,34.09%,29.08%,25.39%,117.73,5.26,68.45,49.28,1.62,1.13,1.13,0.95,48.51%
2009-03-31,693.58万,False,False,False,8773.12万,False,0.1200,False,False,False,-0.11,7.95%,31.29%,4.19%,False,False,False,False,False,False,False,False,False,False
2009-06-30,2111.30万,False,2110.61万,False,1.89亿,False,0.3600,3.07,0.19,1.61,0.20,11.21%,36.61%,12.23%,11.74%,141.92,2.26,79.49,62.44,1.78,1.37,1.37,0.77,43.37%
2009-09-30,3967.73万,47.21%,3867.96万,False,3.14亿,9.56%,0.6800,3.39,0.19,1.93,0.26,12.70%,37.15%,0.0000%,20.00%,144.22,3.52,76.67,67.56,1.78,1.38,1.38,0.78,43.78%
2009-12-31,6963.50万,69.24%,6045.21万,49.81%,4.66亿,8.15%,1.1900,3.90,0.19,2.39,1.32,14.98%,39.16%,35.68%,30.50%,138.74,4.48,80.36,58.38,1.82,1.38,1.38,0.79,44.04%
2010-03-31,1246.95万,79.78%,1178.96万,False,1.03亿,17.17%,0.0800,9.57,6.37,1.95,-0.40,12.24%,36.55%,2.18%,1.67%,185.27,0.88,102.68,82.58,5.20,4.57,4.57,0.21,17.49%
2010-06-30,3657.80万,73.25%,3393.49万,60.78%,2.38亿,25.62%,0.2400,9.58,6.37,1.96,-0.16,15.51%,38.20%,5.51%,4.90%,156.26,2.12,85.03,71.23,5.59,4.91,4.91,0.19,16.21%
2010-09-30,5931.81万,49.50%,5613.43万,45.13%,3.87亿,23.39%,0.3900,9.87,6.37,2.25,-0.08,15.42%,38.95%,8.51%,7.70%,166.26,2.81,96.00,70.26,4.63,3.93,3.93,0.22,18.31%
2010-12-31,9258.81万,32.96%,8707.12万,44.03%,6.62亿,41.90%,0.6100,10.34,6.42,2.55,0.90,14.09%,36.81%,12.73%,11.48%,149.64,4.72,76.29,73.35,3.07,2.66,2.66,0.38,27.57%
2011-03-31,1319.40万,5.81%,1272.85万,7.96%,1.37亿,33.42%,0.0800,10.51,6.42,2.72,-1.45,9.62%,36.55%,1.62%,1.61%,252.36,0.65,138.14,114.21,3.71,3.01,3.01,0.29,22.35%
2011-06-30,4238.77万,15.88%,4114.42万,21.24%,3.63亿,52.64%,0.1900,5.04,2.71,1.15,-0.65,11.66%,36.51%,5.25%,5.39%,213.65,1.52,118.59,95.06,3.05,2.33,2.33,0.36,26.71%
2011-09-30,7428.83万,25.24%,7015.10万,24.97%,6.26亿,61.66%,0.3400,5.25,2.71,1.35,-0.52,11.85%,34.61%,9.18%,9.08%,181.13,2.85,94.64,86.49,3.21,2.51,2.51,0.33,25.00%
2011-12-31,1.09亿,17.41%,1.02亿,17.12%,9.42亿,42.38%,0.4900,5.62,2.90,1.46,0.03,11.53%,33.07%,13.09%,12.10%,158.51,4.67,77.04,81.47,2.96,2.45,2.45,0.36,26.23%
2012-03-31,1266.35万,-4.02%,1033.26万,-18.82%,1.63亿,18.72%,0.0600,5.71,2.91,1.54,-0.44,7.78%,29.15%,1.40%,1.39%,259.42,0.77,116.57,142.86,3.62,2.96,2.96,0.26,20.63%
2012-06-30,3401.91万,-19.74%,2996.87万,-27.16%,3.65亿,0.70%,0.1500,4.07,1.80,1.09,-0.22,9.31%,30.58%,3.72%,3.73%,234.29,1.74,103.57,130.72,3.56,2.91,2.91,0.26,20.44%
2012-09-30,6945.00万,-6.51%,6414.37万,-8.56%,6.08亿,-2.94%,0.3100,4.24,1.81,1.24,-0.06,11.42%,32.52%,7.51%,7.32%,218.22,2.83,95.38,122.84,3.18,2.64,2.64,0.30,22.85%
2012-12-31,9467.21万,-12.91%,8754.47万,-14.16%,9.33亿,-0.95%,0.4200,4.35,1.81,1.33,0.70,10.14%,32.45%,10.16%,9.72%,184.20,4.50,79.94,104.25,2.61,2.26,2.26,0.40,28.39%
2013-03-31,1747.40万,37.99%,1493.43万,44.54%,1.72亿,5.61%,0.0800,4.43,1.81,1.41,-0.34,10.16%,32.90%,1.78%,1.76%,246.16,0.96,94.03,152.13,3.08,2.63,2.63,0.30,22.98%
2013-06-30,4460.95万,31.13%,4154.60万,38.63%,3.93亿,7.53%,0.2000,4.38,1.78,1.39,-0.48,11.35%,34.57%,4.51%,4.58%,232.14,1.98,90.83,141.31,2.97,2.41,2.41,0.30,23.03%
2013-09-30,7851.37万,13.05%,7200.60万,12.26%,6.47亿,6.39%,0.3500,4.54,1.78,1.55,-0.50,12.14%,35.54%,7.90%,7.78%,229.86,2.89,93.58,136.27,2.88,2.29,2.29,0.31,23.87%
2013-12-31,1.14亿,20.38%,9877.12万,12.82%,10.14亿,8.59%,0.5100,4.69,1.78,1.65,0.24,11.24%,35.14%,11.36%,10.92%,196.23,4.81,74.87,121.37,2.25,1.63,1.63,0.48,32.21%
2014-03-31,1957.97万,12.05%,1696.72万,13.61%,1.94亿,13.00%,0.0900,4.75,1.72,1.76,-0.52,10.08%,35.17%,1.88%,1.88%,298.20,0.79,114.11,184.09,2.69,2.08,2.08,0.35,26.09%
2014-06-30,4943.15万,10.81%,4267.90万,2.73%,4.62亿,17.57%,0.2200,4.73,1.72,1.74,-0.57,11.21%,37.71%,4.70%,4.75%,298.28,1.38,129.99,168.29,1.92,1.34,1.34,0.58,34.83%
2014-09-30,6999.65万,-10.85%,5948.61万,-17.39%,7.83亿,21.09%,0.3200,4.83,1.72,1.84,-0.51,9.82%,36.81%,6.67%,6.60%,266.68,2.34,115.42,151.26,2.05,1.46,1.46,0.55,33.32%
2014-12-31,1.27亿,11.40%,1.13亿,14.34%,14.73亿,45.35%,0.5800,5.03,1.84,1.99,0.23,9.09%,32.17%,11.82%,11.26%,204.88,5.40,66.65,138.23,1.78,1.40,1.40,0.78,41.62%
2015-03-31,1019.48万,-47.93%,342.13万,-79.84%,2.15亿,10.40%,0.0500,5.10,1.85,2.05,-0.52,5.24%,35.55%,0.90%,0.89%,456.06,0.60,150.25,305.81,1.95,1.47,1.47,0.82,42.87%
2015-06-30,1645.68万,-66.71%,738.25万,-82.70%,5.15亿,11.43%,0.0700,5.06,1.88,1.98,-0.62,3.66%,35.82%,1.44%,1.45%,365.74,1.44,124.65,241.09,1.86,1.46,1.46,0.90,45.18%
2015-09-30,7318.91万,4.56%,6153.89万,3.45%,9.41亿,20.20%,0.3300,5.33,1.90,2.23,-0.63,8.17%,37.09%,6.30%,6.12%,311.37,2.33,115.72,195.65,1.41,1.00,1.00,1.22,50.53%
2015-12-31,1.36亿,7.34%,1.22亿,7.97%,16.40亿,11.30%,0.6600,5.67,1.93,2.44,0.89,9.02%,34.42%,12.16%,10.71%,248.30,4.37,82.29,166.01,1.31,1.02,1.02,1.30,52.19%
2016-03-31,2302.33万,125.83%,2019.79万,490.36%,2.90亿,35.06%,0.1000,5.85,1.95,2.60,-0.71,7.95%,37.77%,1.77%,1.75%,387.43,0.58,154.69,232.74,1.27,0.88,0.88,1.27,51.65%
